,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,LeBron James,Los Angeles Lakers,35:30,5,13,.385,2,6,.333,6,8,.750,1,9,10,5,1,2,4,5,18,-11,35:30,.545,.462,.462,.615,2.9,24.3,13.9,29.1,1.3,5.0,19.5,25.5,94,99
1,Wayne Ellington,Los Angeles Lakers,29:41,3,10,.300,2,9,.222,0,0,0,0,2,2,2,1,0,3,1,8,-9,29:41,.400,.400,.900,.000,0.0,6.5,3.3,12.9,1.5,0.0,23.1,19.3,60,109
2,Russell Westbrook,Los Angeles Lakers,28:32,4,7,.571,0,1,.000,6,11,.545,0,4,4,3,0,1,1,3,14,-15,28:32,.591,.571,.143,1.571,0.0,13.5,6.9,21.7,0.0,3.1,7.8,19.9,113,108
3,Kent Bazemore,Los Angeles Lakers,24:04,4,8,.500,3,5,.600,0,0,0,0,7,7,3,2,0,0,5,11,-6,24:04,.688,.688,.625,.000,0.0,27.9,14.4,27.2,3.8,0.0,0.0,14.7,124,94
4,Anthony Davis,Los Angeles Lakers,20:05,4,7,.571,0,1,.000,1,1,1.000,0,1,1,0,0,1,3,2,9,-8,20:05,.605,.571,.143,.143,0.0,4.8,2.5,0.0,0.0,4.4,28.7,22.9,73,110
6,Carmelo Anthony,Los Angeles Lakers,28:10,3,11,.273,2,9,.222,0,0,0,0,2,2,4,1,1,1,2,8,-7,28:10,.364,.364,.818,.000,0.0,6.8,3.5,27.4,1.6,3.2,8.3,18.8,73,107
7,Rajon Rondo,Los Angeles Lakers,22:24,1,3,.333,1,3,.333,0,0,0,0,5,5,8,0,0,5,1,3,-19,22:24,.500,.500,1.000,.000,0.0,21.4,11.0,61.5,0.0,0.0,62.5,15.8,72,106
8,Isaiah Thomas,Los Angeles Lakers,21:37,5,12,.417,2,6,.333,7,9,.778,0,2,2,1,0,1,1,1,19,-1,21:37,.595,.500,.500,.750,0.0,8.9,4.6,11.8,0.0,4.1,5.9,34.6,107,109
9,Chaundee Brown Jr.,Los Angeles Lakers,15:10,0,6,.000,0,3,.000,0,0,0,0,1,1,0,0,0,0,0,0,0,15:10,.000,.000,.500,.000,0.0,6.3,3.3,0.0,0.0,0.0,0.0,17.5,0,112
10,DeAndre Jordan,Los Angeles Lakers,9:32,1,1,1.000,0,0,0,0,0,0,0,2,2,0,0,1,0,1,2,-17,9:32,1.000,1.000,.000,.000,0.0,20.1,10.4,0.0,0.0,9.3,0.0,4.6,200,102
11,Jay Huff,Los Angeles Lakers,5:13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,+3,5:13,0,0,0,0,0.0,0.0,0.0,0.0,8.7,0.0,0,0.0,0,94
12,Trevor Ariza,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Lakers,240,30,78,.385,12,43,.279,20,29,.690,1,35,36,26,6,7,18,22,92,0,240,.507,.462,.551,.372,2.1,70.0,37.1,86.7,5.7,13.0,16.6,100.0,87.3,104.4
0,Karl-Anthony Towns,Minnesota Timberwolves,32:11,11,20,.550,2,6,.333,4,5,.800,3,7,10,4,1,3,2,4,28,+23,32:11,.631,.600,.300,.250,8.9,22.2,15.4,24.3,1.4,12.8,8.3,29.2,128,83
1,Malik Beasley,Minnesota Timberwolves,32:01,7,18,.389,3,13,.231,0,0,0,0,4,4,4,2,0,1,1,17,+25,32:01,.472,.472,.722,.000,0.0,12.8,6.2,19.7,2.8,0.0,5.3,23.1,105,89
2,Patrick Beverley,Minnesota Timberwolves,31:36,4,11,.364,1,7,.143,0,0,0,1,8,9,7,1,1,0,3,9,+23,31:36,.409,.409,.636,.000,3.0,25.9,14.1,30.4,1.4,4.3,0.0,13.5,118,89
3,Jarred Vanderbilt,Minnesota Timberwolves,31:04,2,4,.500,0,0,0,0,0,0,8,8,16,0,3,2,2,3,4,+24,31:04,.500,.500,.000,.000,24.7,26.3,25.5,0.0,4.4,8.8,33.3,7.5,109,79
4,D'Angelo Russell,Minnesota Timberwolves,27:22,6,15,.400,3,8,.375,2,5,.400,0,3,3,6,3,0,4,2,17,+7,27:22,.494,.500,.533,.333,0.0,11.2,5.4,34.5,5.0,0.0,18.9,30.1,94,84
6,Jaden McDaniels,Minnesota Timberwolves,21:40,3,6,.500,1,3,.333,1,2,.500,1,3,4,0,0,0,1,6,8,+10,21:40,.581,.583,.500,.333,4.4,14.1,9.1,0.0,0.0,0.0,12.7,14.1,107,94
7,Jaylen Nowell,Minnesota Timberwolves,19:02,6,13,.462,2,4,.500,0,0,0,0,3,3,1,2,0,1,1,14,-3,19:02,.538,.538,.308,.000,0.0,16.1,7.8,9.7,4.8,0.0,7.1,28.6,105,85
8,Josh Okogie,Minnesota Timberwolves,13:28,0,1,.000,0,1,.000,4,4,1.000,1,1,2,0,1,0,1,2,4,-1,13:28,.725,.000,1.000,4.000,7.1,7.6,7.3,0.0,3.4,0.0,26.6,10.8,125,88
9,Naz Reid,Minnesota Timberwolves,11:43,1,5,.200,0,1,.000,2,2,1.000,1,3,4,1,0,0,1,2,4,0,11:43,.340,.200,.200,.400,8.2,26.1,16.9,11.1,0.0,0.0,14.5,22.8,81,95
10,Jake Layman,Minnesota Timberwolves,7:34,0,2,.000,0,1,.000,0,2,.000,0,3,3,0,0,0,0,0,0,-3,7:34,.000,.000,.500,1.000,0.0,40.5,19.6,0.0,0.0,0.0,0.0,14.8,0,95
11,Nathan Knight,Minnesota Timberwolves,4:06,1,2,.500,0,0,0,3,4,.750,0,2,2,0,0,0,0,1,5,-5,4:06,0,0,0,0,0.0,24.9,12.1,0.0,0.0,0.0,100.0,19.0,0,95
12,Leandro Bolmaro,Minnesota Timberwolves,4:06,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,-5,4:06,.665,.500,.000,2.000,0.0,49.8,24.1,0.0,0.0,0.0,0.0,35.6,147,93
13,Jordan McLaughlin,Minnesota Timberwolves,4:06,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,4:06,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0,96
14,Team Totals,Minnesota Timberwolves,240,41,98,.418,12,44,.273,16,24,.667,15,46,61,23,13,6,15,25,110,0,240,.507,.480,.449,.245,30.0,97.9,62.9,56.1,12.3,17.1,12.1,100.0,104.4,87.3
