,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dillon Brooks,Memphis Grizzlies,33:50,10,20,.500,2,4,.500,1,1,1.000,3,3,6,2,1,0,2,2,23,+13,33:50,.563,.550,.200,.050,9.1,8.9,9.0,9.2,1.4,0.0,8.9,26.6,113,105
1,Tyus Jones,Memphis Grizzlies,31:25,5,10,.500,2,2,1.000,2,2,1.000,0,6,6,4,0,0,0,0,14,+21,31:25,.643,.600,.200,.200,0.0,19.1,9.6,16.4,0.0,0.0,0.0,13.9,145,105
2,Steven Adams,Memphis Grizzlies,30:31,1,4,.250,0,0,0,3,7,.429,5,7,12,4,1,0,1,2,5,+1,30:31,.353,.250,.000,1.750,16.7,22.9,19.9,14.5,1.5,0.0,12.4,10.6,113,101
3,Jaren Jackson Jr.,Memphis Grizzlies,27:41,6,15,.400,0,3,.000,9,9,1.000,1,5,6,2,1,2,3,4,21,-5,27:41,.554,.400,.200,.600,3.7,18.1,11.0,10.0,1.7,6.5,13.7,31.8,108,97
4,Desmond Bane,Memphis Grizzlies,26:00,9,16,.563,4,5,.800,2,2,1.000,0,2,2,1,1,0,2,0,24,-1,26:00,.711,.688,.313,.125,0.0,7.7,3.9,6.5,1.8,0.0,10.6,29.1,124,105
6,De'Anthony Melton,Memphis Grizzlies,22:36,7,11,.636,2,3,.667,3,4,.750,1,2,3,3,4,1,1,2,19,+29,22:36,.745,.727,.273,.364,4.5,8.8,6.7,21.1,8.1,4.0,7.3,24.4,146,87
7,Kyle Anderson,Memphis Grizzlies,19:15,2,7,.286,1,1,1.000,1,2,.500,0,6,6,6,0,0,0,0,6,+27,19:15,.381,.357,.143,.286,0.0,31.2,15.7,37.4,0.0,0.0,0.0,16.4,114,102
8,Xavier Tillman Sr.,Memphis Grizzlies,16:20,1,4,.250,0,1,.000,0,0,0,1,6,7,3,1,0,2,2,2,+17,16:20,.250,.250,.250,.000,6.3,36.7,21.7,21.0,2.8,0.0,33.3,14.7,69,94
9,John Konchar,Memphis Grizzlies,14:47,0,2,.000,0,1,.000,0,0,0,1,1,2,0,0,0,0,3,0,0,14:47,.000,.000,.500,.000,6.9,6.8,6.8,0.0,0.0,0.0,0.0,5.4,42,108
10,Killian Tillie,Memphis Grizzlies,13:09,3,6,.500,2,4,.500,0,0,0,0,0,0,0,2,0,0,4,8,-3,13:09,.667,.667,.667,.000,0.0,0.0,0.0,0.0,7.0,0.0,0.0,18.3,132,94
