,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Miles Bridges,Charlotte Hornets,32:19,10,16,.625,2,6,.333,4,4,1.000,2,3,5,0,2,0,1,0,26,-21,32:19,.732,.688,.375,.250,5.0,11.1,7.4,0.0,2.8,0.0,5.3,23.0,136,131
1,Gordon Hayward,Charlotte Hornets,26:39,4,13,.308,1,5,.200,0,0,0,0,2,2,3,0,1,0,0,9,-29,26:39,.346,.346,.385,.000,0.0,9.0,3.6,18.8,0.0,3.3,0.0,19.3,80,135
2,LaMelo Ball,Charlotte Hornets,24:45,2,12,.167,1,6,.167,4,4,1.000,5,5,10,7,2,1,2,2,9,-22,24:45,.327,.208,.500,.333,16.2,24.2,19.4,42.3,3.7,3.6,12.7,25.2,92,123
3,Terry Rozier,Charlotte Hornets,21:26,2,10,.200,0,5,.000,0,0,0,0,3,3,0,0,0,1,0,4,-24,21:26,.200,.200,.500,.000,0.0,16.8,6.7,0.0,0.0,0.0,9.1,20.3,38,136
4,Mason Plumlee,Charlotte Hornets,16:09,1,3,.333,0,0,0,2,2,1.000,3,6,9,4,0,0,0,3,4,-21,16:09,.515,.333,.000,.667,14.9,44.6,26.7,36.0,0.0,0.0,0.0,9.5,152,130
6,Jalen McDaniels,Charlotte Hornets,27:05,2,5,.400,1,2,.500,5,6,.833,1,2,3,2,2,0,1,0,10,-7,27:05,.654,.500,.400,1.200,3.0,8.9,5.3,10.9,3.4,0.0,11.6,12.6,128,130
7,Ish Smith,Charlotte Hornets,24:20,2,6,.333,1,2,.500,0,0,0,1,1,2,3,1,1,4,4,5,-12,24:20,.417,.417,.333,.000,3.3,4.9,3.9,18.5,1.9,3.7,40.0,16.3,62,131
8,Kelly Oubre Jr.,Charlotte Hornets,23:24,6,15,.400,1,7,.143,5,6,.833,1,4,5,0,1,0,0,1,18,-7,23:24,.510,.433,.467,.400,3.4,20.5,10.3,0.0,1.9,0.0,0.0,29.8,107,131
9,P.J. Washington,Charlotte Hornets,23:18,4,13,.308,2,9,.222,3,4,.750,0,1,1,4,2,0,0,0,13,-14,23:18,.440,.385,.692,.308,0.0,5.2,2.1,29.7,3.9,0.0,0.0,25.1,101,129
10,James Bouknight,Charlotte Hornets,12:00,1,5,.200,1,3,.333,1,2,.500,0,2,2,2,0,0,0,1,4,-3,12:00,.340,.300,.600,.400,0.0,20.0,8.0,25.0,0.0,0.0,0.0,19.4,85,135
