,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,36:58,8,19,.421,0,5,.000,7,8,.875,1,4,5,4,3,0,1,0,23,-2,36:58,.511,.421,.263,.421,3.0,9.4,6.6,20.3,4.0,0.0,4.3,27.7,111,100
1,Luguentz Dort,Oklahoma City Thunder,35:59,4,15,.267,3,11,.273,1,2,.500,0,6,6,1,1,1,1,5,12,+13,35:59,.378,.367,.733,.133,0.0,14.6,8.2,4.4,1.4,1.9,5.9,20.4,76,101
2,Josh Giddey,Oklahoma City Thunder,29:49,7,16,.438,3,8,.375,2,6,.333,2,3,5,11,1,0,3,3,19,0,29:49,.510,.531,.500,.375,7.5,8.8,8.2,71.6,1.6,0.0,13.9,31.6,110,105
3,Jeremiah Robinson-Earl,Oklahoma City Thunder,18:11,2,4,.500,1,2,.500,0,0,0,0,5,5,1,0,0,1,0,5,-6,18:11,.625,.625,.500,.000,0.0,24.0,13.5,8.6,0.0,0.0,20.0,12.0,99,101
4,Derrick Favors,Oklahoma City Thunder,16:37,3,7,.429,0,1,.000,0,0,0,4,1,5,1,1,1,0,3,6,-6,16:37,.429,.429,.143,.000,26.9,5.3,14.7,10.6,2.9,4.2,0.0,18.3,115,101
6,Darius Bazley,Oklahoma City Thunder,23:35,4,7,.571,1,3,.333,1,4,.250,0,7,7,1,0,4,4,0,10,-14,23:35,.571,.643,.429,.571,0.0,25.9,14.5,7.3,0.0,11.8,31.3,23.5,72,93
7,Kenrich Williams,Oklahoma City Thunder,23:08,5,6,.833,1,1,1.000,2,2,1.000,1,2,3,1,1,0,2,4,13,+3,23:08,.945,.917,.167,.333,4.8,7.5,6.4,8.1,2.1,0.0,22.5,16.7,137,105
8,Aleksej Pokusevski,Oklahoma City Thunder,21:18,1,3,.333,1,2,.500,0,0,0,0,5,5,2,0,1,1,2,3,+5,21:18,.500,.500,.667,.000,0.0,20.5,11.5,13.4,0.0,3.3,25.0,8.2,90,101
9,Mike Muscala,Oklahoma City Thunder,14:41,1,3,.333,1,3,.333,6,6,1.000,0,1,1,0,0,0,0,0,9,+17,14:41,.798,.500,1.000,2.000,0.0,5.9,3.3,0.0,0.0,0.0,0.0,16.7,174,110
10,Tre Mann,Oklahoma City Thunder,13:54,1,3,.333,0,1,.000,0,0,0,1,3,4,1,0,0,1,0,2,-3,13:54,.333,.333,.333,.000,8.0,18.8,14.1,10.6,0.0,0.0,25.0,12.5,74,104
11,Aaron Wiggins,Oklahoma City Thunder,5:45,0,1,.000,0,1,.000,0,0,0,0,1,1,1,0,0,0,0,0,+8,5:45,.000,.000,1.000,.000,0.0,15.2,8.5,23.2,0.0,0.0,0.0,7.6,54,106
12,Gabriel Deck,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Théo Maledon,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Isaiah Roby,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ty Jerome,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Oklahoma City Thunder,240,36,84,.429,11,38,.289,19,28,.679,9,38,47,24,7,7,14,17,102,0,240,.529,.494,.452,.333,20.9,69.1,48.0,66.7,7.1,10.1,12.7,100.0,104.0,100.9
0,Desmond Bane,Memphis Grizzlies,36:02,10,20,.500,5,9,.556,0,0,0,2,5,7,2,1,0,1,1,25,-8,36:02,.625,.625,.450,.000,4.8,15.5,9.5,10.4,1.4,0.0,4.8,23.6,126,106
1,Dillon Brooks,Memphis Grizzlies,34:49,9,23,.391,1,7,.143,0,1,.000,0,2,2,2,1,0,1,3,19,-7,34:49,.405,.413,.304,.043,0.0,6.4,2.8,10.4,1.4,0.0,4.1,28.4,87,108
2,Jaren Jackson Jr.,Memphis Grizzlies,33:49,5,15,.333,3,6,.500,2,2,1.000,2,4,6,0,2,0,3,4,15,+5,33:49,.472,.433,.400,.133,5.2,13.2,8.7,0.0,2.9,0.0,15.9,22.6,87,103
3,Ja Morant,Memphis Grizzlies,28:02,6,12,.500,1,1,1.000,3,5,.600,1,5,6,8,2,1,4,2,16,+2,28:02,.563,.542,.083,.417,3.1,19.9,10.5,47.7,3.5,3.7,22.0,26.2,105,98
4,Steven Adams,Memphis Grizzlies,20:04,1,5,.200,0,0,0,1,1,1.000,5,9,14,3,0,0,2,1,3,-3,20:04,.276,.200,.000,.200,21.7,50.1,34.2,19.6,0.0,0.0,26.9,15.0,85,100
6,Kyle Anderson,Memphis Grizzlies,21:39,2,6,.333,0,0,0,0,0,0,2,5,7,2,0,0,0,1,4,-16,21:39,.333,.333,.000,.000,8.1,25.8,15.8,12.8,0.0,0.0,0.0,11.2,101,107
7,De'Anthony Melton,Memphis Grizzlies,21:21,1,8,.125,0,4,.000,2,2,1.000,2,2,4,5,1,1,0,2,4,-8,21:21,.225,.125,.500,.250,8.2,10.5,9.2,30.6,2.3,4.9,0.0,16.8,90,102
8,Xavier Tillman Sr.,Memphis Grizzlies,20:19,4,7,.571,0,1,.000,0,0,0,2,0,2,0,1,0,1,1,8,+8,20:19,.571,.571,.143,.000,8.6,0.0,4.8,0.0,2.4,0.0,12.5,15.9,106,108
9,John Konchar,Memphis Grizzlies,13:20,1,4,.250,1,3,.333,2,2,1.000,1,0,1,2,1,0,0,3,5,+14,13:20,.512,.375,.750,.500,6.5,0.0,3.7,20.3,3.7,0.0,0.0,14.8,137,104
10,Killian Tillie,Memphis Grizzlies,10:33,0,1,.000,0,1,.000,0,0,0,0,2,2,0,0,0,0,3,0,-2,10:33,.000,.000,1.000,.000,0.0,21.2,9.3,0.0,0.0,0.0,0.0,3.8,0,106
11,Jarrett Culver,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Yves Pons,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Memphis Grizzlies,240,39,101,.386,11,32,.344,10,13,.769,17,34,51,24,9,2,12,21,99,0,240,.464,.441,.317,.129,30.9,79.1,52.0,61.5,9.2,4.3,10.1,100.0,100.9,104.0
