,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Christian Wood,Houston Rockets,31:00,5,11,.455,3,6,.500,9,11,.818,2,6,8,2,0,0,0,0,22,+2,31:00,.694,.591,.545,1.000,7.7,26.5,16.5,11.4,0.0,0.0,0.0,23.7,155,131
1,Eric Gordon,Houston Rockets,29:16,6,10,.600,1,2,.500,2,2,1.000,0,0,0,5,3,1,0,4,15,-2,29:16,.689,.650,.200,.200,0.0,0.0,0.0,32.6,5.4,3.3,0.0,17.3,156,126
2,Jae'Sean Tate,Houston Rockets,28:54,6,10,.600,1,1,1.000,5,8,.625,0,4,4,1,0,0,1,2,18,+2,28:54,.666,.650,.100,.800,0.0,19.0,8.9,6.6,0.0,0.0,6.9,23.3,128,133
3,Garrison Mathews,Houston Rockets,28:05,1,5,.200,1,4,.250,0,0,0,0,1,1,2,1,0,2,4,3,-1,28:05,.300,.300,.800,.000,0.0,4.9,2.3,10.3,1.9,0.0,28.6,11.6,59,134
4,Jalen Green,Houston Rockets,25:00,7,14,.500,6,9,.667,0,0,0,0,1,1,2,2,1,2,0,20,+1,25:00,.714,.714,.643,.000,0.0,5.5,2.6,17.8,4.2,3.8,12.5,29.7,123,127
6,Armoni Brooks,Houston Rockets,24:40,2,6,.333,2,6,.333,0,0,0,0,3,3,0,1,0,1,3,6,-15,24:40,.500,.500,1.000,.000,0.0,16.7,7.8,0.0,2.1,0.0,14.3,13.2,85,129
7,Alperen Şengün,Houston Rockets,20:17,5,10,.500,0,1,.000,0,0,0,4,4,8,3,1,2,1,3,10,-16,20:17,.500,.500,.100,.000,23.7,27.0,25.2,30.6,2.6,9.5,9.1,25.2,120,120
8,D.J. Augustin,Houston Rockets,18:44,2,7,.286,1,5,.200,5,5,1.000,0,1,1,1,1,0,2,0,10,-10,18:44,.543,.357,.714,.714,0.0,7.3,3.4,8.6,2.8,0.0,17.9,27.7,98,132
9,Josh Christopher,Houston Rockets,18:15,1,4,.250,0,2,.000,0,0,0,1,0,1,0,0,0,3,1,2,-9,18:15,.250,.250,.500,.000,6.6,0.0,3.5,0.0,0.0,0.0,42.9,17.8,39,140
10,Kenyon Martin Jr.,Houston Rockets,15:49,0,3,.000,0,1,.000,0,0,0,1,0,1,0,0,2,0,0,0,-12,15:49,.000,.000,.333,.000,7.6,0.0,4.0,0.0,0.0,12.1,0.0,8.8,29,136
11,Trevelin Queen,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,David Nwaba,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Usman Garuba,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Daniel Theis,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
