,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Malik Beasley,Minnesota Timberwolves,42:42,13,25,.520,7,16,.438,0,0,0,2,4,6,1,1,0,2,1,33,-14,42:42,.660,.660,.640,.000,4.5,11.5,7.6,3.7,1.1,0.0,7.4,25.2,124,128
1,D'Angelo Russell,Minnesota Timberwolves,41:09,7,20,.350,4,8,.500,1,1,1.000,1,6,7,14,0,0,3,3,19,-5,41:09,.465,.450,.400,.050,2.3,17.9,9.2,44.3,0.0,0.0,12.8,22.7,114,129
2,Jaden McDaniels,Minnesota Timberwolves,36:38,7,18,.389,1,6,.167,1,1,1.000,3,6,9,7,1,1,4,4,16,-10,36:38,.434,.417,.333,.056,7.9,20.2,13.3,25.6,1.3,2.6,17.8,24.4,96,124
3,Jake Layman,Minnesota Timberwolves,36:23,6,11,.545,1,5,.200,0,0,0,3,4,7,0,2,1,3,2,13,-10,36:23,.591,.591,.455,.000,7.9,13.5,10.4,0.0,2.6,2.6,21.4,15.4,97,122
4,Naz Reid,Minnesota Timberwolves,35:46,6,14,.429,2,6,.333,3,4,.750,5,5,10,1,1,1,1,5,17,-4,35:46,.539,.500,.429,.286,13.4,17.2,15.1,3.6,1.3,2.6,6.0,18.7,121,124
6,Jaylen Nowell,Minnesota Timberwolves,19:15,3,8,.375,2,3,.667,2,2,1.000,0,1,1,2,1,0,0,1,10,-4,19:15,.563,.500,.375,.250,0.0,6.4,2.8,13.3,2.4,0.0,0.0,18.4,132,126
7,Nathan Knight,Minnesota Timberwolves,14:52,3,5,.600,0,1,.000,2,4,.500,1,2,3,1,0,1,1,1,8,-5,14:52,.592,.600,.200,.800,6.5,16.6,10.9,9.1,0.0,6.3,12.9,20.8,113,125
8,Jordan McLaughlin,Minnesota Timberwolves,10:45,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2,0,-3,10:45,0,0,0,0,0.0,11.4,5.0,29.8,4.4,0.0,0,0.0,238,120
9,Leandro Bolmaro,Minnesota Timberwolves,2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2:30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,133
10,Chris Silva,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rayjon Tucker,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Minnesota Timberwolves,240,45,101,.446,17,45,.378,9,12,.750,15,29,44,29,7,4,14,19,116,0,240,.546,.530,.446,.119,30.0,74.4,49.4,64.4,6.9,7.8,11.6,100.0,113.7,125.4
0,Donovan Mitchell,Utah Jazz,37:31,10,20,.500,4,11,.364,4,4,1.000,0,5,5,7,0,1,3,2,28,+9,37:31,.643,.600,.550,.200,0.0,12.8,7.2,25.4,0.0,2.3,12.1,27.6,126,118
1,Rudy Gobert,Utah Jazz,35:00,8,14,.571,0,0,0,4,9,.444,7,10,17,2,1,4,3,3,20,+9,35:00,.557,.571,.000,.643,24.6,27.4,26.2,7.4,1.3,9.8,14.3,25.1,115,105
2,Bojan Bogdanović,Utah Jazz,29:30,6,10,.600,4,5,.800,2,2,1.000,0,2,2,0,1,0,2,2,18,+11,29:30,.827,.800,.500,.200,0.0,6.5,3.7,0.0,1.6,0.0,15.5,18.3,128,118
3,Royce O'Neale,Utah Jazz,29:30,2,6,.333,1,5,.200,0,0,0,0,1,1,4,2,0,1,2,5,+11,29:30,.417,.417,.833,.000,0.0,3.3,1.8,14.5,3.2,0.0,14.3,9.9,102,116
4,Mike Conley,Utah Jazz,28:24,7,10,.700,2,3,.667,1,2,.500,1,3,4,6,0,1,2,2,17,+22,28:24,.781,.800,.300,.200,4.3,10.1,7.6,28.0,0.0,3.0,15.5,19.0,143,119
6,Jordan Clarkson,Utah Jazz,23:41,2,9,.222,1,6,.167,0,0,0,0,3,3,7,0,1,1,1,5,-2,23:41,.278,.278,.667,.000,0.0,12.2,6.8,32.3,0.0,3.6,10.0,17.7,94,118
7,Joe Ingles,Utah Jazz,23:00,6,13,.462,3,8,.375,1,1,1.000,0,4,4,5,3,0,2,0,16,+2,23:00,.595,.577,.615,.077,0.0,16.7,9.4,29.4,6.1,0.0,13.0,28.1,117,104
8,Rudy Gay,Utah Jazz,18:30,3,4,.750,1,1,1.000,0,0,0,1,5,6,0,0,0,0,3,7,+1,18:30,.875,.875,.250,.000,6.7,25.9,17.5,0.0,0.0,0.0,0.0,9.0,176,114
9,Hassan Whiteside,Utah Jazz,13:00,4,4,1.000,0,0,0,4,4,1.000,1,2,3,0,0,0,1,2,12,+3,13:00,1.042,1.000,.000,1.000,9.5,14.8,12.4,0.0,0.0,0.0,14.8,21.8,177,118
10,Trent Forrest,Utah Jazz,1:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1:54,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,125
11,Jared Butler,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Miye Oni,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eric Paschall,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Elijah Hughes,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Utah Jazz,240,48,90,.533,16,39,.410,16,22,.727,10,35,45,31,7,7,15,17,128,0,240,.642,.622,.433,.244,25.6,70.0,50.6,64.6,6.9,12.5,13.1,100.0,125.4,113.7
