,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Caris LeVert,Indiana Pacers,39:17,9,22,.409,3,10,.300,6,7,.857,1,3,4,9,1,1,1,3,27,+6,39:17,.538,.477,.455,.318,2.3,11.1,5.8,36.7,1.3,2.3,3.8,28.4,123,118
1,Myles Turner,Indiana Pacers,35:31,9,18,.500,0,4,.000,1,2,.500,1,4,5,2,1,2,0,4,19,-1,35:31,.503,.500,.222,.111,2.6,16.4,7.9,9.4,1.4,5.1,0.0,22.7,111,114
2,Domantas Sabonis,Indiana Pacers,35:03,5,17,.294,0,1,.000,4,6,.667,8,8,16,5,2,0,1,1,14,-4,35:03,.356,.294,.059,.353,21.1,33.2,25.8,20.0,2.8,0.0,4.8,25.2,102,116
3,Chris Duarte,Indiana Pacers,33:12,7,14,.500,2,4,.500,0,2,.000,1,4,5,1,2,0,3,2,16,-6,33:12,.538,.571,.286,.143,2.8,17.5,8.5,4.7,3.0,0.0,16.8,23.0,90,116
4,Justin Holiday,Indiana Pacers,28:12,4,7,.571,2,4,.500,0,0,0,0,2,2,2,2,0,1,2,10,-4,28:12,.714,.714,.571,.000,0.0,10.3,4.0,10.0,3.5,0.0,12.5,12.1,126,115
6,Torrey Craig,Indiana Pacers,21:46,3,7,.429,1,4,.250,0,0,0,1,4,5,1,0,1,0,2,7,-7,21:46,.500,.500,.571,.000,4.2,26.7,13.0,6.4,0.0,4.2,0.0,13.8,115,118
7,Oshae Brissett,Indiana Pacers,18:40,2,4,.500,0,1,.000,2,2,1.000,2,2,4,1,1,0,0,1,6,-10,18:40,.615,.500,.250,.500,9.9,15.6,12.1,7.2,2.7,0.0,0.0,11.2,148,117
8,Duane Washington Jr.,Indiana Pacers,10:43,1,3,.333,0,1,.000,0,0,0,0,2,2,2,0,0,1,0,2,+5,10:43,.333,.333,.333,.000,0.0,27.1,10.5,24.5,0.0,0.0,25.0,16.0,72,123
9,Brad Wanamaker,Indiana Pacers,8:43,0,0,0,0,0,0,2,2,1.000,0,1,1,0,0,0,2,0,2,-14,8:43,1.136,0,0,0,0.0,16.7,6.5,0.0,0.0,0.0,69.4,14.1,67,123
10,Kelan Martin,Indiana Pacers,7:03,1,2,.500,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,2,-9,7:03,.500,.500,.500,.000,0.0,20.6,8.0,0.0,0.0,0.0,0.0,12.1,103,122
11,Isaiah Jackson,Indiana Pacers,1:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+4,1:48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.3,0,0.0,0,70
12,Goga Bitadze,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Indiana Pacers,240,41,94,.436,8,30,.267,15,21,.714,14,31,45,23,9,5,9,16,105,0,240,.509,.479,.319,.223,26.9,93.9,52.9,56.1,9.3,9.4,8.0,100.0,108.4,116.6
0,DeMar DeRozan,Chicago Bulls,35:56,9,20,.450,1,1,1.000,5,7,.714,1,2,3,3,2,0,2,3,24,-13,35:56,.520,.475,.050,.350,4.0,5.1,4.7,12.9,2.8,0.0,8.0,33.3,103,110
1,Coby White,Chicago Bulls,33:17,3,10,.300,0,4,.000,2,2,1.000,0,2,2,1,0,1,2,4,8,+2,33:17,.368,.300,.400,.200,0.0,5.5,3.4,3.7,0.0,2.3,15.5,18.4,66,114
2,Zach LaVine,Chicago Bulls,33:05,12,18,.667,5,9,.556,3,5,.600,0,4,4,5,1,1,4,3,32,+10,33:05,.792,.806,.500,.278,0.0,11.2,6.8,28.3,1.5,2.3,16.5,34.9,132,108
3,Nikola Vučević,Chicago Bulls,33:05,7,10,.700,2,3,.667,0,0,0,1,14,15,3,2,2,3,4,16,+10,33:05,.800,.800,.300,.000,4.4,39.1,25.6,13.3,3.0,4.5,23.1,18.7,126,93
4,Javonte Green,Chicago Bulls,28:12,4,4,1.000,1,1,1.000,4,4,1.000,0,4,4,1,0,0,1,0,13,+5,28:12,1.128,1.125,.250,1.000,0.0,13.1,8.0,4.7,0.0,0.0,14.8,11.4,193,113
6,Ayo Dosunmu,Chicago Bulls,23:24,3,4,.750,0,1,.000,0,2,.000,0,2,2,0,0,1,2,1,6,+6,23:24,.615,.750,.250,.500,0.0,7.9,4.8,0.0,0.0,3.2,29.1,14.0,79,112
7,Troy Brown Jr.,Chicago Bulls,19:04,2,5,.400,1,2,.500,0,0,0,0,2,2,2,0,0,0,2,5,+6,19:04,.500,.500,.400,.000,0.0,9.7,5.9,13.3,0.0,0.0,0.0,12.5,113,114
8,Matt Thomas,Chicago Bulls,19:02,1,3,.333,1,2,.500,2,2,1.000,0,3,3,2,0,0,0,0,5,+16,19:02,.644,.500,.667,.667,0.0,14.5,8.9,12.5,0.0,0.0,0.0,9.7,145,112
