,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,DeMar DeRozan,Chicago Bulls,37:48,14,20,.700,2,2,1.000,5,8,.625,1,4,5,10,0,0,3,3,35,+7,37:48,.744,.750,.100,.400,3.0,11.0,7.1,38.2,0.0,0.0,11.3,31.4,145,127
1,Zach LaVine,Chicago Bulls,37:17,11,22,.500,5,8,.625,3,3,1.000,1,3,4,9,1,0,2,0,30,+18,37:17,.643,.614,.364,.136,3.0,8.4,5.8,31.5,1.3,0.0,7.9,30.4,134,125
2,Nikola Vučević,Chicago Bulls,34:09,9,19,.474,4,8,.500,2,3,.667,4,13,17,6,0,4,0,3,24,+15,34:09,.591,.579,.421,.158,13.1,39.7,26.8,22.0,0.0,10.2,0.0,26.7,141,111
3,Javonte Green,Chicago Bulls,29:22,1,2,.500,0,1,.000,0,0,0,1,5,6,0,0,1,0,3,2,+17,29:22,.500,.500,.500,.000,3.8,17.8,11.0,0.0,0.0,3.0,0.0,3.1,129,123
4,Coby White,Chicago Bulls,25:01,5,11,.455,3,7,.429,0,0,0,0,4,4,0,2,0,1,5,13,+3,25:01,.591,.591,.636,.000,0.0,16.7,8.6,0.0,4.0,0.0,8.3,21.5,103,116
6,Ayo Dosunmu,Chicago Bulls,24:42,4,6,.667,0,2,.000,0,0,0,0,0,0,2,0,1,1,4,8,+9,24:42,.667,.667,.333,.000,0.0,0.0,0.0,9.0,0.0,3.5,14.3,12.7,121,128
7,Matt Thomas,Chicago Bulls,19:11,3,6,.500,3,5,.600,0,0,0,1,1,2,1,1,0,0,0,9,+1,19:11,.750,.750,.833,.000,5.8,5.4,5.6,5.8,2.6,0.0,0.0,14.0,156,123
8,Troy Brown Jr.,Chicago Bulls,18:39,3,6,.500,1,4,.250,0,0,0,0,2,2,1,1,0,0,0,7,-7,18:39,.583,.583,.667,.000,0.0,11.2,5.8,5.9,2.7,0.0,0.0,14.4,123,121
9,Tyler Cook,Chicago Bulls,13:51,1,2,.500,0,0,0,0,0,0,1,3,4,0,0,0,0,1,2,-3,13:51,.500,.500,.000,.000,8.1,22.6,15.6,0.0,0.0,0.0,0.0,6.5,129,124
10,Ersan İlyasova,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
