,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Julius Randle,New York Knicks,26:05,2,11,.182,0,3,.000,1,1,1.000,3,7,10,5,2,0,3,2,5,-27,26:05,.219,.182,.273,.091,12.0,28.6,20.2,33.7,3.9,0.0,20.8,24.4,64,84
1,RJ Barrett,New York Knicks,25:24,5,12,.417,1,4,.250,4,4,1.000,0,7,7,1,0,1,1,1,15,-29,25:24,.545,.458,.333,.333,0.0,29.4,14.5,8.8,0.0,4.1,6.8,25.6,108,90
2,Mitchell Robinson,New York Knicks,20:02,3,7,.429,0,0,0,1,3,.333,6,1,7,1,0,0,3,1,7,-22,20:02,.421,.429,.000,.429,31.3,5.3,18.4,10.1,0.0,0.0,26.5,24.9,86,100
3,Kemba Walker,New York Knicks,19:52,1,5,.200,0,2,.000,0,0,0,0,2,2,2,0,0,3,0,2,-21,19:52,.200,.200,.400,.000,0.0,10.7,5.3,16.9,0.0,0.0,37.5,17.8,37,99
4,Quentin Grimes,New York Knicks,12:37,0,5,.000,0,5,.000,0,0,0,0,1,1,0,1,0,1,2,0,-17,12:37,.000,.000,1.000,.000,0.0,8.5,4.2,0.0,4.0,0.0,16.7,21.0,0,90
6,Immanuel Quickley,New York Knicks,34:40,4,13,.308,2,7,.286,8,8,1.000,0,1,1,2,1,0,1,1,18,+27,34:40,.545,.385,.538,.615,0.0,3.1,1.5,10.9,1.5,0.0,5.7,22.3,115,97
7,Taj Gibson,New York Knicks,27:58,1,2,.500,0,0,0,2,2,1.000,2,6,8,2,1,4,0,2,4,+31,27:58,.694,.500,.000,1.000,7.5,22.9,15.1,11.7,1.8,14.9,0.0,4.5,173,81
8,Alec Burks,New York Knicks,26:54,12,17,.706,5,8,.625,5,5,1.000,0,4,4,2,3,0,3,2,34,+28,26:54,.885,.853,.471,.294,0.0,15.9,7.8,37.2,5.6,0.0,13.5,36.4,142,84
9,Miles McBride,New York Knicks,24:33,0,4,.000,0,1,.000,0,0,0,0,4,4,3,2,0,1,2,0,+39,24:33,.000,.000,.250,.000,0.0,17.4,8.6,18.9,4.1,0.0,20.0,9.0,31,87
10,Obi Toppin,New York Knicks,21:55,3,5,.600,0,1,.000,3,4,.750,0,4,4,1,1,0,0,1,9,+36,21:55,.666,.600,.200,.800,0.0,19.5,9.6,9.0,2.3,0.0,0.0,13.6,142,91
11,Kevin Knox,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Evan Fournier,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Damyean Dotson,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New York Knicks,240,31,81,.383,8,31,.258,24,27,.889,11,37,48,19,11,5,16,14,94,0,240,.506,.432,.383,.333,23.9,82.2,52.7,61.3,11.6,10.9,14.7,100.0,98.9,89.4
