,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devin Booker,Phoenix Suns,37:31,7,26,.269,1,5,.200,7,7,1.000,0,6,6,4,2,0,2,2,22,-16,37:31,.378,.288,.192,.269,0.0,21.9,8.7,16.0,2.7,0.0,6.4,34.3,87,125
1,Cameron Johnson,Phoenix Suns,34:02,8,15,.533,4,9,.444,0,0,0,4,1,5,1,2,0,1,3,20,-10,34:02,.667,.667,.600,.000,10.6,4.0,8.0,4.7,2.9,0.0,6.3,19.4,136,129
2,Chris Paul,Phoenix Suns,33:47,6,15,.400,2,6,.333,0,0,0,1,4,5,8,2,0,2,2,14,+4,33:47,.467,.467,.400,.000,2.7,16.2,8.1,35.0,2.9,0.0,11.8,20.8,107,125
3,Mikal Bridges,Phoenix Suns,29:19,4,11,.364,2,4,.500,0,0,0,0,4,4,2,2,1,0,3,10,+9,29:19,.455,.455,.364,.000,0.0,18.7,7.4,9.5,3.4,2.9,0.0,15.5,106,122
4,Jalen Smith,Phoenix Suns,26:40,7,9,.778,0,1,.000,5,5,1.000,5,2,7,0,0,1,0,5,19,-12,26:40,.848,.778,.111,.556,17.0,10.3,14.3,0.0,0.0,3.2,0.0,17.4,184,132
6,Landry Shamet,Phoenix Suns,23:15,2,5,.400,0,3,.000,0,0,0,0,1,1,2,0,0,0,0,4,-12,23:15,.400,.400,.600,.000,0.0,5.9,2.3,11.2,0.0,0.0,0.0,8.9,103,135
7,Cameron Payne,Phoenix Suns,21:23,3,9,.333,1,4,.250,2,2,1.000,0,1,1,2,0,0,1,2,9,-27,21:23,.455,.389,.444,.222,0.0,6.4,2.6,13.1,0.0,0.0,9.2,21.0,98,135
8,Ish Wainright,Phoenix Suns,12:46,2,4,.500,1,3,.333,0,0,0,1,0,1,0,0,0,1,2,5,+1,12:46,.625,.625,.750,.000,7.1,0.0,4.3,0.0,0.0,0.0,20.0,16.2,105,136
9,Emanuel Terry,Phoenix Suns,10:33,0,1,.000,0,0,0,0,0,0,3,3,6,0,0,0,2,1,0,-15,10:33,.000,.000,.000,.000,25.8,39.0,31.0,0.0,0.0,0.0,66.7,11.8,51,126
10,Elfrid Payton,Phoenix Suns,10:05,2,4,.500,0,0,0,1,2,.500,1,0,1,1,2,0,0,1,5,+3,10:05,.512,.500,.000,.500,9.0,0.0,5.4,15.1,9.9,0.0,0.0,20.0,123,114
