,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,37:45,4,9,.444,2,5,.400,2,2,1.000,1,2,3,6,1,1,0,1,12,+23,37:45,.607,.556,.556,.222,3.6,5.7,4.8,20.7,1.4,2.1,0.0,12.4,149,106
1,Jalen Brunson,Dallas Mavericks,34:34,11,19,.579,1,2,.500,0,0,0,1,4,5,8,0,0,3,0,23,+18,34:34,.605,.605,.105,.000,4.0,12.3,8.7,41.6,0.0,0.0,13.6,30.0,118,109
2,Kristaps Porziņģis,Dallas Mavericks,32:44,8,12,.667,2,4,.500,6,7,.857,3,6,9,6,0,2,2,2,24,+27,32:44,.796,.750,.333,.583,12.6,19.6,16.5,29.1,0.0,4.7,11.7,24.6,153,103
3,Reggie Bullock,Dallas Mavericks,30:30,5,8,.625,3,5,.600,3,4,.750,0,5,5,3,1,0,1,1,16,+17,30:30,.820,.813,.625,.500,0.0,17.5,9.8,13.8,1.7,0.0,9.3,16.7,150,104
4,Dwight Powell,Dallas Mavericks,20:10,5,10,.500,0,0,0,3,3,1.000,4,3,7,1,2,0,1,3,13,+4,20:10,.574,.500,.000,.300,27.2,15.9,20.8,7.9,5.2,0.0,8.1,28.8,127,97
6,Josh Green,Dallas Mavericks,26:26,2,6,.333,0,1,.000,4,4,1.000,0,2,2,1,0,0,2,2,8,+12,26:26,.515,.333,.167,.667,0.0,8.1,4.5,4.7,0.0,0.0,20.5,17.4,93,110
7,Sterling Brown,Dallas Mavericks,21:00,3,5,.600,1,3,.333,1,2,.500,0,7,7,1,0,1,0,0,8,+8,21:00,.680,.700,.600,.400,0.0,35.6,20.0,6.5,0.0,3.7,0.0,13.2,140,100
8,Marquese Chriss,Dallas Mavericks,18:29,4,5,.800,0,0,0,0,0,0,0,7,7,0,0,1,1,2,8,+9,18:29,.800,.800,.000,.000,0.0,40.4,22.7,0.0,0.0,4.2,16.7,15.3,117,99
9,Theo Pinson,Dallas Mavericks,8:09,0,2,.000,0,1,.000,0,0,0,0,1,1,3,0,1,0,1,0,-11,8:09,.000,.000,.500,.000,0.0,13.1,7.4,42.1,0.0,9.5,0.0,11.6,82,100
10,Carlik Jones,Dallas Mavericks,5:26,0,4,.000,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,-9,5:26,.000,.000,.000,.000,25.2,0.0,11.0,21.0,9.6,0.0,20.0,43.4,32,92
