,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Josh Hart,New Orleans Pelicans,35:42,5,13,.385,1,6,.167,3,9,.333,3,8,11,9,1,1,3,4,14,-20,35:42,.413,.423,.462,.692,7.0,26.9,15.1,37.5,1.2,3.1,15.0,21.8,97,127
1,Herbert Jones,New Orleans Pelicans,35:26,6,13,.462,2,6,.333,0,0,0,2,4,6,3,3,3,3,2,14,-18,35:26,.538,.538,.462,.000,4.7,13.5,8.3,13.2,3.8,9.2,18.8,17.6,96,117
2,Devonte' Graham,New Orleans Pelicans,30:24,4,13,.308,4,11,.364,2,2,1.000,0,3,3,3,1,0,1,1,14,-13,30:24,.504,.462,.846,.154,0.0,11.8,4.8,14.5,1.5,0.0,6.7,19.1,104,130
3,Garrett Temple,New Orleans Pelicans,25:12,5,12,.417,4,9,.444,0,0,0,0,3,3,4,1,0,0,0,14,-19,25:12,.583,.583,.750,.000,0.0,14.3,5.8,25.8,1.8,0.0,0.0,18.6,127,129
4,Willy Hernangómez,New Orleans Pelicans,19:39,4,9,.444,0,0,0,3,5,.600,4,4,8,1,0,0,2,1,11,-13,19:39,.491,.444,.000,.556,16.8,24.4,19.9,8.4,0.0,0.0,15.2,26.2,100,132
6,Jaxson Hayes,New Orleans Pelicans,27:32,9,12,.750,0,0,0,5,5,1.000,3,4,7,1,0,1,1,3,23,-5,27:32,.810,.750,.000,.417,9.0,17.4,12.5,7.5,0.0,4.0,6.6,21.5,156,130
7,Nickeil Alexander-Walker,New Orleans Pelicans,26:48,4,16,.250,4,13,.308,1,3,.333,0,5,5,0,0,0,3,3,13,-4,26:48,.375,.375,.813,.188,0.0,22.4,9.1,0.0,0.0,0.0,14.8,29.5,63,132
8,Gary Clark,New Orleans Pelicans,17:09,1,2,.500,1,2,.500,0,0,0,2,1,3,1,1,0,0,0,3,-11,17:09,.750,.750,1.000,.000,9.7,7.0,8.6,7.7,2.6,0.0,0.0,4.5,174,128
9,Tomáš Satoranský,New Orleans Pelicans,13:44,1,2,.500,0,1,.000,3,4,.750,0,3,3,6,3,0,0,2,5,0,13:44,.665,.500,.500,2.000,0.0,26.2,10.7,59.1,9.7,0.0,0.0,10.7,175,108
10,Trey Murphy III,New Orleans Pelicans,2:48,0,0,0,0,0,0,2,2,1.000,0,0,0,0,0,0,1,0,2,-4,2:48,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.8,0,134
11,Jose Alvarado,New Orleans Pelicans,2:48,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,-4,2:48,.000,.000,1.000,.000,0.0,42.9,17.5,0.0,0.0,0.0,0.0,27.8,0,131
12,Naji Marshall,New Orleans Pelicans,2:48,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,0,0,-4,2:48,1.136,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,26.2,106,134
13,Jared Harper,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Justin James,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,New Orleans Pelicans,240,39,95,.411,16,51,.314,19,30,.633,14,36,50,28,10,5,15,16,113,0,240,.522,.495,.537,.316,24.1,90.0,51.0,71.8,9.3,11.4,12.2,100.0,105.1,126.4
0,Jrue Holiday,Milwaukee Bucks,33:28,8,14,.571,1,3,.333,4,4,1.000,1,3,4,6,2,2,4,0,21,+18,33:28,.666,.607,.214,.286,3.6,7.4,5.9,22.9,2.7,6.5,20.2,25.1,120,104
1,Giannis Antetokounmpo,Milwaukee Bucks,32:12,12,18,.667,2,4,.500,9,12,.750,1,15,16,10,2,0,4,4,35,+25,32:12,.752,.722,.222,.667,3.7,38.6,24.3,47.9,2.8,0.0,14.7,36.0,143,94
2,Grayson Allen,Milwaukee Bucks,30:46,6,14,.429,4,12,.333,0,0,0,0,4,4,2,0,1,0,1,16,+5,30:46,.571,.571,.857,.000,0.0,10.8,6.4,7.9,0.0,3.5,0.0,19.3,115,110
3,Pat Connaughton,Milwaukee Bucks,28:45,3,6,.500,3,6,.500,0,0,0,0,6,6,3,1,1,1,1,9,+18,28:45,.750,.750,1.000,.000,0.0,17.3,10.2,11.4,1.6,3.8,14.3,10.3,133,104
4,Bobby Portis,Milwaukee Bucks,21:10,5,11,.455,4,6,.667,0,0,0,1,5,6,1,0,0,1,4,14,+16,21:10,.636,.636,.545,.000,5.7,19.5,13.9,6.0,0.0,0.0,8.3,24.1,115,107
6,George Hill,Milwaukee Bucks,20:10,2,4,.500,2,2,1.000,2,2,1.000,0,1,1,2,1,0,0,0,8,+18,20:10,.820,.750,.500,.500,0.0,4.1,2.4,10.8,2.2,0.0,0.0,10.3,171,110
7,Jordan Nwora,Milwaukee Bucks,18:47,9,11,.818,5,7,.714,0,0,0,0,4,4,0,0,0,0,3,23,+7,18:47,1.045,1.045,.636,.000,0.0,17.6,10.4,0.0,0.0,0.0,0.0,24.9,186,108
8,DeMarcus Cousins,Milwaukee Bucks,18:08,2,6,.333,1,3,.333,0,0,0,1,5,6,0,1,0,1,3,5,-10,18:08,.417,.417,.500,.000,6.6,22.8,16.2,0.0,2.5,0.0,14.3,16.4,79,101
9,Wesley Matthews,Milwaukee Bucks,15:53,1,4,.250,0,3,.000,0,0,0,0,0,0,0,0,0,2,1,2,+1,15:53,.250,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.1,32,116
10,Rodney Hood,Milwaukee Bucks,12:17,0,2,.000,0,1,.000,0,0,0,0,0,0,0,1,0,0,1,0,+5,12:17,.000,.000,.500,.000,0.0,0.0,0.0,0.0,3.6,0.0,0.0,6.9,0,107
11,Sandro Mamukelashvili,Milwaukee Bucks,2:48,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,3,+4,2:48,0,0,0,0,0.0,29.6,17.5,0.0,15.9,0.0,0,0.0,0,66
12,Javin DeLaurier,Milwaukee Bucks,2:48,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,+4,2:48,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,300,116
13,Javonte Smart,Milwaukee Bucks,2:48,0,1,.000,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,+4,2:48,.000,.000,.000,.000,0.0,0.0,0.0,100.0,15.9,0.0,0.0,15.2,128,77
14,Team Totals,Milwaukee Bucks,240,49,92,.533,23,48,.479,15,18,.833,4,44,48,27,10,4,13,20,136,0,240,.681,.658,.522,.196,10.0,75.9,49.0,55.1,9.3,9.1,11.5,100.0,126.4,105.1
