,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Gary Harris,Orlando Magic,42:37,9,16,.563,1,5,.200,4,6,.667,1,2,3,1,4,0,3,6,23,+8,42:37,.617,.594,.313,.375,2.6,5.7,4.1,4.3,4.6,0.0,13.9,22.3,110,105
1,Wendell Carter Jr.,Orlando Magic,40:51,5,16,.313,1,4,.250,4,5,.800,3,13,16,7,1,1,2,5,15,-12,40:51,.412,.344,.250,.313,8.3,38.3,22.8,27.1,1.2,2.6,9.9,21.7,99,104
2,Tim Frazier,Orlando Magic,39:02,5,9,.556,1,2,.500,3,3,1.000,2,3,5,3,1,0,3,5,14,-11,39:02,.678,.611,.222,.333,5.8,9.3,7.5,12.3,1.3,0.0,22.5,15.0,116,112
3,Franz Wagner,Orlando Magic,34:19,5,14,.357,0,1,.000,4,6,.667,1,2,3,2,1,1,3,2,14,-16,34:19,.421,.357,.071,.429,3.3,7.0,5.1,9.6,1.4,3.1,15.3,25.1,82,111
4,Mo Bamba,Orlando Magic,18:02,2,6,.333,2,2,1.000,0,0,0,0,7,7,0,1,0,0,0,6,-7,18:02,.500,.500,.333,.000,0.0,46.8,22.6,0.0,2.7,0.0,0.0,14.6,104,101
6,Terrence Ross,Orlando Magic,35:26,11,19,.579,4,8,.500,7,7,1.000,1,4,5,0,3,0,1,0,33,-3,35:26,.747,.684,.421,.368,3.2,13.6,8.2,0.0,4.2,0.0,4.3,28.6,146,105
7,Admiral Schofield,Orlando Magic,18:01,0,4,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,3,0,+6,18:01,.000,.000,.500,.000,0.0,6.7,3.2,0.0,0.0,0.0,0.0,9.7,0,116
8,Hassani Gravett,Orlando Magic,15:49,1,3,.333,0,2,.000,0,0,0,0,1,1,3,0,0,1,3,2,+3,15:49,.333,.333,.667,.000,0.0,7.6,3.7,27.4,0.0,0.0,25.0,11.1,80,116
9,R.J. Hampton,Orlando Magic,11:31,1,3,.333,0,0,0,0,0,0,1,2,3,1,0,0,0,0,2,-2,11:31,.333,.333,.000,.000,9.8,20.9,15.2,13.0,0.0,0.0,0.0,11.4,99,113
10,Ignas Brazdeikis,Orlando Magic,7:11,0,4,.000,0,1,.000,0,0,0,1,0,1,0,1,1,1,0,0,+3,7:11,.000,.000,.250,.000,15.7,0.0,8.1,0.0,6.9,14.8,20.0,30.5,15,92
