,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Domantas Sabonis,Indiana Pacers,39:26,10,15,.667,3,3,1.000,9,10,.900,1,12,13,7,0,1,3,2,32,+9,39:26,.825,.767,.200,.667,2.7,34.8,18.2,34.3,0.0,2.0,13.4,26.4,152,114
1,Myles Turner,Indiana Pacers,36:48,4,11,.364,2,5,.400,2,4,.500,5,5,10,3,2,3,3,5,12,+1,36:48,.470,.455,.455,.364,14.5,15.5,15.0,12.3,2.8,6.3,19.0,19.9,101,110
2,Justin Holiday,Indiana Pacers,36:40,6,10,.600,6,9,.667,0,0,0,0,3,3,3,1,1,1,6,18,+5,36:40,.900,.900,.900,.000,0.0,9.4,4.5,13.5,1.4,2.1,9.1,14.0,154,118
3,Keifer Sykes,Indiana Pacers,35:04,4,10,.400,2,7,.286,0,0,0,0,3,3,5,1,1,3,4,10,+7,35:04,.500,.500,.700,.000,0.0,9.8,4.7,21.7,1.5,2.2,23.1,17.2,93,117
4,Duane Washington Jr.,Indiana Pacers,34:22,8,17,.471,4,9,.444,0,0,0,0,2,2,1,1,0,1,4,20,-5,34:22,.588,.588,.529,.000,0.0,6.7,3.2,5.4,1.5,0.0,5.6,24.4,107,120
6,Torrey Craig,Indiana Pacers,21:00,0,5,.000,0,3,.000,0,0,0,0,0,0,1,1,0,0,0,0,-10,21:00,.000,.000,.600,.000,0.0,0.0,0.0,6.2,2.5,0.0,0.0,11.1,17,120
7,Oshae Brissett,Indiana Pacers,16:16,2,6,.333,2,4,.500,0,0,0,2,2,4,1,0,0,2,0,6,-13,16:16,.500,.500,.667,.000,13.1,14.1,13.6,9.5,0.0,0.0,25.0,22.9,90,121
8,Lance Stephenson,Indiana Pacers,12:34,3,7,.429,0,4,.000,0,0,0,0,1,1,3,0,0,0,2,6,-8,12:34,.429,.429,.571,.000,0.0,9.1,4.4,44.9,0.0,0.0,0.0,25.9,109,122
9,Justin Anderson,Indiana Pacers,7:50,0,2,.000,0,2,.000,0,0,0,1,2,3,0,0,0,1,1,0,-6,7:50,.000,.000,1.000,.000,13.6,29.2,21.1,0.0,0.0,0.0,33.3,17.8,26,116
10,Ahmad Caver,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Nate Hinton,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Terry Taylor,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
