,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kevin Durant,Brooklyn Nets,41:21,15,24,.625,2,6,.333,7,7,1.000,1,7,8,7,1,0,3,3,39,+13,41:21,.720,.667,.250,.292,3.3,22.6,13.1,25.7,1.2,0.0,10.0,31.8,139,126
1,James Harden,Brooklyn Nets,40:09,5,12,.417,0,4,.000,8,10,.800,0,5,5,6,1,0,1,3,18,+3,40:09,.549,.417,.333,.833,0.0,16.6,8.4,16.7,1.2,0.0,5.7,19.0,124,127
2,Kyrie Irving,Brooklyn Nets,31:59,9,17,.529,0,2,.000,4,4,1.000,0,3,3,4,3,1,2,3,22,+16,31:59,.586,.529,.118,.235,0.0,12.5,6.3,16.9,4.5,3.5,9.6,28.4,116,117
3,Nic Claxton,Brooklyn Nets,23:15,5,8,.625,0,0,0,2,3,.667,2,3,5,3,2,1,1,5,12,-6,23:15,.644,.625,.000,.375,11.8,17.2,14.5,16.0,4.2,4.8,9.7,19.4,134,117
4,David Duke Jr.,Brooklyn Nets,17:40,0,2,.000,0,2,.000,2,2,1.000,1,2,3,1,1,0,2,3,2,-13,17:40,.347,.000,1.000,1.000,7.8,15.1,11.5,5.5,2.7,0.0,41.0,12.1,69,123
6,Patty Mills,Brooklyn Nets,35:09,2,6,.333,2,6,.333,0,0,0,0,2,2,5,2,0,0,1,6,+10,35:09,.500,.500,1.000,.000,0.0,7.6,3.8,14.8,2.8,0.0,0.0,7.5,131,125
7,DeAndre' Bembry,Brooklyn Nets,20:01,5,5,1.000,0,0,0,2,2,1.000,1,4,5,1,2,2,0,1,12,+24,20:01,1.020,1.000,.000,.400,6.9,26.6,16.9,6.5,4.8,11.2,0.0,12.8,210,110
8,LaMarcus Aldridge,Brooklyn Nets,16:06,6,7,.857,0,0,0,1,1,1.000,1,2,3,0,0,0,2,0,13,+2,16:06,.874,.857,.000,.143,8.5,16.6,12.6,0.0,0.0,0.0,21.2,25.6,128,130
9,James Johnson,Brooklyn Nets,9:10,2,3,.667,1,1,1.000,0,0,0,2,1,3,0,0,0,0,0,5,-6,9:10,.833,.833,.333,.000,29.9,14.5,22.1,0.0,0.0,0.0,0.0,14.3,177,130
10,Blake Griffin,Brooklyn Nets,5:10,0,2,.000,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,-3,5:10,.000,.000,.000,.000,26.5,0.0,13.1,19.0,9.4,0.0,0.0,16.9,71,111
11,Bruce Brown,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Paul Millsap,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cam Thomas,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Day'Ron Sharpe,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jevon Carter,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Brooklyn Nets,240,49,86,.570,5,21,.238,26,29,.897,9,29,38,28,13,4,11,20,129,0,240,.653,.599,.244,.337,25.7,80.6,53.5,57.1,13.1,9.3,10.0,100.0,130.2,122.2
0,Keifer Sykes,Indiana Pacers,39:45,6,10,.600,2,4,.500,4,4,1.000,0,3,3,5,0,0,1,4,18,-6,39:45,.765,.700,.400,.400,0.0,10.4,5.1,17.9,0.0,0.0,7.8,14.1,151,134
1,Domantas Sabonis,Indiana Pacers,37:55,10,13,.769,1,1,1.000,11,13,.846,2,10,12,10,0,0,6,4,32,-5,37:55,.855,.808,.077,1.000,7.0,36.2,21.4,44.7,0.0,0.0,24.3,28.6,142,130
2,Duane Washington Jr.,Indiana Pacers,37:09,3,13,.231,2,7,.286,2,2,1.000,0,3,3,3,0,0,3,2,10,-5,37:09,.360,.308,.538,.154,0.0,11.1,5.5,10.4,0.0,0.0,17.8,20.0,71,134
3,Myles Turner,Indiana Pacers,31:01,5,10,.500,1,4,.250,3,3,1.000,0,4,4,1,1,5,0,1,14,-2,31:01,.618,.550,.400,.300,0.0,17.7,8.7,4.7,1.6,11.9,0.0,16.0,129,120
4,Justin Holiday,Indiana Pacers,26:06,2,10,.200,1,9,.111,2,2,1.000,0,1,1,0,0,0,1,0,7,-17,26:06,.322,.250,.900,.200,0.0,5.3,2.6,0.0,0.0,0.0,8.4,20.0,63,135
6,Lance Stephenson,Indiana Pacers,32:23,12,19,.632,4,8,.500,2,2,1.000,1,1,2,5,1,0,3,3,30,-6,32:23,.755,.737,.421,.105,4.1,4.2,4.2,31.9,1.5,0.0,13.1,31.0,132,131
7,Oshae Brissett,Indiana Pacers,26:14,2,4,.500,2,4,.500,2,2,1.000,4,4,8,0,1,0,1,2,8,-11,26:14,.820,.750,1.000,.500,20.3,20.9,20.6,0.0,1.8,0.0,17.0,9.8,154,128
8,Justin Anderson,Indiana Pacers,6:57,0,2,.000,0,2,.000,0,0,0,0,0,0,1,0,0,0,3,0,+6,6:57,.000,.000,1.000,.000,0.0,0.0,0.0,16.8,0.0,0.0,0.0,12.6,35,135
9,Ahmad Caver,Indiana Pacers,0:50,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+2,0:50,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,200,135
10,Nate Hinton,Indiana Pacers,0:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0:50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,135
11,Terry Taylor,Indiana Pacers,0:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,+2,0:50,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,232,135
12,Team Totals,Indiana Pacers,240,41,82,.500,13,39,.333,26,28,.929,7,26,33,26,3,5,15,19,121,0,240,.641,.579,.476,.341,19.4,74.3,46.5,63.4,3.0,7.7,13.7,100.0,122.2,130.2
