,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tobias Harris,Philadelphia 76ers,43:47,9,19,.474,3,6,.500,1,1,1.000,0,9,9,4,2,2,3,3,22,+2,43:47,.566,.553,.316,.053,0.0,21.4,11.1,13.2,2.2,4.3,13.4,22.3,104,101
1,Seth Curry,Philadelphia 76ers,41:40,8,13,.615,3,5,.600,1,2,.500,0,7,7,12,1,0,4,2,20,+17,41:40,.720,.731,.385,.154,0.0,17.5,9.1,40.9,1.2,0.0,22.4,18.6,128,107
2,Furkan Korkmaz,Philadelphia 76ers,40:07,6,15,.400,4,9,.444,4,4,1.000,0,5,5,1,1,0,2,1,20,-1,40:07,.597,.533,.600,.267,0.0,13.0,6.7,3.3,1.2,0.0,10.7,20.3,110,108
3,Joel Embiid,Philadelphia 76ers,33:14,12,22,.545,0,2,.000,7,10,.700,3,2,5,4,1,1,6,4,31,+1,33:14,.587,.545,.091,.455,10.1,6.3,8.1,22.5,1.4,2.8,18.5,42.3,105,108
4,Danny Green,Philadelphia 76ers,23:49,0,2,.000,0,2,.000,0,0,0,0,0,0,0,1,0,0,1,0,-13,23:49,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0,111
6,Georges Niang,Philadelphia 76ers,29:27,2,5,.400,1,3,.333,3,4,.750,3,3,6,1,0,0,0,1,8,+28,29:27,.592,.500,.600,.800,11.4,10.6,11.0,4.1,0.0,0.0,0.0,10.0,146,112
7,Andre Drummond,Philadelphia 76ers,18:16,5,8,.625,0,0,0,2,3,.667,4,4,8,4,2,1,0,2,12,+14,18:16,.644,.625,.000,.375,24.4,22.8,23.6,35.2,5.3,5.2,0.0,22.2,157,93
8,Isaiah Joe,Philadelphia 76ers,6:59,1,1,1.000,1,1,1.000,0,0,0,0,2,2,0,0,0,0,0,3,+7,6:59,1.500,1.500,1.000,.000,0.0,29.9,15.4,0.0,0.0,0.0,0.0,6.2,300,105
9,Myles Powell,Philadelphia 76ers,2:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5,2:39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
10,Charles Bassey,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
