,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Maxi Kleber,Dallas Mavericks,25:46,3,6,.500,2,4,.500,0,1,.000,1,10,11,1,1,1,3,5,8,+31,25:46,.621,.667,.667,.167,4.2,36.5,21.6,4.3,1.8,4.2,31.8,15.1,85,94
1,Jalen Brunson,Dallas Mavericks,25:29,7,11,.636,0,1,.000,1,2,.500,1,3,4,10,1,0,2,2,15,+31,25:29,.631,.636,.091,.182,4.3,11.1,7.9,52.6,1.8,0.0,14.4,22.5,137,103
2,Dorian Finney-Smith,Dallas Mavericks,23:26,4,5,.800,1,2,.500,1,2,.500,0,3,3,3,0,0,0,1,10,+20,23:26,.850,.900,.400,.400,0.0,12.0,6.5,15.1,0.0,0.0,0.0,10.4,177,107
3,Reggie Bullock,Dallas Mavericks,23:00,5,10,.500,5,9,.556,0,0,0,0,7,7,4,1,0,1,0,15,+20,23:00,.750,.750,.900,.000,0.0,28.6,15.4,21.6,2.0,0.0,9.1,19.7,140,99
4,Dwight Powell,Dallas Mavericks,18:28,6,8,.750,0,0,0,3,5,.600,3,2,5,1,0,1,1,2,15,+15,18:28,.735,.750,.000,.625,17.7,10.2,13.7,7.8,0.0,5.9,8.9,25.0,142,103
6,Josh Green,Dallas Mavericks,25:01,6,7,.857,1,1,1.000,4,5,.800,3,2,5,2,2,0,0,3,17,-3,25:01,.924,.929,.143,.714,13.1,7.5,10.1,10.2,3.7,0.0,0.0,15.2,195,99
7,Tim Hardaway Jr.,Dallas Mavericks,24:07,5,11,.455,5,10,.500,4,7,.571,0,4,4,7,0,0,0,1,19,+10,24:07,.675,.682,.909,.636,0.0,15.6,8.4,35.7,0.0,0.0,0.0,24.1,153,106
8,Sterling Brown,Dallas Mavericks,19:20,4,7,.571,1,3,.333,0,0,0,0,4,4,0,0,1,0,2,9,+9,19:20,.643,.643,.429,.000,0.0,19.5,10.5,0.0,0.0,5.6,0.0,14.9,124,101
9,Frank Ntilikina,Dallas Mavericks,16:19,3,7,.429,1,3,.333,0,0,0,1,2,3,4,1,0,1,3,7,+2,16:19,.500,.500,.429,.000,6.7,11.5,9.3,29.3,2.8,0.0,12.5,20.2,117,100
10,Trey Burke,Dallas Mavericks,15:49,3,9,.333,1,3,.333,0,0,0,1,0,1,1,0,0,2,1,7,-7,15:49,.389,.389,.333,.000,6.9,0.0,3.2,7.6,0.0,0.0,18.2,28.7,75,109
11,Moses Brown,Dallas Mavericks,11:02,1,3,.333,0,0,0,0,2,.000,0,5,5,0,0,1,2,2,2,-12,11:02,.258,.333,.000,.667,0.0,42.7,22.9,0.0,0.0,9.9,34.0,22.0,32,94
12,Marquese Chriss,Dallas Mavericks,9:06,2,4,.500,0,0,0,2,4,.500,1,2,3,1,0,0,2,2,6,+7,9:06,.521,.500,.000,1.000,12.0,20.7,16.7,13.7,0.0,0.0,25.8,35.2,90,104
13,Theo Pinson,Dallas Mavericks,3:07,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,-3,3:07,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0,109
14,Team Totals,Dallas Mavericks,240,49,90,.544,17,38,.447,15,28,.536,11,44,55,34,6,4,14,24,130,0,240,.635,.639,.422,.311,25.0,86.3,57.9,69.4,5.8,9.1,12.0,100.0,124.7,101.7
0,Kevin Porter Jr.,Houston Rockets,27:18,4,8,.500,2,3,.667,1,1,1.000,1,1,2,4,0,0,2,4,11,-18,27:18,.652,.625,.375,.125,3.4,4.0,3.7,23.5,0.0,0.0,19.2,16.3,117,129
1,Jae'Sean Tate,Houston Rockets,26:00,6,12,.500,2,4,.500,1,2,.500,2,6,8,5,0,0,1,4,15,-18,26:00,.582,.583,.333,.167,7.2,25.2,15.5,35.6,0.0,0.0,7.2,22.7,124,125
2,Jalen Green,Houston Rockets,24:59,4,8,.500,1,2,.500,3,4,.750,1,2,3,1,1,0,1,1,12,-22,24:59,.615,.563,.250,.500,3.8,8.7,6.1,6.6,1.8,0.0,9.3,18.3,118,125
3,Christian Wood,Houston Rockets,24:01,8,13,.615,1,5,.200,3,7,.429,0,3,3,1,1,1,1,2,20,-21,24:01,.622,.654,.385,.538,0.0,13.6,6.3,9.5,1.9,3.8,5.9,30.3,114,121
4,Eric Gordon,Houston Rockets,21:23,1,5,.200,0,3,.000,3,3,1.000,0,2,2,2,0,0,1,0,5,-21,21:23,.396,.200,.600,.600,0.0,10.2,4.7,12.9,0.0,0.0,13.7,14.6,83,130
6,Garrison Mathews,Houston Rockets,25:20,4,9,.444,3,8,.375,4,4,1.000,0,2,2,0,0,0,1,5,15,-10,25:20,.697,.611,.889,.444,0.0,8.6,4.0,0.0,0.0,0.0,8.5,19.8,126,128
7,Josh Christopher,Houston Rockets,21:21,3,8,.375,0,2,.000,1,1,1.000,2,4,6,1,2,0,3,2,7,-6,21:21,.415,.375,.250,.125,8.8,20.4,14.2,7.4,4.3,0.0,26.2,22.8,74,117
8,David Nwaba,Houston Rockets,20:58,1,6,.167,0,4,.000,3,5,.600,0,5,5,1,0,1,0,0,5,+1,20:58,.305,.167,.667,.833,0.0,26.0,12.0,6.6,0.0,4.4,0.0,16.6,71,124
9,Kenyon Martin Jr.,Houston Rockets,17:18,2,5,.400,1,2,.500,1,2,.500,0,3,3,1,1,1,1,0,6,-16,17:18,.510,.500,.400,.400,0.0,18.9,8.8,8.8,2.7,5.3,14.5,16.9,91,119
10,Armoni Brooks,Houston Rockets,14:43,3,8,.375,1,6,.167,0,0,0,0,2,2,0,0,0,2,1,7,+3,14:43,.438,.438,.750,.000,0.0,14.8,6.9,0.0,0.0,0.0,20.0,28.9,66,128
11,Daishen Nix,Houston Rockets,9:09,0,2,.000,0,1,.000,0,0,0,1,2,3,1,1,0,0,0,0,+4,9:09,.000,.000,.500,.000,10.3,23.8,16.6,14.2,5.0,0.0,0.0,9.3,58,116
12,Trevelin Queen,Houston Rockets,7:30,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,0,0,1,3,+4,7:30,.500,.500,1.000,.000,0.0,14.5,6.7,0.0,0.0,0.0,0.0,17.0,97,127
13,Daniel Theis,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,D.J. Augustin,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Houston Rockets,240,37,87,.425,12,43,.279,20,29,.690,7,33,40,17,6,3,13,20,106,0,240,.531,.494,.494,.333,13.7,75.0,42.1,45.9,5.8,5.8,11.5,100.0,101.7,124.7
