,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kevin Durant,Brooklyn Nets,41:34,9,19,.474,2,7,.286,8,8,1.000,1,9,10,5,2,1,1,2,28,-15,41:34,.622,.526,.368,.421,2.4,25.3,13.0,18.3,2.4,2.4,4.3,24.1,135,113
1,Kyrie Irving,Brooklyn Nets,39:39,9,21,.429,3,8,.375,1,1,1.000,1,7,8,4,1,1,4,2,22,0,39:39,.513,.500,.381,.048,2.5,20.7,10.9,15.6,1.2,2.5,15.7,27.4,96,117
2,DeAndre' Bembry,Brooklyn Nets,17:37,2,5,.400,0,0,0,0,0,0,1,1,2,1,2,0,1,1,4,-5,17:37,.400,.400,.000,.000,5.7,6.6,6.1,7.5,5.6,0.0,16.7,14.5,84,113
3,David Duke Jr.,Brooklyn Nets,13:23,2,5,.400,1,2,.500,0,0,0,2,0,2,2,0,0,0,3,5,-11,13:23,.500,.500,.400,.000,14.9,0.0,8.1,20.6,0.0,0.0,0.0,15.9,133,127
4,Nic Claxton,Brooklyn Nets,12:40,1,3,.333,0,0,0,0,0,0,1,0,1,1,0,0,1,4,2,-9,12:40,.333,.333,.000,.000,7.9,0.0,4.3,9.9,0.0,0.0,25.0,13.5,76,127
6,Patty Mills,Brooklyn Nets,31:27,1,5,.200,1,3,.333,0,0,0,0,0,0,5,0,1,0,1,3,+2,31:27,.300,.300,.600,.000,0.0,0.0,0.0,18.9,0.0,3.2,0.0,6.8,108,126
7,Cam Thomas,Brooklyn Nets,26:08,8,12,.667,4,7,.571,1,2,.500,0,3,3,0,3,0,3,2,21,0,26:08,.815,.833,.583,.167,0.0,13.4,6.2,0.0,5.6,0.0,18.9,25.9,117,111
8,Day'Ron Sharpe,Brooklyn Nets,24:00,6,6,1.000,0,0,0,2,3,.667,4,3,7,2,0,3,3,4,14,+14,24:00,.956,1.000,.000,.500,16.7,14.6,15.7,13.3,0.0,12.5,29.1,18.3,138,116
9,Kessler Edwards,Brooklyn Nets,15:14,2,7,.286,1,3,.333,0,0,0,1,4,5,0,1,0,1,2,5,+3,15:14,.357,.357,.429,.000,6.6,30.7,17.7,0.0,3.2,0.0,12.5,22.4,72,111
10,Blake Griffin,Brooklyn Nets,11:20,0,4,.000,0,1,.000,0,0,0,0,2,2,3,0,0,1,1,0,-11,11:20,.000,.000,.250,.000,0.0,20.7,9.5,30.3,0.0,0.0,20.0,18.8,37,122
11,James Johnson,Brooklyn Nets,6:58,2,4,.500,0,1,.000,0,1,.000,1,1,2,0,0,0,0,0,4,+2,6:58,.450,.500,.250,.250,14.4,16.8,15.5,0.0,0.0,0.0,0.0,27.2,100,123
12,Bruce Brown,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jevon Carter,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Paul Millsap,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Brooklyn Nets,240,42,91,.462,12,32,.375,12,15,.800,12,30,42,23,9,6,15,22,108,0,240,.553,.527,.352,.165,25.0,73.2,47.2,54.8,9.2,12.5,13.3,100.0,110.7,116.9
0,Nassir Little,Portland Trail Blazers,38:30,3,9,.333,2,6,.333,5,6,.833,1,4,5,2,1,3,0,1,13,+12,38:30,.558,.444,.667,.667,3.0,10.4,7.0,6.9,1.3,6.3,0.0,13.1,134,110
1,Anfernee Simons,Portland Trail Blazers,38:27,10,24,.417,2,11,.182,1,2,.500,0,6,6,11,0,0,3,2,23,+13,38:27,.462,.458,.458,.083,0.0,15.6,8.4,49.9,0.0,0.0,10.8,31.5,107,116
2,Robert Covington,Portland Trail Blazers,34:28,6,9,.667,5,7,.714,4,4,1.000,0,4,4,1,3,3,1,5,21,+11,34:28,.976,.944,.778,.444,0.0,11.6,6.3,4.4,4.3,7.1,8.5,14.8,175,103
3,Jusuf Nurkić,Portland Trail Blazers,32:52,4,13,.308,0,2,.000,6,8,.750,2,6,8,3,1,0,2,3,14,+5,32:52,.424,.308,.154,.615,7.1,18.3,13.1,12.8,1.5,0.0,10.8,24.5,97,112
4,Ben McLemore,Portland Trail Blazers,30:40,6,11,.545,5,8,.625,3,4,.750,0,5,5,0,1,2,2,1,20,+17,30:40,.784,.773,.727,.364,0.0,16.3,8.8,0.0,1.6,5.3,13.6,20.9,129,109
6,CJ Elleby,Portland Trail Blazers,17:20,4,8,.500,1,4,.250,0,0,0,2,3,5,2,1,0,2,3,9,-11,17:20,.563,.563,.500,.000,13.5,17.3,15.6,19.1,2.8,0.0,20.0,25.1,106,109
7,Cody Zeller,Portland Trail Blazers,14:37,2,3,.667,0,0,0,0,0,0,3,4,7,1,0,0,0,1,4,+3,14:37,.667,.667,.000,.000,24.0,27.4,25.8,9.8,0.0,0.0,0.0,8.9,169,112
8,Trendon Watford,Portland Trail Blazers,13:32,2,3,.667,0,0,0,0,2,.000,2,4,6,0,0,1,2,0,4,-5,13:32,.515,.667,.000,.667,17.3,29.6,23.9,0.0,0.0,6.0,34.0,18.9,77,108
9,Dennis Smith Jr.,Portland Trail Blazers,13:08,3,6,.500,0,0,0,0,0,0,1,0,1,3,1,0,1,0,6,-8,13:08,.500,.500,.000,.000,8.9,0.0,4.1,37.8,3.7,0.0,14.3,23.2,112,113
10,Tony Snell,Portland Trail Blazers,6:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7,6:26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
11,Greg Brown III,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Portland Trail Blazers,240,40,86,.465,15,38,.395,19,26,.731,11,36,47,23,8,9,13,17,114,0,240,.585,.552,.442,.302,26.8,75.0,52.8,57.5,8.2,15.3,11.8,100.0,116.9,110.7
