,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Caleb Martin,Miami Heat,32:46,8,16,.500,2,6,.333,0,0,0,4,6,10,0,0,0,3,3,18,+17,32:46,.563,.563,.375,.000,14.3,17.6,16.1,0.0,0.0,0.0,15.8,25.3,101,97
1,Omer Yurtseven,Miami Heat,28:44,6,9,.667,0,0,0,1,1,1.000,2,8,10,6,0,1,3,3,13,+19,28:44,.689,.667,.000,.111,8.1,26.7,18.4,30.4,0.0,4.5,24.1,18.9,124,93
2,Kyle Lowry,Miami Heat,27:36,2,9,.222,1,5,.200,3,4,.750,0,6,6,5,3,0,2,3,8,+10,27:36,.372,.278,.556,.444,0.0,20.9,11.5,22.0,5.3,0.0,15.7,20.1,88,84
3,P.J. Tucker,Miami Heat,27:35,4,9,.444,2,5,.400,0,0,0,0,7,7,2,2,0,0,3,10,+13,27:35,.556,.556,.556,.000,0.0,24.4,13.4,9.7,3.6,0.0,0.0,14.2,122,88
4,Max Strus,Miami Heat,15:01,3,7,.429,3,6,.500,2,2,1.000,1,1,2,1,0,0,0,2,11,+6,15:01,.698,.643,.857,.286,7.8,6.4,7.0,9.6,0.0,0.0,0.0,22.9,150,100
6,Tyler Herro,Miami Heat,35:39,9,19,.474,1,6,.167,2,2,1.000,2,7,9,11,0,1,2,1,21,+18,35:39,.528,.500,.316,.105,6.6,18.8,13.3,48.0,0.0,3.6,9.1,26.7,125,95
7,Duncan Robinson,Miami Heat,31:36,4,11,.364,3,10,.300,3,3,1.000,0,2,2,0,0,0,2,1,14,+18,31:36,.568,.500,.909,.273,0.0,6.1,3.3,0.0,0.0,0.0,14.0,19.7,99,100
8,Gabe Vincent,Miami Heat,20:24,5,8,.625,4,7,.571,0,0,0,0,0,0,2,2,0,1,1,14,+14,20:24,.875,.875,.875,.000,0.0,0.0,0.0,15.1,4.8,0.0,11.1,19.2,146,90
9,Dewayne Dedmon,Miami Heat,17:53,2,2,1.000,0,0,0,2,2,1.000,1,7,8,0,0,2,1,3,6,+5,17:53,1.042,1.000,.000,1.000,6.5,37.6,23.6,0.0,0.0,14.5,25.8,9.5,153,84
10,Kyle Guy,Miami Heat,1:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:23,0,0,0,0,0.0,0.0,0.0,80.7,0.0,0.0,0,0.0,237,102
11,Chris Silva,Miami Heat,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,102
12,Udonis Haslem,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Miami Heat,240,43,90,.478,16,45,.356,13,14,.929,10,44,54,28,7,4,14,20,115,0,240,.598,.567,.500,.156,24.4,88.0,59.3,65.1,7.1,10.8,12.7,100.0,117.4,92.9
0,John Collins,Atlanta Hawks,32:42,6,9,.667,3,4,.750,1,2,.500,1,10,11,2,1,0,4,4,16,-20,32:42,.810,.833,.444,.222,2.9,35.8,17.7,13.2,1.5,0.0,28.8,19.2,105,114
1,Trae Young,Atlanta Hawks,32:11,4,15,.267,1,6,.167,6,7,.857,0,3,3,5,1,0,4,0,15,-15,32:11,.415,.300,.400,.467,0.0,10.9,4.9,29.8,1.5,0.0,18.1,31.0,79,120
2,Bogdan Bogdanović,Atlanta Hawks,31:37,6,14,.429,3,11,.273,0,0,0,0,5,5,2,1,1,1,1,15,-15,31:37,.536,.536,.786,.000,0.0,18.5,8.3,13.9,1.5,3.4,6.7,21.5,97,116
3,Onyeka Okongwu,Atlanta Hawks,24:14,3,3,1.000,0,0,0,0,4,.000,3,4,7,1,1,1,0,3,6,-7,24:14,.630,1.000,.000,1.333,11.9,19.3,15.2,7.9,2.0,4.4,0.0,8.9,138,114
4,Timothé Luwawu-Cabarrot,Atlanta Hawks,12:55,1,4,.250,0,2,.000,2,2,1.000,0,0,0,3,1,0,0,3,4,-4,12:55,.410,.250,.500,.500,0.0,0.0,0.0,40.9,3.8,0.0,0.0,17.1,108,118
6,Kevin Huerter,Atlanta Hawks,32:45,2,9,.222,0,5,.000,3,4,.750,0,1,1,4,2,0,2,2,7,-17,32:45,.325,.222,.556,.444,0.0,3.6,1.6,20.9,3.0,0.0,15.7,17.6,71,119
7,Danilo Gallinari,Atlanta Hawks,26:25,3,7,.429,1,4,.250,0,0,0,0,5,5,0,0,0,2,2,7,-4,26:25,.500,.500,.571,.000,0.0,22.2,10.0,0.0,0.0,0.0,22.2,15.4,69,121
8,De'Andre Hunter,Atlanta Hawks,24:22,4,11,.364,3,4,.750,4,4,1.000,0,1,1,0,1,1,0,0,15,-20,24:22,.588,.500,.364,.364,0.0,4.8,2.2,0.0,2.0,4.4,0.0,23.7,114,118
9,Delon Wright,Atlanta Hawks,15:49,1,5,.200,1,4,.250,0,0,0,1,2,3,2,0,0,1,0,3,-9,15:49,.300,.300,.800,.000,6.1,14.8,10.0,21.7,0.0,0.0,16.7,17.2,72,123
10,Gorgui Dieng,Atlanta Hawks,2:20,1,2,.500,1,2,.500,0,0,0,1,0,1,0,0,0,0,0,3,-3,2:20,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0,127
11,Sharife Cooper,Atlanta Hawks,2:20,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-3,2:20,.750,.750,1.000,.000,41.1,0.0,22.6,0.0,0.0,0.0,0.0,38.8,141,127
12,Skylar Mays,Atlanta Hawks,2:20,0,2,.000,0,2,.000,0,0,0,0,0,0,1,0,0,0,0,0,-3,2:20,.000,.000,1.000,.000,0.0,0.0,0.0,66.4,0.0,0.0,0.0,38.8,27,127
13,Lou Williams,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,31,82,.378,13,45,.289,16,23,.696,6,31,37,20,8,3,14,15,91,0,240,.494,.457,.549,.280,12.0,75.6,40.7,64.5,8.2,6.7,13.2,100.0,92.9,117.4
