,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Evan Mobley,Cleveland Cavaliers,39:03,7,15,.467,0,0,0,1,3,.333,3,3,6,3,1,1,3,2,15,+14,39:03,.460,.467,.000,.200,7.5,8.4,7.9,9.9,1.2,2.1,15.5,20.7,92,111
1,Darius Garland,Cleveland Cavaliers,37:21,11,25,.440,4,8,.500,6,6,1.000,0,4,4,8,1,1,1,1,32,+3,37:21,.579,.520,.320,.240,0.0,11.7,5.5,32.3,1.3,2.2,3.5,32.1,127,110
2,Lauri Markkanen,Cleveland Cavaliers,33:32,4,5,.800,0,1,.000,0,0,0,1,5,6,0,1,1,1,2,8,+11,33:32,.800,.800,.200,.000,2.9,16.3,9.2,0.0,1.4,2.5,16.7,7.5,130,108
3,Jarrett Allen,Cleveland Cavaliers,31:30,7,11,.636,0,0,0,3,5,.600,3,13,16,2,1,0,2,2,17,-7,31:30,.644,.636,.000,.455,9.3,45.0,26.2,8.6,1.5,0.0,13.2,20.2,122,102
4,Lamar Stevens,Cleveland Cavaliers,31:09,4,9,.444,0,0,0,0,1,.000,2,4,6,2,1,0,0,1,8,+1,31:09,.424,.444,.000,.111,6.3,14.0,9.9,7.7,1.5,0.0,0.0,12.7,106,110
6,Cedi Osman,Cleveland Cavaliers,23:51,5,12,.417,2,5,.400,2,5,.400,2,0,2,2,1,0,1,2,14,+4,23:51,.493,.500,.417,.417,8.2,0.0,4.3,11.2,2.0,0.0,6.6,26.7,105,112
7,Isaac Okoro,Cleveland Cavaliers,16:29,2,6,.333,0,2,.000,2,4,.500,0,1,1,1,0,0,1,1,6,-3,16:29,.387,.333,.333,.667,0.0,6.6,3.1,7.2,0.0,0.0,11.4,22.3,78,115
8,Kevin Love,Cleveland Cavaliers,16:25,3,7,.429,1,3,.333,0,0,0,1,3,4,1,0,0,0,1,7,0,16:25,.500,.500,.429,.000,6.0,19.9,12.6,7.9,0.0,0.0,0.0,17.9,115,112
9,Brandon Goodwin,Cleveland Cavaliers,10:38,3,5,.600,1,1,1.000,0,0,0,0,1,1,5,1,0,0,1,7,+2,10:38,.700,.700,.200,.000,0.0,10.3,4.9,69.5,4.5,0.0,0.0,19.7,165,104
10,Kevin Pangos,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,RJ Nembhard Jr.,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dylan Windler,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ed Davis,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dean Wade,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Cleveland Cavaliers,240,46,95,.484,8,20,.400,14,24,.583,12,34,46,24,7,3,9,13,114,0,240,.540,.526,.211,.253,24.5,77.3,49.5,52.2,7.0,5.2,7.9,100.0,113.5,108.6
0,Dejounte Murray,San Antonio Spurs,35:37,14,23,.609,1,4,.250,1,3,.333,2,12,14,8,0,0,2,3,30,+6,35:37,.617,.630,.174,.130,6.1,33.0,20.3,46.6,0.0,0.0,7.6,31.5,129,112
1,Jakob Poeltl,San Antonio Spurs,32:48,0,4,.000,0,0,0,0,0,0,1,11,12,2,2,3,1,4,0,+4,32:48,.000,.000,.000,.000,3.3,32.9,18.9,7.0,2.9,5.9,20.0,6.5,40,101
2,Keldon Johnson,San Antonio Spurs,30:24,7,14,.500,4,9,.444,0,0,0,2,3,5,2,0,0,1,1,18,-8,30:24,.643,.643,.643,.000,7.2,9.7,8.5,10.2,0.0,0.0,6.7,21.0,128,119
3,Devin Vassell,San Antonio Spurs,28:02,4,11,.364,2,4,.500,0,0,0,1,4,5,0,2,0,3,5,10,-14,28:02,.455,.455,.364,.000,3.9,14.0,9.2,0.0,3.4,0.0,21.4,21.3,74,110
4,Doug McDermott,San Antonio Spurs,24:40,3,13,.231,3,6,.500,0,0,0,1,1,2,0,1,0,4,2,9,-4,24:40,.346,.346,.462,.000,4.4,4.0,4.2,0.0,1.9,0.0,23.5,29.3,57,116
6,Lonnie Walker IV,San Antonio Spurs,28:45,4,9,.444,0,2,.000,3,4,.750,0,0,0,6,0,0,0,3,11,+1,28:45,.511,.444,.222,.444,0.0,0.0,0.0,28.4,0.0,0.0,0.0,15.9,130,121
7,Keita Bates-Diop,San Antonio Spurs,17:57,4,6,.667,1,2,.500,0,0,0,2,2,4,0,1,0,1,1,9,+2,17:57,.750,.750,.333,.000,12.2,10.9,11.5,0.0,2.7,0.0,14.3,16.6,130,113
8,Bryn Forbes,San Antonio Spurs,16:54,5,8,.625,4,5,.800,1,1,1.000,0,0,0,2,0,0,0,3,15,+4,16:54,.889,.875,.625,.125,0.0,0.0,0.0,20.4,0.0,0.0,0.0,21.3,179,120
9,Jock Landale,San Antonio Spurs,14:49,1,3,.333,0,2,.000,3,3,1.000,0,3,3,2,0,1,0,0,5,-8,14:49,.579,.333,.667,1.000,0.0,19.8,10.5,16.7,0.0,4.3,0.0,12.4,143,113
10,Joshua Primo,San Antonio Spurs,10:00,0,1,.000,0,0,0,2,2,1.000,1,1,2,0,0,1,3,2,2,-8,10:00,.532,.000,.000,2.000,10.9,9.8,10.3,0.0,0.0,6.4,61.5,20.8,53,112
11,Anthony Lamb,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Drew Eubanks,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tyler Johnson,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Thaddeus Young,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,San Antonio Spurs,240,42,92,.457,15,34,.441,10,13,.769,10,37,47,22,6,5,15,24,109,0,240,.558,.538,.370,.141,22.7,75.5,50.5,52.4,6.0,6.7,13.3,100.0,108.6,113.5
