,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandon Ingram,New Orleans Pelicans,34:25,8,21,.381,2,6,.333,4,6,.667,1,3,4,8,0,1,1,1,22,-3,34:25,.465,.429,.286,.286,3.0,13.1,7.1,38.7,0.0,2.4,4.1,31.7,109,132
1,Josh Hart,New Orleans Pelicans,33:27,5,9,.556,1,3,.333,3,3,1.000,3,8,11,2,3,0,3,1,14,-11,33:27,.678,.611,.333,.333,9.2,35.9,20.0,8.7,4.6,0.0,22.5,17.6,114,119
2,Jonas Valančiūnas,New Orleans Pelicans,30:28,6,12,.500,0,1,.000,1,2,.500,3,2,5,2,0,0,1,4,13,-13,30:28,.505,.500,.083,.167,10.1,9.8,10.0,10.3,0.0,0.0,7.2,20.1,109,134
3,Herbert Jones,New Orleans Pelicans,28:44,6,9,.667,1,1,1.000,0,0,0,1,3,4,3,0,0,0,5,13,-7,28:44,.722,.722,.111,.000,3.6,15.7,8.5,16.7,0.0,0.0,0.0,13.8,153,133
4,Devonte' Graham,New Orleans Pelicans,28:38,4,9,.444,2,7,.286,0,0,0,0,1,1,4,2,0,2,1,10,-17,28:38,.556,.556,.778,.000,0.0,5.2,2.1,20.1,3.6,0.0,18.2,17.0,100,127
6,Garrett Temple,New Orleans Pelicans,20:53,1,5,.200,1,4,.250,0,0,0,0,1,1,3,1,0,0,1,3,-21,20:53,.300,.300,.800,.000,0.0,7.2,2.9,18.3,2.4,0.0,0.0,10.6,92,129
7,Nickeil Alexander-Walker,New Orleans Pelicans,20:38,4,9,.444,1,3,.333,1,2,.500,0,4,4,2,1,0,2,3,10,-11,20:38,.506,.500,.333,.222,0.0,29.1,11.8,15.2,2.5,0.0,16.8,25.5,89,125
8,Jaxson Hayes,New Orleans Pelicans,17:32,3,5,.600,0,0,0,5,8,.625,3,0,3,1,0,2,1,2,11,-2,17:32,.646,.600,.000,1.600,17.5,0.0,10.4,8.6,0.0,9.6,10.5,24.0,131,129
9,Jose Alvarado,New Orleans Pelicans,15:31,2,7,.286,1,6,.167,2,3,.667,0,0,0,2,1,0,1,0,7,0,15:31,.421,.357,.857,.429,0.0,0.0,0.0,18.3,3.3,0.0,10.7,26.6,89,129
10,Gary Clark,New Orleans Pelicans,5:18,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,5:18,0,0,0,0,19.3,28.3,22.9,0.0,0.0,0.0,0,0.0,216,131
11,Naji Marshall,New Orleans Pelicans,2:13,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+5,2:13,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,200,136
12,Trey Murphy III,New Orleans Pelicans,2:13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+5,2:13,0,0,0,0,0.0,0.0,0.0,0.0,23.0,0.0,0,0.0,0,83
13,Team Totals,New Orleans Pelicans,240,40,87,.460,9,31,.290,16,24,.667,12,23,35,27,9,3,11,18,105,0,240,.538,.511,.356,.276,25.5,71.9,44.3,67.5,9.6,5.3,10.1,100.0,111.6,127.6
0,James Harden,Brooklyn Nets,40:10,9,15,.600,2,5,.400,7,8,.875,1,7,8,15,1,1,6,3,27,+21,40:10,.729,.667,.333,.533,3.7,17.8,12.1,50.9,1.3,2.1,24.5,27.8,133,110
1,Kessler Edwards,Brooklyn Nets,37:01,6,10,.600,4,5,.800,0,0,0,1,5,6,2,0,1,1,3,16,+16,37:01,.800,.800,.500,.000,4.1,13.8,9.8,6.8,0.0,2.3,9.1,13.5,147,114
2,Patty Mills,Brooklyn Nets,29:08,7,13,.538,3,7,.429,4,4,1.000,0,1,1,3,1,0,0,1,21,+5,29:08,.711,.654,.538,.308,0.0,3.5,2.1,14.3,1.8,0.0,0.0,23.1,155,115
3,Day'Ron Sharpe,Brooklyn Nets,26:51,6,14,.429,0,0,0,0,0,0,6,4,10,0,0,1,1,6,12,+2,26:51,.429,.429,.000,.000,33.5,15.2,22.6,0.0,0.0,3.2,6.7,25.4,106,112
4,Kevin Durant,Brooklyn Nets,12:22,4,8,.500,1,2,.500,3,3,1.000,0,3,3,2,1,1,1,1,12,+10,12:22,.644,.563,.250,.375,0.0,24.8,14.7,25.5,4.1,6.9,9.7,38.0,128,98
6,Cam Thomas,Brooklyn Nets,34:44,9,13,.692,2,5,.400,0,0,0,0,6,6,0,1,0,2,1,20,+5,34:44,.769,.769,.385,.000,0.0,17.6,10.5,0.0,1.5,0.0,13.3,19.7,123,111
7,Blake Griffin,Brooklyn Nets,20:15,2,4,.500,0,2,.000,2,2,1.000,1,4,5,6,0,0,1,1,6,+13,20:15,.615,.500,.500,.500,7.4,20.2,15.0,34.5,0.0,0.0,17.0,13.2,145,113
8,Bruce Brown,Brooklyn Nets,17:39,2,4,.500,0,0,0,0,0,0,0,3,3,0,0,0,1,3,4,-3,17:39,.500,.500,.000,.000,0.0,17.4,10.3,0.0,0.0,0.0,20.0,12.9,78,114
9,DeAndre' Bembry,Brooklyn Nets,17:24,0,1,.000,0,0,0,0,0,0,0,2,2,2,1,1,1,1,0,+16,17:24,.000,.000,.000,.000,0.0,11.7,7.0,12.0,2.9,4.9,50.0,5.2,58,106
10,Jevon Carter,Brooklyn Nets,2:13,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,2,-5,2:13,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,101,120
11,David Duke Jr.,Brooklyn Nets,2:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,2:13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,117
12,Team Totals,Brooklyn Nets,240,46,84,.548,12,27,.444,16,17,.941,9,35,44,30,5,5,14,21,120,0,240,.656,.619,.321,.202,28.1,74.5,55.7,65.2,5.3,8.9,13.3,100.0,127.6,111.6
