,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tobias Harris,Philadelphia 76ers,42:22,9,13,.692,3,3,1.000,1,1,1.000,1,7,8,3,0,1,3,1,22,+19,42:22,.818,.808,.231,.077,3.1,16.2,10.5,11.4,0.0,2.2,18.2,18.0,131,106
1,Seth Curry,Philadelphia 76ers,40:22,8,15,.533,5,9,.556,0,0,0,0,5,5,5,2,0,3,2,21,+13,40:22,.700,.700,.600,.000,0.0,12.1,6.9,19.5,2.5,0.0,16.7,20.7,118,103
2,Tyrese Maxey,Philadelphia 76ers,40:11,4,11,.364,1,4,.250,4,5,.800,0,7,7,4,0,2,2,4,13,+15,40:11,.492,.409,.364,.455,0.0,17.1,9.7,13.6,0.0,4.7,13.2,17.6,99,104
3,Joel Embiid,Philadelphia 76ers,36:17,12,22,.545,0,3,.000,8,11,.727,3,9,12,3,1,1,2,2,32,+16,36:17,.596,.545,.136,.500,10.7,24.3,18.5,16.5,1.4,2.6,6.9,37.0,120,99
4,Furkan Korkmaz,Philadelphia 76ers,25:05,2,5,.400,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,2,6,-10,25:05,.510,.400,.400,.400,0.0,0.0,0.0,10.6,0.0,0.0,0.0,10.9,120,113
6,Georges Niang,Philadelphia 76ers,24:47,4,8,.500,4,8,.500,0,0,0,1,4,5,2,0,0,1,6,12,+8,24:47,.750,.750,1.000,.000,5.2,15.8,11.3,12.0,0.0,0.0,11.1,16.9,133,107
7,Charlie Brown Jr.,Philadelphia 76ers,15:25,1,4,.250,0,2,.000,0,0,0,1,1,2,2,0,0,0,3,2,-2,15:25,.250,.250,.500,.000,8.4,6.4,7.2,16.9,0.0,0.0,0.0,12.1,92,110
8,Andre Drummond,Philadelphia 76ers,11:09,0,0,0,0,0,0,1,2,.500,0,4,4,2,2,1,3,2,1,-5,11:09,.568,0,0,0,0.0,35.1,20.0,21.5,9.1,8.4,77.3,16.2,52,74
9,Isaiah Joe,Philadelphia 76ers,4:22,0,1,.000,0,1,.000,0,0,0,0,0,0,1,0,0,1,0,0,+1,4:22,.000,.000,1.000,.000,0.0,0.0,0.0,27.5,0.0,0.0,50.0,21.3,31,114
10,Paul Reed,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Charles Bassey,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Myles Powell,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Philadelphia 76ers,240,40,79,.506,13,32,.406,16,21,.762,6,37,43,24,5,5,15,22,109,0,240,.618,.589,.405,.266,16.2,75.5,50.0,60.0,5.3,9.8,14.5,100.0,114.9,103.3
0,Jimmy Butler,Miami Heat,35:15,1,11,.091,0,2,.000,6,7,.857,2,3,5,9,2,1,1,1,8,+1,35:15,.284,.091,.182,.636,5.6,11.0,7.9,38.7,2.9,2.9,6.6,18.8,91,113
1,Kyle Lowry,Miami Heat,34:37,2,11,.182,2,6,.333,2,2,1.000,0,2,2,7,1,0,0,4,8,-13,34:37,.337,.273,.545,.182,0.0,7.5,3.2,32.1,1.5,0.0,0.0,15.1,97,119
2,P.J. Tucker,Miami Heat,32:18,4,9,.444,2,4,.500,0,2,.000,1,6,7,1,0,0,2,0,10,-3,32:18,.506,.556,.444,.222,3.0,24.1,12.1,5.5,0.0,0.0,16.8,16.2,84,120
3,Max Strus,Miami Heat,28:27,3,12,.250,2,9,.222,3,3,1.000,0,4,4,1,0,1,2,3,11,-8,28:27,.413,.333,.750,.250,0.0,18.2,7.8,6.0,0.0,3.6,13.1,23.7,78,118
4,Omer Yurtseven,Miami Heat,23:35,10,12,.833,0,0,0,2,3,.667,4,7,11,1,0,1,1,5,22,-13,23:35,.826,.833,.000,.250,16.6,38.5,26.0,16.1,0.0,4.3,7.0,26.7,153,114
6,Tyler Herro,Miami Heat,32:27,4,11,.364,2,4,.500,6,8,.750,0,2,2,3,2,0,2,2,16,-12,32:27,.551,.455,.364,.727,0.0,8.0,3.4,16.4,3.1,0.0,12.1,22.4,106,115
7,Dewayne Dedmon,Miami Heat,18:49,2,4,.500,0,1,.000,1,2,.500,1,3,4,0,2,0,2,3,5,+5,18:49,.512,.500,.250,.500,5.2,20.7,11.9,0.0,5.4,0.0,29.1,16.1,75,108
8,Duncan Robinson,Miami Heat,17:23,1,9,.111,0,8,.000,0,0,0,0,1,1,1,0,0,0,0,2,-2,17:23,.111,.111,.889,.000,0.0,7.5,3.2,9.1,0.0,0.0,0.0,22.8,32,122
9,Caleb Martin,Miami Heat,17:09,6,7,.857,1,1,1.000,3,3,1.000,4,3,7,1,3,1,0,0,16,-10,17:09,.962,.929,.143,.429,22.8,22.7,22.8,17.3,8.9,6.0,0.0,21.3,198,96
