,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Josh Hart,New Orleans Pelicans,38:46,6,10,.600,0,2,.000,1,3,.333,1,8,9,4,1,0,2,2,13,-20,38:46,.574,.600,.200,.300,2.5,26.1,12.7,17.3,1.3,0.0,15.0,15.6,104,110
1,Brandon Ingram,New Orleans Pelicans,35:01,6,19,.316,0,4,.000,3,3,1.000,2,8,10,6,1,0,1,2,15,-7,35:01,.369,.316,.211,.158,5.5,28.9,15.6,29.6,1.4,0.0,4.7,27.6,88,110
2,Herbert Jones,New Orleans Pelicans,34:22,5,8,.625,2,4,.500,4,6,.667,0,1,1,0,2,1,1,4,16,+7,34:22,.752,.750,.500,.750,0.0,3.7,1.6,0.0,2.9,2.9,8.6,15.3,130,107
3,Jonas Valančiūnas,New Orleans Pelicans,33:18,9,17,.529,2,6,.333,2,2,1.000,2,12,14,4,0,0,3,4,22,-4,33:18,.615,.588,.353,.118,5.8,45.5,22.9,25.0,0.0,0.0,14.4,28.4,109,111
4,Devonte' Graham,New Orleans Pelicans,33:07,4,14,.286,3,8,.375,0,0,0,2,1,3,5,2,1,3,1,11,-15,33:07,.393,.393,.571,.000,5.8,3.8,4.9,24.0,3.0,3.0,17.6,23.3,80,107
6,Nickeil Alexander-Walker,New Orleans Pelicans,18:05,3,8,.375,2,3,.667,1,2,.500,0,1,1,2,0,0,0,0,9,-3,18:05,.507,.500,.375,.250,0.0,7.0,3.0,18.9,0.0,0.0,0.0,22.3,107,116
7,Garrett Temple,New Orleans Pelicans,17:46,0,2,.000,0,1,.000,0,0,0,0,0,0,0,1,0,0,2,0,-13,17:46,.000,.000,.500,.000,0.0,0.0,0.0,0.0,2.8,0.0,0.0,5.1,0,110
8,Jose Alvarado,New Orleans Pelicans,14:53,2,7,.286,0,2,.000,0,0,0,1,0,1,2,2,0,1,0,4,+3,14:53,.286,.286,.286,.000,6.5,0.0,3.7,21.8,6.7,0.0,12.5,24.4,67,101
9,Jaxson Hayes,New Orleans Pelicans,14:42,1,2,.500,0,0,0,0,2,.000,0,2,2,0,1,2,0,0,2,-8,14:42,.347,.500,.000,1.000,0.0,17.2,7.4,0.0,3.4,13.6,0.0,8.9,64,95
10,Trey Murphy III,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Naji Marshall,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Gary Clark,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Willy Hernangómez,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tomáš Satoranský,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,New Orleans Pelicans,240,36,87,.414,9,30,.300,11,18,.611,8,33,41,23,10,4,11,15,92,0,240,.485,.466,.345,.207,16.0,86.8,46.6,63.9,10.4,8.3,10.4,100.0,95.6,108.0
0,Dennis Schröder,Boston Celtics,40:35,9,16,.563,3,5,.600,2,2,1.000,1,4,5,9,2,0,2,3,23,+21,40:35,.681,.656,.313,.125,3.1,9.5,6.7,38.9,2.5,0.0,10.6,21.7,134,96
1,Jayson Tatum,Boston Celtics,37:44,9,18,.500,0,4,.000,9,11,.818,1,7,8,3,1,0,2,1,27,+12,37:44,.591,.500,.222,.611,3.3,17.8,11.6,14.4,1.3,0.0,8.1,30.7,116,97
2,Jaylen Brown,Boston Celtics,34:51,8,17,.471,3,7,.429,4,4,1.000,0,8,8,2,0,0,2,3,23,+4,34:51,.613,.559,.412,.235,0.0,22.0,12.5,10.2,0.0,0.0,9.6,27.8,110,98
3,Al Horford,Boston Celtics,25:26,5,9,.556,2,5,.400,0,0,0,1,6,7,4,1,0,0,2,12,+6,25:26,.667,.667,.556,.000,5.0,22.6,15.0,26.4,2.0,0.0,0.0,16.5,144,94
4,Grant Williams,Boston Celtics,25:22,4,7,.571,2,5,.400,0,0,0,0,2,2,0,0,2,1,2,10,-1,25:22,.714,.714,.714,.000,0.0,7.6,4.3,0.0,0.0,6.6,12.5,14.7,112,96
6,Enes Freedom,Boston Celtics,22:34,0,1,.000,0,0,0,2,2,1.000,1,4,5,1,0,2,1,3,2,+6,22:34,.532,.000,.000,2.000,5.6,17.0,12.1,5.6,0.0,7.5,34.7,6.0,103,93
7,Aaron Nesmith,Boston Celtics,19:18,2,4,.500,0,2,.000,1,1,1.000,0,6,6,0,0,0,2,3,5,+16,19:18,.563,.500,.500,.250,0.0,29.8,17.0,0.0,0.0,0.0,31.1,15.6,73,96
8,Josh Richardson,Boston Celtics,18:49,1,4,.250,0,1,.000,0,0,0,1,4,5,3,2,0,4,1,2,+9,18:49,.250,.250,.250,.000,6.7,20.4,14.5,21.6,5.3,0.0,50.0,19.9,52,87
9,Payton Pritchard,Boston Celtics,10:45,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,0,0,-12,10:45,.000,.000,1.000,.000,0.0,8.9,5.1,0.0,0.0,0.0,0.0,8.7,0,102
10,Romeo Langford,Boston Celtics,4:36,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-1,4:36,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0,104
11,Brodric Thomas,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Juancho Hernangómez,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bruno Fernando,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Boston Celtics,240,38,80,.475,10,32,.313,18,20,.900,5,42,47,22,6,4,14,18,104,0,240,.586,.538,.400,.250,13.2,84.0,53.4,57.9,6.2,7.0,13.6,100.0,108.0,95.6
