,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jusuf Nurkić,Portland Trail Blazers,35:39,10,21,.476,0,3,.000,1,2,.500,4,18,22,2,4,2,6,3,21,+23,35:39,.480,.476,.143,.095,10.6,44.9,28.2,11.4,5.3,4.6,21.5,32.7,82,68
1,Anfernee Simons,Portland Trail Blazers,35:29,4,11,.364,0,5,.000,5,5,1.000,0,2,2,7,0,0,2,1,13,+18,35:29,.492,.364,.455,.455,0.0,5.0,2.6,30.0,0.0,0.0,13.2,17.9,105,95
2,Nassir Little,Portland Trail Blazers,35:16,4,9,.444,0,2,.000,5,5,1.000,5,5,10,4,1,1,1,1,13,+18,35:16,.580,.444,.222,.556,13.3,12.6,13.0,17.3,1.3,2.3,8.2,14.4,132,89
3,Robert Covington,Portland Trail Blazers,34:13,3,10,.300,1,5,.200,0,0,0,1,10,11,2,2,3,2,3,7,+20,34:13,.350,.350,.500,.000,2.8,26.0,14.7,8.6,2.7,7.3,16.7,14.6,70,78
4,CJ McCollum,Portland Trail Blazers,28:13,7,13,.538,2,4,.500,0,0,0,0,1,1,2,1,1,4,2,16,+3,28:13,.615,.615,.308,.000,0.0,3.2,1.6,13.6,1.7,2.9,23.5,25.2,91,90
6,Ben McLemore,Portland Trail Blazers,21:24,4,11,.364,4,10,.400,2,2,1.000,0,1,1,1,1,1,1,2,14,+17,21:24,.589,.545,.909,.182,0.0,4.2,2.1,8.0,2.2,3.9,7.8,25.1,111,88
7,Tony Snell,Portland Trail Blazers,18:35,0,2,.000,0,2,.000,0,0,0,0,2,2,0,0,0,0,2,0,-8,18:35,.000,.000,1.000,.000,0.0,9.6,4.9,0.0,0.0,0.0,0.0,4.5,0,93
8,Dennis Smith Jr.,Portland Trail Blazers,13:21,2,5,.400,0,0,0,2,2,1.000,0,2,2,2,0,0,1,3,6,-11,13:21,.510,.400,.000,.400,0.0,13.3,6.8,24.1,0.0,0.0,14.5,21.5,100,91
9,Trendon Watford,Portland Trail Blazers,12:21,3,5,.600,0,1,.000,2,2,1.000,1,2,3,0,0,0,0,0,8,-13,12:21,.680,.600,.200,.400,7.6,14.4,11.1,0.0,0.0,0.0,0.0,19.9,144,93
10,Keljin Blevins,Portland Trail Blazers,3:18,0,3,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,-10,3:18,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,97
