,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Aaron Wiggins,Oklahoma City Thunder,34:57,8,11,.727,1,4,.250,2,3,.667,2,6,8,1,1,1,3,2,19,-15,34:57,.771,.773,.364,.273,5.2,19.2,11.4,5.1,1.4,2.5,19.6,17.7,122,117
1,Josh Giddey,Oklahoma City Thunder,32:40,4,16,.250,0,5,.000,1,2,.500,5,6,11,8,0,0,4,0,9,-12,32:40,.267,.250,.313,.125,13.9,20.5,16.8,36.6,0.0,0.0,19.2,25.9,73,122
2,Shai Gilgeous-Alexander,Oklahoma City Thunder,29:53,5,21,.238,0,4,.000,3,4,.750,2,1,3,7,2,0,3,2,13,-25,29:53,.286,.238,.190,.190,6.1,3.7,5.0,37.5,3.2,0.0,11.6,34.9,72,118
3,Jeremiah Robinson-Earl,Oklahoma City Thunder,27:33,1,4,.250,1,2,.500,0,0,0,1,8,9,2,1,0,0,0,3,+5,27:33,.375,.375,.500,.000,3.3,32.4,16.3,9.6,1.8,0.0,0.0,5.9,108,114
4,Luguentz Dort,Oklahoma City Thunder,27:06,4,13,.308,3,6,.500,4,4,1.000,2,0,2,0,0,0,1,4,15,-18,27:06,.508,.423,.462,.308,6.7,0.0,3.7,0.0,0.0,0.0,6.3,23.5,108,126
6,Darius Bazley,Oklahoma City Thunder,24:10,3,8,.375,0,1,.000,0,0,0,0,6,6,2,0,1,0,0,6,-7,24:10,.375,.375,.125,.000,0.0,27.7,12.4,12.4,0.0,3.5,0.0,13.4,91,117
7,Ty Jerome,Oklahoma City Thunder,22:20,4,10,.400,2,6,.333,0,0,0,0,1,1,0,1,0,0,2,10,-6,22:20,.500,.500,.600,.000,0.0,5.0,2.2,0.0,2.2,0.0,0.0,18.1,105,120
8,Mamadi Diakite,Oklahoma City Thunder,18:50,4,6,.667,0,0,0,0,0,0,1,2,3,0,0,0,1,4,8,-12,18:50,.667,.667,.000,.000,4.8,11.9,8.0,0.0,0.0,0.0,14.3,15.0,113,123
9,Tre Mann,Oklahoma City Thunder,15:59,3,7,.429,1,3,.333,0,0,0,1,1,2,0,0,0,2,0,7,-13,15:59,.500,.500,.429,.000,5.7,7.0,6.3,0.0,0.0,0.0,22.2,22.8,80,125
10,Mike Muscala,Oklahoma City Thunder,6:29,2,2,1.000,0,0,0,2,2,1.000,0,1,1,0,0,0,0,0,6,-7,6:29,1.042,1.000,.000,1.000,0.0,17.2,7.7,0.0,0.0,0.0,0.0,18.0,220,123
11,Derrick Favors,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Oklahoma City Thunder,240,38,98,.388,8,31,.258,12,15,.800,14,32,46,20,5,2,14,14,96,0,240,.459,.429,.316,.153,26.4,74.4,47.9,52.6,5.0,3.6,11.8,100.0,96.9,119.1
0,Dejounte Murray,San Antonio Spurs,30:15,11,20,.550,1,6,.167,0,0,0,3,7,10,14,3,0,1,0,23,+19,30:15,.575,.575,.300,.000,11.1,21.0,16.5,75.2,4.8,0.0,4.8,30.0,141,91
1,Derrick White,San Antonio Spurs,26:40,4,9,.444,1,6,.167,2,2,1.000,0,3,3,6,0,2,2,4,11,+33,26:40,.557,.500,.667,.222,0.0,10.2,5.6,27.1,0.0,5.4,16.8,19.2,114,102
2,Jakob Poeltl,San Antonio Spurs,26:26,6,9,.667,0,0,0,1,2,.500,3,5,8,4,1,4,1,1,13,+12,26:26,.658,.667,.000,.222,12.7,17.1,15.1,20.1,1.8,10.8,9.2,17.8,139,91
3,Keldon Johnson,San Antonio Spurs,22:41,5,7,.714,3,5,.600,0,0,0,0,1,1,0,0,1,1,2,13,+20,22:41,.929,.929,.714,.000,0.0,4.0,2.2,0.0,0.0,3.2,12.5,15.2,140,106
4,Doug McDermott,San Antonio Spurs,21:08,7,12,.583,6,9,.667,0,0,0,0,2,2,0,0,0,1,3,20,+7,21:08,.833,.833,.750,.000,0.0,8.6,4.7,0.0,0.0,0.0,7.7,26.6,133,106
6,Lonnie Walker IV,San Antonio Spurs,23:36,1,9,.111,0,4,.000,1,2,.500,0,3,3,2,2,1,0,0,3,+7,23:36,.152,.111,.444,.222,0.0,11.5,6.4,9.0,4.1,3.0,0.0,18.1,50,94
7,Devin Vassell,San Antonio Spurs,22:33,7,10,.700,4,5,.800,1,2,.500,0,8,8,1,2,2,0,4,19,+20,22:33,.873,.900,.500,.200,0.0,32.1,17.7,6.6,4.3,6.4,0.0,20.8,164,83
8,Keita Bates-Diop,San Antonio Spurs,18:50,2,7,.286,0,1,.000,0,0,0,1,2,3,2,0,0,0,0,4,+10,18:50,.286,.286,.143,.000,5.9,9.6,8.0,12.2,0.0,0.0,0.0,16.0,87,106
9,Drew Eubanks,San Antonio Spurs,10:55,2,4,.500,0,0,0,2,2,1.000,4,1,5,1,0,1,0,1,6,+20,10:55,.615,.500,.000,.500,40.9,8.3,22.9,11.5,0.0,6.6,0.0,19.3,161,102
10,Tre Jones,San Antonio Spurs,10:52,2,4,.500,0,1,.000,1,2,.500,0,1,1,1,1,0,0,1,5,-8,10:52,.512,.500,.250,.500,0.0,8.3,4.6,11.6,4.5,0.0,0.0,19.4,115,97
11,Thaddeus Young,San Antonio Spurs,10:39,0,2,.000,0,0,0,1,2,.500,0,3,3,0,0,1,3,1,1,-10,10:39,.174,.000,.000,1.000,0.0,25.5,14.1,0.0,0.0,6.7,51.0,23.8,18,95
12,Joe Wieskamp,San Antonio Spurs,8:45,0,2,.000,0,2,.000,0,0,0,0,2,2,1,0,0,0,0,0,-10,8:45,.000,.000,1.000,.000,0.0,20.7,11.4,11.7,0.0,0.0,0.0,9.9,36,101
13,Jock Landale,San Antonio Spurs,6:39,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,1,0,0,0,-10,6:39,.000,.000,1.000,.000,0.0,13.6,7.5,0.0,0.0,10.8,0.0,6.5,0,97
14,Team Totals,San Antonio Spurs,240,47,96,.490,15,40,.375,9,14,.643,11,39,50,32,9,13,9,17,118,0,240,.578,.568,.417,.146,25.6,73.6,52.1,68.1,9.1,19.4,8.1,100.0,119.1,96.9
