,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ja Morant,Memphis Grizzlies,41:28,14,31,.452,0,3,.000,7,10,.700,7,6,13,6,1,0,7,4,35,-11,41:28,.494,.452,.097,.323,15.0,18.3,16.4,33.4,1.2,0.0,16.5,40.1,99,113
1,Jaren Jackson Jr.,Memphis Grizzlies,34:51,4,17,.235,1,4,.250,1,2,.500,3,1,4,0,1,0,2,4,10,-13,34:51,.280,.265,.235,.118,7.7,3.6,6.0,0.0,1.5,0.0,10.1,22.4,67,116
2,Steven Adams,Memphis Grizzlies,32:24,1,4,.250,0,0,0,3,4,.750,1,10,11,2,1,0,0,1,5,-13,32:24,.434,.250,.000,1.000,2.7,39.0,17.7,8.3,1.6,0.0,0.0,7.0,121,108
3,Ziaire Williams,Memphis Grizzlies,23:25,4,13,.308,1,8,.125,0,0,0,1,0,1,1,0,0,0,5,9,-16,23:25,.346,.346,.615,.000,3.8,0.0,2.2,7.1,0.0,0.0,0.0,21.8,91,120
4,John Konchar,Memphis Grizzlies,23:13,1,6,.167,0,2,.000,0,0,0,6,4,10,2,0,1,1,2,2,-12,23:13,.167,.167,.333,.000,23.0,21.8,22.5,11.8,0.0,4.7,14.3,11.8,75,113
6,De'Anthony Melton,Memphis Grizzlies,30:50,5,16,.313,1,3,.333,1,2,.500,2,4,6,5,3,1,1,3,12,-1,30:50,.355,.344,.188,.125,5.8,16.4,10.2,26.6,5.0,3.5,5.6,22.7,94,103
7,Killian Tillie,Memphis Grizzlies,21:50,3,6,.500,1,3,.333,0,0,0,0,2,2,3,3,0,1,2,7,+3,21:50,.583,.583,.500,.000,0.0,11.6,4.8,21.7,7.0,0.0,14.3,12.6,117,102
8,Xavier Tillman Sr.,Memphis Grizzlies,15:36,3,3,1.000,0,0,0,0,0,0,1,2,3,0,1,0,3,2,6,0,15:36,1.000,1.000,.000,.000,5.7,16.2,10.0,0.0,3.3,0.0,50.0,15.1,80,109
9,Santi Aldama,Memphis Grizzlies,13:09,2,3,.667,0,1,.000,1,1,1.000,0,0,0,1,0,1,0,2,5,0,13:09,.727,.667,.333,.333,0.0,0.0,0.0,12.3,0.0,8.3,0.0,10.3,163,115
10,Jarrett Culver,Memphis Grizzlies,3:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3:14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
11,Yves Pons,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dakota Mathias,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Shaquille Harrison,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Memphis Grizzlies,240,37,99,.374,4,24,.167,13,19,.684,21,29,50,20,10,3,15,25,91,0,240,.424,.394,.242,.192,38.9,76.3,54.3,54.1,10.7,6.8,12.3,100.0,97.0,110.9
