,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nikola Vučević,Chicago Bulls,38:39,10,18,.556,4,7,.571,2,2,1.000,5,10,15,4,1,3,4,2,26,+8,38:39,.689,.667,.389,.111,14.1,24.4,19.6,17.4,1.2,7.9,17.5,25.1,120,104
1,Zach LaVine,Chicago Bulls,35:01,6,19,.316,3,10,.300,8,10,.800,0,7,7,7,2,1,3,0,23,-4,35:01,.491,.395,.526,.526,0.0,18.8,10.1,29.3,2.7,2.9,11.4,31.9,103,106
2,Ayo Dosunmu,Chicago Bulls,34:42,10,14,.714,4,6,.667,0,0,0,0,5,5,8,0,1,3,6,24,+15,34:42,.857,.857,.429,.000,0.0,13.6,7.3,40.7,0.0,2.9,17.6,20.7,140,113
3,Troy Brown Jr.,Chicago Bulls,31:18,4,9,.444,2,4,.500,0,0,0,0,3,3,2,1,1,1,4,10,-3,31:18,.556,.556,.444,.000,0.0,9.0,4.8,8.8,1.5,3.3,10.0,13.5,103,111
4,Javonte Green,Chicago Bulls,24:34,2,3,.667,0,0,0,1,2,.500,0,2,2,1,2,1,0,0,5,+5,24:34,.644,.667,.000,.667,0.0,7.7,4.1,5.3,3.9,4.2,0.0,6.7,136,106
6,Coby White,Chicago Bulls,31:12,3,14,.214,1,7,.143,2,2,1.000,2,5,7,7,0,1,3,3,9,-11,31:12,.302,.250,.500,.143,7.0,15.1,11.3,29.6,0.0,3.3,16.8,24.3,81,113
7,Malcolm Hill,Chicago Bulls,17:13,2,4,.500,0,2,.000,0,0,0,1,0,1,1,1,0,0,2,4,-7,17:13,.500,.500,.500,.000,6.3,0.0,2.9,7.9,2.8,0.0,0.0,9.8,121,113
8,Alfonzo McKinnie,Chicago Bulls,10:50,1,2,.500,0,0,0,0,0,0,0,4,4,0,0,0,1,4,2,+4,10:50,.500,.500,.000,.000,0.0,34.8,18.7,0.0,0.0,0.0,33.3,11.7,59,108
9,Tyler Cook,Chicago Bulls,7:51,2,2,1.000,0,0,0,1,2,.500,2,3,5,0,0,0,0,0,5,-3,7:51,.868,1.000,.000,1.000,27.8,36.0,32.2,0.0,0.0,0.0,0.0,15.5,183,109
10,Matt Thomas,Chicago Bulls,7:09,1,4,.250,1,3,.333,0,1,.000,0,1,1,1,0,0,0,1,3,+5,7:09,.338,.375,.750,.250,0.0,13.2,7.1,19.6,0.0,0.0,0.0,26.3,81,115
11,Tony Bradley,Chicago Bulls,1:29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,-4,1:29,0,0,0,0,0.0,63.5,34.1,0.0,0.0,68.9,100.0,28.5,0,55
12,Marko Simonovic,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Chicago Bulls,240,41,89,.461,15,39,.385,14,19,.737,10,41,51,31,7,9,16,23,111,0,240,.570,.545,.438,.213,22.7,80.4,53.7,75.6,6.9,19.1,14.1,100.0,109.8,108.8
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,38:31,9,17,.529,2,5,.400,11,14,.786,0,3,3,10,3,1,3,1,31,+2,38:31,.669,.588,.294,.824,0.0,8.5,3.9,46.5,3.7,2.5,11.5,28.7,133,107
1,Josh Giddey,Oklahoma City Thunder,30:57,4,11,.364,0,5,.000,1,2,.500,3,5,8,6,0,0,4,0,9,-6,30:57,.379,.364,.455,.182,9.1,17.6,13.1,29.3,0.0,0.0,25.2,21.7,84,115
