,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Damion Lee,Golden State Warriors,37:04,7,15,.467,5,10,.500,2,2,1.000,0,5,5,2,2,0,1,0,21,+6,37:04,.661,.633,.667,.133,0.0,18.0,8.1,7.6,2.6,0.0,5.9,18.5,134,122
1,Moses Moody,Golden State Warriors,36:52,6,12,.500,6,10,.600,2,2,1.000,2,5,7,1,0,0,1,3,20,+1,36:52,.776,.750,.833,.167,5.9,18.1,11.4,3.7,0.0,0.0,7.2,15.3,151,128
2,Jordan Poole,Golden State Warriors,33:59,9,24,.375,4,13,.308,9,9,1.000,3,3,6,5,1,1,1,0,31,-6,33:59,.554,.458,.542,.375,9.6,11.8,10.6,23.3,1.4,2.8,3.5,34.7,133,123
3,Kevon Looney,Golden State Warriors,22:59,5,8,.625,0,0,0,2,2,1.000,6,6,12,3,1,0,2,2,12,-12,22:59,.676,.625,.000,.250,28.5,34.8,31.3,19.2,2.1,0.0,18.4,19.3,140,121
4,Juan Toscano-Anderson,Golden State Warriors,21:03,3,9,.333,0,1,.000,0,0,0,1,2,3,7,0,0,2,0,6,-11,21:03,.333,.333,.111,.000,5.2,12.7,8.6,44.1,0.0,0.0,18.2,21.3,99,129
6,Jonathan Kuminga,Golden State Warriors,28:59,8,15,.533,2,6,.333,1,1,1.000,2,1,3,3,0,1,3,5,19,+15,28:59,.615,.600,.400,.067,7.5,4.6,6.2,16.7,0.0,3.3,16.3,25.9,114,126
7,Chris Chiozza,Golden State Warriors,27:04,3,7,.429,3,5,.600,0,0,0,0,3,3,5,1,0,1,2,9,+17,27:04,.643,.643,.714,.000,0.0,14.8,6.7,23.5,1.8,0.0,12.5,12.0,138,124
8,Gary Payton II,Golden State Warriors,16:54,0,1,.000,0,0,0,0,0,0,0,3,3,3,5,1,1,3,0,0,16:54,.000,.000,.000,.000,0.0,23.7,10.7,19.8,14.5,5.7,50.0,4.8,79,89
9,Quinndary Weatherspoon,Golden State Warriors,15:06,2,5,.400,0,1,.000,2,2,1.000,1,3,4,1,0,0,2,2,6,+10,15:06,.510,.400,.200,.400,7.2,26.5,15.9,8.7,0.0,0.0,25.4,21.2,93,127
10,Nemanja Bjelica,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Otto Porter Jr.,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Golden State Warriors,240,43,96,.448,20,46,.435,18,18,1.000,15,31,46,30,10,3,14,17,124,0,240,.597,.552,.479,.188,34.1,86.1,57.5,69.8,10.2,6.0,11.9,100.0,126.4,122.3
0,Dejounte Murray,San Antonio Spurs,37:33,12,21,.571,1,3,.333,2,3,.667,1,8,9,9,2,1,6,1,27,-5,37:33,.605,.595,.143,.143,3.6,23.2,14.4,37.5,2.6,2.6,21.2,34.6,107,120
1,Keldon Johnson,San Antonio Spurs,35:07,8,10,.800,3,5,.600,2,4,.500,0,3,3,4,0,0,3,2,21,+1,35:07,.893,.950,.500,.400,0.0,9.3,5.1,15.6,0.0,0.0,20.3,19.3,133,134
2,Derrick White,San Antonio Spurs,35:00,6,10,.600,4,7,.571,0,0,0,0,3,3,7,0,0,3,3,16,-5,35:00,.800,.800,.700,.000,0.0,9.4,5.1,25.4,0.0,0.0,23.1,17.1,127,134
3,Doug McDermott,San Antonio Spurs,19:18,4,7,.571,2,3,.667,0,0,0,0,1,1,2,0,0,0,4,10,+3,19:18,.714,.714,.429,.000,0.0,5.7,3.1,13.8,0.0,0.0,0.0,16.7,141,136
4,Jakob Poeltl,San Antonio Spurs,12:18,3,4,.750,0,0,0,1,2,.500,2,3,5,1,1,1,1,2,7,+8,12:18,.717,.750,.000,.500,21.7,26.6,24.4,11.4,4.0,7.8,17.0,22.0,132,113
6,Devin Vassell,San Antonio Spurs,30:29,4,10,.400,4,7,.571,2,2,1.000,0,8,8,4,2,0,0,1,14,-5,30:29,.643,.600,.700,.200,0.0,28.6,15.7,15.9,3.2,0.0,0.0,16.4,137,118
7,Lonnie Walker IV,San Antonio Spurs,26:04,4,10,.400,1,4,.250,2,2,1.000,0,1,1,4,1,3,1,1,11,-4,26:04,.506,.450,.400,.200,0.0,4.2,2.3,19.1,1.9,11.0,8.4,20.9,107,126
8,Joshua Primo,San Antonio Spurs,19:24,2,4,.500,1,3,.333,1,2,.500,1,1,2,2,1,1,0,0,6,-6,19:24,.615,.625,.750,.500,6.9,5.6,6.2,12.1,2.5,4.9,0.0,11.6,142,127
9,Keita Bates-Diop,San Antonio Spurs,11:21,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,-5,11:21,.500,.500,.000,.000,0.0,9.6,5.3,0.0,0.0,0.0,0.0,8.1,95,134
10,Jock Landale,San Antonio Spurs,8:17,1,4,.250,0,1,.000,0,0,0,1,0,1,0,0,0,0,1,2,-2,8:17,.250,.250,.250,.000,16.1,0.0,7.2,0.0,0.0,0.0,0.0,22.2,71,138
11,Drew Eubanks,San Antonio Spurs,5:08,1,1,1.000,0,0,0,2,2,1.000,0,0,0,0,0,1,0,0,4,0,5:08,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,18.7,0.0,16.8,230,129
