,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Mikal Bridges,Phoenix Suns,40:03,9,17,.529,2,7,.286,4,4,1.000,2,6,8,4,2,0,3,2,24,+3,40:03,.640,.588,.412,.235,5.8,18.4,12.0,13.6,2.4,0.0,13.8,24.6,116,124
1,Chris Paul,Phoenix Suns,38:56,7,14,.500,1,5,.200,3,4,.750,0,4,4,12,3,0,0,5,18,-4,38:56,.571,.536,.357,.286,0.0,12.6,6.2,39.6,3.7,0.0,0.0,18.3,137,121
2,Devin Booker,Phoenix Suns,38:26,13,27,.481,1,8,.125,5,7,.714,0,0,0,3,1,0,2,4,32,-6,38:26,.532,.500,.296,.259,0.0,0.0,0.0,12.6,1.2,0.0,6.2,37.8,101,129
3,Jae Crowder,Phoenix Suns,33:35,4,9,.444,2,6,.333,0,0,0,2,4,6,0,1,1,1,2,10,+1,33:35,.556,.556,.667,.000,7.0,14.7,10.7,0.0,1.4,3.2,10.0,13.5,104,124
4,Deandre Ayton,Phoenix Suns,24:27,3,5,.600,0,0,0,0,0,0,1,8,9,4,1,0,0,1,6,0,24:27,.600,.600,.000,.000,4.8,40.3,22.1,19.6,2.0,0.0,0.0,9.3,145,122
6,Cameron Johnson,Phoenix Suns,29:07,5,9,.556,3,5,.600,0,0,0,1,7,8,0,2,0,0,3,13,-10,29:07,.722,.722,.556,.000,4.0,29.6,16.5,0.0,3.3,0.0,0.0,14.0,136,120
7,JaVale McGee,Phoenix Suns,16:05,5,5,1.000,0,0,0,2,3,.667,0,2,2,0,0,1,1,1,12,-12,16:05,.949,1.000,.000,.600,0.0,15.3,7.5,0.0,0.0,6.8,13.7,20.6,150,125
8,Elfrid Payton,Phoenix Suns,10:00,0,1,.000,0,0,0,0,0,0,0,2,2,7,1,0,3,0,0,-8,10:00,.000,.000,.000,.000,0.0,24.6,12.0,73.0,4.8,0.0,75.0,18.1,73,118
9,Ish Wainright,Phoenix Suns,5:51,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,-4,5:51,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0,132
10,Jalen Smith,Phoenix Suns,3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,3:30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,131
11,Bismack Biyombo,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justin Jackson,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Phoenix Suns,240,46,88,.523,9,32,.281,14,18,.778,6,33,39,30,11,2,10,20,115,0,240,.599,.574,.364,.205,14.6,84.6,48.8,65.2,11.0,4.5,9.4,100.0,115.1,124.1
