,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Saddiq Bey,Detroit Pistons,33:49,7,16,.438,6,11,.545,4,5,.800,1,7,8,3,0,1,0,0,24,-2,33:49,.659,.625,.688,.313,2.6,22.6,11.6,14.2,0.0,2.6,0.0,22.8,139,124
1,Isaiah Stewart,Detroit Pistons,32:52,2,7,.286,0,1,.000,1,3,.333,8,4,12,1,0,4,2,2,5,+6,32:52,.300,.286,.143,.429,21.6,13.3,17.9,3.9,0.0,10.6,19.4,13.3,90,121
2,Jerami Grant,Detroit Pistons,31:54,3,11,.273,1,4,.250,3,3,1.000,0,2,2,5,0,1,1,2,10,+5,31:54,.406,.318,.364,.273,0.0,6.8,3.1,21.2,0.0,2.7,7.5,17.7,97,128
3,Cory Joseph,Detroit Pistons,28:05,6,10,.600,3,4,.750,0,0,0,0,2,2,4,1,2,4,4,15,-12,28:05,.750,.750,.400,.000,0.0,7.8,3.5,23.0,1.8,6.2,28.6,21.1,102,121
4,Hamidou Diallo,Detroit Pistons,22:16,5,11,.455,0,2,.000,1,2,.500,2,4,6,0,2,0,0,4,11,+7,22:16,.463,.455,.182,.182,8.0,19.6,13.2,0.0,4.5,0.0,0.0,22.6,102,116
6,Frank Jackson,Detroit Pistons,24:08,4,9,.444,0,1,.000,1,2,.500,1,3,4,1,1,0,0,0,9,-4,24:08,.455,.444,.111,.222,3.7,13.6,8.1,6.2,2.1,0.0,0.0,17.3,103,123
7,Killian Hayes,Detroit Pistons,23:35,5,7,.714,0,0,0,0,0,0,0,3,3,8,1,1,3,4,10,-9,23:35,.714,.714,.000,.000,0.0,13.9,6.2,54.6,2.1,3.7,30.0,18.0,117,120
8,Trey Lyles,Detroit Pistons,17:17,6,13,.462,1,3,.333,3,4,.750,1,6,7,1,0,0,0,2,16,-20,17:17,.542,.500,.231,.308,5.1,37.9,19.8,11.9,0.0,0.0,0.0,36.2,116,121
9,Kelly Olynyk,Detroit Pistons,13:53,1,6,.167,1,4,.250,0,0,0,1,1,2,4,0,0,0,3,3,-17,13:53,.250,.250,.667,.000,6.4,7.9,7.1,37.8,0.0,0.0,0.0,18.3,94,130
10,Rodney McGruder,Detroit Pistons,12:11,1,5,.200,0,2,.000,0,0,0,0,1,1,1,1,0,0,1,2,-19,12:11,.200,.200,.400,.000,0.0,9.0,4.0,10.9,4.1,0.0,0.0,17.4,56,120
11,Cade Cunningham,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Detroit Pistons,240,40,95,.421,12,32,.375,13,19,.684,14,33,47,28,6,9,10,22,105,0,240,.508,.484,.337,.200,25.9,75.0,48.0,70.0,6.2,16.4,8.8,100.0,108.5,121.9
0,Karl-Anthony Towns,Minnesota Timberwolves,37:44,11,18,.611,2,3,.667,0,0,0,3,9,12,2,0,1,3,2,24,+8,37:44,.667,.667,.167,.000,8.7,21.2,15.6,9.1,0.0,2.0,14.3,24.2,118,109
1,Anthony Edwards,Minnesota Timberwolves,34:59,4,12,.333,2,6,.333,7,9,.778,0,2,2,5,2,0,0,3,17,-1,34:59,.533,.417,.500,.750,0.0,5.1,2.8,18.8,2.8,0.0,0.0,19.9,129,110
2,D'Angelo Russell,Minnesota Timberwolves,30:19,7,18,.389,3,7,.429,5,5,1.000,1,4,5,8,1,0,1,1,22,+11,30:19,.545,.472,.389,.278,3.6,11.7,8.1,41.0,1.6,0.0,4.7,30.4,128,110
3,Patrick Beverley,Minnesota Timberwolves,29:54,3,8,.375,1,4,.250,3,3,1.000,0,6,6,2,1,0,1,5,10,+3,29:54,.536,.438,.500,.375,0.0,17.8,9.8,8.6,1.7,0.0,9.7,15.0,111,107
4,Jarred Vanderbilt,Minnesota Timberwolves,25:49,1,3,.333,0,0,0,0,0,0,2,3,5,1,0,1,1,2,2,-3,25:49,.333,.333,.000,.000,8.5,10.3,9.5,4.6,0.0,3.0,25.0,6.7,91,112
6,Jaden McDaniels,Minnesota Timberwolves,24:33,5,8,.625,3,4,.750,0,0,0,0,4,4,0,0,3,1,0,13,+4,24:33,.813,.813,.500,.000,0.0,14.5,8.0,0.0,0.0,9.3,11.1,16.0,129,107
7,Malik Beasley,Minnesota Timberwolves,21:33,7,15,.467,5,9,.556,1,2,.500,2,7,9,1,1,0,1,2,20,+20,21:33,.630,.633,.600,.133,10.1,28.9,20.5,8.4,2.3,0.0,5.9,34.1,121,102
8,Jordan McLaughlin,Minnesota Timberwolves,15:33,2,3,.667,0,1,.000,0,0,0,1,3,4,4,0,1,0,0,4,+14,15:33,.667,.667,.333,.000,7.0,17.1,12.6,34.5,0.0,4.9,0.0,8.4,175,109
9,Naz Reid,Minnesota Timberwolves,10:16,1,2,.500,1,1,1.000,0,0,0,1,1,2,0,1,1,2,2,3,+5,10:16,.750,.750,.500,.000,10.6,8.7,9.5,0.0,4.8,7.4,50.0,17.0,75,99
10,Jaylen Nowell,Minnesota Timberwolves,7:02,0,1,.000,0,1,.000,1,2,.500,0,1,1,4,0,0,0,2,1,+3,7:02,.266,.000,1.000,2.000,0.0,12.6,7.0,65.0,0.0,0.0,0.0,11.6,136,113
11,Taurean Prince,Minnesota Timberwolves,2:18,1,3,.333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,+1,2:18,.333,.333,.000,.000,47.4,0.0,21.3,0.0,0.0,0.0,0.0,56.8,90,119
12,Leandro Bolmaro,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nathan Knight,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Minnesota Timberwolves,240,42,91,.462,17,36,.472,17,21,.810,11,40,51,27,6,7,10,19,118,0,240,.589,.555,.396,.231,25.0,74.1,52.0,64.3,6.2,11.1,9.1,100.0,121.9,108.5
