,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Saddiq Bey,Detroit Pistons,31:26,1,11,.091,1,7,.143,0,0,0,0,3,3,6,1,1,0,2,3,-19,31:26,.136,.136,.636,.000,0.0,12.1,5.0,29.1,1.6,3.6,0.0,15.0,56,119
1,Jerami Grant,Detroit Pistons,30:01,5,16,.313,1,6,.167,4,7,.571,0,4,4,1,1,0,0,2,15,-11,30:01,.393,.344,.375,.438,0.0,16.8,7.0,6.4,1.7,0.0,0.0,27.3,87,121
2,Isaiah Stewart,Detroit Pistons,29:13,6,9,.667,0,0,0,2,3,.667,5,10,15,1,1,0,0,3,14,-9,29:13,.678,.667,.000,.333,15.2,43.2,26.8,7.1,1.7,0.0,0.0,15.2,148,117
3,Cory Joseph,Detroit Pistons,26:37,1,4,.250,1,1,1.000,0,0,0,1,2,3,1,0,0,3,3,3,-3,26:37,.375,.375,.250,.000,3.3,9.5,5.9,5.8,0.0,0.0,42.9,11.3,52,126
4,Hamidou Diallo,Detroit Pistons,26:28,6,14,.429,1,4,.250,5,6,.833,1,4,5,1,1,0,1,3,18,-3,26:28,.541,.464,.286,.429,3.4,19.1,9.9,8.2,1.9,0.0,5.7,28.6,109,120
6,Frank Jackson,Detroit Pistons,24:48,3,8,.375,1,6,.167,1,2,.500,1,3,4,2,0,0,0,2,8,-30,24:48,.450,.438,.750,.250,3.6,15.3,8.4,14.2,0.0,0.0,0.0,15.4,105,125
7,Killian Hayes,Detroit Pistons,21:23,3,5,.600,0,1,.000,0,0,0,1,1,2,2,1,0,8,4,6,-27,21:23,.600,.600,.200,.000,4.2,5.9,4.9,17.1,2.3,0.0,61.5,26.1,47,120
8,Kelly Olynyk,Detroit Pistons,18:47,3,11,.273,0,3,.000,1,1,1.000,2,1,3,4,0,0,2,1,7,-21,18:47,.306,.273,.273,.091,9.5,6.7,8.3,40.3,0.0,0.0,14.9,30.8,73,126
9,Trey Lyles,Detroit Pistons,17:59,5,8,.625,0,2,.000,2,3,.667,2,4,6,1,0,1,1,2,12,-19,17:59,.644,.625,.250,.375,9.9,28.1,17.4,13.6,0.0,6.2,9.7,24.7,120,118
10,Rodney McGruder,Detroit Pistons,13:18,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-8,13:18,.000,.000,.000,.000,0.0,0.0,0.0,10.9,0.0,0.0,0.0,3.2,44,127
11,Cade Cunningham,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Detroit Pistons,240,33,87,.379,5,30,.167,15,22,.682,13,32,45,20,5,2,15,24,86,0,240,.445,.408,.345,.253,24.1,84.2,48.9,60.6,5.2,4.7,13.4,100.0,89.8,121.1
0,Luka Dončić,Dallas Mavericks,32:52,9,18,.500,5,9,.556,10,14,.714,0,7,7,11,1,2,5,3,33,+35,32:52,.683,.639,.500,.778,0.0,18.9,11.1,59.8,1.5,5.1,17.1,41.7,128,87
