,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ja Morant,Memphis Grizzlies,30:04,7,17,.412,2,8,.250,7,9,.778,0,4,4,6,1,0,2,2,23,+15,30:04,.549,.471,.471,.529,0.0,12.3,6.4,29.2,1.6,0.0,8.7,29.9,122,107
1,Desmond Bane,Memphis Grizzlies,28:00,7,11,.636,3,4,.750,5,6,.833,0,6,6,2,0,0,1,3,22,+19,28:00,.806,.773,.364,.545,0.0,19.8,10.3,10.7,0.0,0.0,6.8,20.5,156,109
2,Steven Adams,Memphis Grizzlies,26:27,6,9,.667,0,0,0,4,9,.444,7,7,14,5,0,1,1,1,16,+8,26:27,.617,.667,.000,1.000,26.5,24.4,25.4,27.4,0.0,3.1,7.2,20.7,144,105
3,Jaren Jackson Jr.,Memphis Grizzlies,23:53,2,9,.222,2,3,.667,6,6,1.000,1,5,6,2,0,0,4,4,12,+2,23:53,.515,.333,.333,.667,4.2,19.3,12.1,10.1,0.0,0.0,25.6,25.7,95,109
4,Ziaire Williams,Memphis Grizzlies,22:00,3,4,.750,2,2,1.000,0,0,0,0,1,1,2,0,0,1,2,8,+9,22:00,1.000,1.000,.500,.000,0.0,4.2,2.2,11.7,0.0,0.0,20.0,8.9,149,113
6,Kyle Anderson,Memphis Grizzlies,26:06,6,11,.545,0,1,.000,1,2,.500,3,8,11,2,1,1,2,5,13,+28,26:06,.547,.545,.091,.182,11.5,28.3,20.2,11.2,1.8,3.1,14.4,20.8,111,100
7,De'Anthony Melton,Memphis Grizzlies,22:41,5,12,.417,4,8,.500,0,0,0,1,3,4,4,1,0,0,0,14,+9,22:41,.583,.583,.667,.000,4.4,12.2,8.5,25.3,2.1,0.0,0.0,20.7,143,106
8,John Konchar,Memphis Grizzlies,20:08,1,2,.500,1,2,.500,0,0,0,0,4,4,1,0,1,0,2,3,+6,20:08,.750,.750,1.000,.000,0.0,18.3,9.5,5.7,0.0,4.0,0.0,3.9,169,106
9,Brandon Clarke,Memphis Grizzlies,19:33,4,8,.500,0,0,0,6,10,.600,5,4,9,3,1,1,1,3,14,+12,19:33,.565,.500,.000,1.250,25.6,18.9,22.1,21.6,2.4,4.2,7.5,26.9,134,100
10,Tyus Jones,Memphis Grizzlies,16:53,1,6,.167,0,1,.000,0,0,0,0,0,0,5,2,0,0,1,2,+18,16:53,.167,.167,.167,.000,0.0,0.0,0.0,34.5,5.6,0.0,0.0,13.9,94,102
11,Jarrett Culver,Memphis Grizzlies,4:13,2,3,.667,1,1,1.000,0,0,0,1,0,1,0,0,0,0,0,5,-1,4:13,.833,.833,.333,.000,23.7,0.0,11.4,0.0,0.0,0.0,0.0,27.9,170,114
12,Xavier Tillman Sr.,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Memphis Grizzlies,240,44,92,.478,15,30,.500,29,42,.690,18,42,60,32,6,4,12,23,132,0,240,.597,.560,.326,.457,37.5,80.8,60.0,72.7,5.9,6.8,9.8,100.0,130.7,105.9
0,Saddiq Bey,Detroit Pistons,35:45,7,16,.438,3,8,.375,0,0,0,1,6,7,2,0,0,0,1,17,-20,35:45,.531,.531,.500,.000,2.6,16.8,9.4,8.5,0.0,0.0,0.0,19.1,110,132
1,Hamidou Diallo,Detroit Pistons,31:21,7,13,.538,1,4,.250,2,3,.667,2,8,10,3,0,1,0,3,17,-13,31:21,.594,.577,.308,.231,5.9,25.5,15.3,15.2,0.0,2.5,0.0,19.5,128,127
2,Cory Joseph,Detroit Pistons,31:06,2,8,.250,0,2,.000,0,0,0,0,2,2,9,0,1,0,4,4,-13,31:06,.250,.250,.250,.000,0.0,6.4,3.1,36.6,0.0,2.5,0.0,11.0,93,134
3,Jerami Grant,Detroit Pistons,29:11,7,13,.538,0,4,.000,6,7,.857,0,4,4,4,1,2,3,3,20,-16,29:11,.622,.538,.308,.538,0.0,13.7,6.6,22.3,1.6,5.3,15.7,28.0,110,127
4,Isaiah Stewart,Detroit Pistons,17:26,5,7,.714,0,0,0,0,0,0,2,0,2,2,1,2,0,5,10,-13,17:26,.714,.714,.000,.000,10.6,0.0,5.5,20.2,2.7,8.9,0.0,17.2,151,127
6,Frank Jackson,Detroit Pistons,28:49,3,13,.231,1,7,.143,5,6,.833,0,1,1,1,2,0,0,3,12,-17,28:49,.384,.269,.538,.462,0.0,3.5,1.7,4.6,3.3,0.0,0.0,23.2,85,130
7,Rodney McGruder,Detroit Pistons,23:05,4,7,.571,1,3,.333,0,0,0,1,1,2,0,0,1,1,1,9,-8,23:05,.643,.643,.429,.000,4.0,4.3,4.2,0.0,0.0,3.4,12.5,14.8,108,135
8,Kelly Olynyk,Detroit Pistons,20:46,3,9,.333,0,4,.000,3,3,1.000,2,5,7,2,0,0,1,1,9,-20,20:46,.436,.333,.444,.333,8.9,24.1,16.2,13.6,0.0,0.0,8.8,23.3,97,129
9,Killian Hayes,Detroit Pistons,12:41,0,2,.000,0,2,.000,2,2,1.000,0,2,2,4,0,0,3,6,2,-13,12:41,.347,.000,1.000,1.000,0.0,15.8,7.6,36.9,0.0,0.0,51.0,19.8,61,130
10,Luka Garza,Detroit Pistons,9:48,3,6,.500,1,1,1.000,0,0,0,2,1,3,0,0,0,1,2,7,+8,9:48,.583,.583,.167,.000,18.8,10.2,14.7,0.0,0.0,0.0,14.3,30.5,102,134
11,Saben Lee,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cade Cunningham,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Detroit Pistons,240,41,94,.436,7,35,.200,18,21,.857,10,30,40,27,4,7,9,29,107,0,240,.518,.473,.372,.223,19.2,62.5,40.0,65.9,4.0,11.3,8.0,100.0,105.9,130.7
