,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dejounte Murray,San Antonio Spurs,35:57,7,16,.438,0,1,.000,5,7,.714,0,6,6,11,2,0,2,3,19,-10,35:57,.498,.438,.063,.438,0.0,20.5,9.3,42.4,2.6,0.0,9.5,26.0,106,116
1,Keldon Johnson,San Antonio Spurs,31:12,4,12,.333,0,2,.000,5,5,1.000,1,2,3,2,1,0,1,3,13,-16,31:12,.458,.333,.167,.417,3.3,7.9,5.4,8.1,1.5,0.0,6.6,21.6,94,121
2,Jakob Poeltl,San Antonio Spurs,30:12,6,9,.667,0,0,0,1,2,.500,1,8,9,4,0,0,2,3,13,-5,30:12,.658,.667,.000,.222,3.4,32.6,16.6,18.4,0.0,0.0,16.8,17.4,114,120
3,Doug McDermott,San Antonio Spurs,29:26,7,11,.636,3,5,.600,2,2,1.000,0,4,4,1,0,0,1,1,19,-17,29:26,.800,.773,.455,.182,0.0,16.7,7.6,5.0,0.0,0.0,7.8,19.4,135,123
4,Devin Vassell,San Antonio Spurs,24:13,2,10,.200,0,4,.000,1,1,1.000,0,0,0,1,1,1,1,2,5,-4,24:13,.239,.200,.400,.100,0.0,0.0,0.0,5.0,2.0,3.1,8.7,20.9,48,120
6,Lonnie Walker IV,San Antonio Spurs,25:40,9,17,.529,2,4,.500,1,4,.250,2,3,5,2,1,0,0,0,21,-7,25:40,.560,.588,.235,.235,8.0,14.4,10.9,13.8,1.8,0.0,0.0,32.4,111,119
7,Joshua Primo,San Antonio Spurs,20:40,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+3,20:40,.500,.500,.500,.000,0.0,6.0,2.7,0.0,2.3,0.0,0.0,4.3,94,120
8,Zach Collins,San Antonio Spurs,17:48,4,6,.667,1,3,.333,0,0,0,0,2,2,2,1,1,0,2,9,-6,17:48,.750,.750,.500,.000,0.0,13.8,6.3,16.2,2.7,4.2,0.0,14.9,145,114
9,Keita Bates-Diop,San Antonio Spurs,12:49,4,7,.571,0,0,0,0,0,0,0,3,3,1,1,0,0,1,8,+8,12:49,.571,.571,.000,.000,0.0,28.8,13.1,12.9,3.7,0.0,0.0,24.2,109,112
10,Tre Jones,San Antonio Spurs,12:03,0,2,.000,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,-1,12:03,.000,.000,.000,.000,0.0,0.0,0.0,36.2,3.9,0.0,0.0,7.4,76,118
11,Joe Wieskamp,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
