,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Darius Bazley,Oklahoma City Thunder,39:34,8,17,.471,2,6,.333,5,7,.714,1,7,8,3,1,0,0,2,23,+2,39:34,.573,.529,.353,.412,3.0,16.5,10.5,10.8,1.2,0.0,0.0,22.6,124,113
1,Josh Giddey,Oklahoma City Thunder,38:44,11,22,.500,3,4,.750,3,6,.500,2,9,11,12,1,0,7,1,28,+6,38:44,.568,.568,.182,.273,6.1,21.6,14.8,49.8,1.3,0.0,22.1,36.4,105,111
2,Aaron Wiggins,Oklahoma City Thunder,33:50,1,5,.200,0,3,.000,0,0,0,0,3,3,3,1,0,0,1,2,-11,33:50,.200,.200,.600,.000,0.0,8.2,4.6,10.1,1.4,0.0,0.0,6.6,74,117
3,Tre Mann,Oklahoma City Thunder,31:52,9,16,.563,4,7,.571,8,8,1.000,0,2,2,1,2,0,1,0,30,-10,31:52,.768,.688,.438,.500,0.0,5.8,3.3,5.0,3.1,0.0,4.9,28.7,146,115
4,Isaiah Roby,Oklahoma City Thunder,22:03,3,6,.500,0,1,.000,0,2,.000,2,4,6,0,1,0,0,5,6,-15,22:03,.436,.500,.167,.333,10.7,16.9,14.1,0.0,2.2,0.0,0.0,13.9,101,111
6,Kenrich Williams,Oklahoma City Thunder,27:05,6,9,.667,1,4,.250,0,0,0,0,4,4,3,1,0,0,4,13,+16,27:05,.722,.722,.444,.000,0.0,13.7,7.7,16.2,1.8,0.0,0.0,14.8,149,113
7,Derrick Favors,Oklahoma City Thunder,20:31,5,6,.833,0,1,.000,0,0,0,1,3,4,0,0,1,1,4,10,+18,20:31,.833,.833,.167,.000,5.7,13.6,10.1,0.0,0.0,4.5,14.3,15.2,135,115
8,Aleksej Pokusevski,Oklahoma City Thunder,20:11,1,6,.167,0,3,.000,0,0,0,1,3,4,1,1,0,0,0,2,+10,20:11,.167,.167,.500,.000,5.8,13.8,10.3,5.8,2.4,0.0,0.0,13.3,59,112
9,Ty Jerome,Oklahoma City Thunder,19:02,4,7,.571,3,4,.750,2,4,.500,1,0,1,4,1,0,0,1,13,+4,19:02,.742,.786,.571,.571,6.2,0.0,2.7,30.2,2.6,0.0,0.0,20.5,159,119
10,Théo Maledon,Oklahoma City Thunder,6:54,0,2,.000,0,1,.000,0,0,0,0,2,2,1,0,0,1,0,0,+1,6:54,.000,.000,.500,.000,0.0,27.0,15.1,16.0,0.0,0.0,33.3,19.4,21,111
11,Vit Krejci,Oklahoma City Thunder,5:14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-1,5:14,0,0,0,0,0.0,17.8,9.9,0.0,0.0,0.0,100.0,8.5,0,115
12,Lindy Waters III,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Oklahoma City Thunder,265,48,96,.500,13,34,.382,18,27,.667,8,38,46,28,9,1,11,19,127,0,265,.589,.568,.354,.281,17.8,66.7,45.1,58.3,8.3,1.7,9.3,100.0,117.1,113.4
0,Julius Randle,New York Knicks,44:55,11,26,.423,1,5,.200,7,7,1.000,0,13,13,10,0,0,7,6,30,-2,44:55,.516,.442,.192,.269,0.0,34.1,15.0,36.9,0.0,0.0,19.4,32.3,101,121
1,Evan Fournier,New York Knicks,44:33,10,18,.556,6,13,.462,3,3,1.000,2,2,4,5,2,1,0,2,29,-1,44:33,.751,.722,.722,.167,4.2,5.3,4.7,18.0,2.2,1.9,0.0,17.5,166,119
2,Mitchell Robinson,New York Knicks,40:32,6,9,.667,0,0,0,2,4,.500,9,8,17,0,4,4,2,1,14,+1,40:32,.651,.667,.000,.444,20.6,23.2,21.8,0.0,4.8,8.4,15.7,12.7,129,105
3,Quentin Grimes,New York Knicks,40:03,7,18,.389,5,14,.357,0,0,0,2,5,7,0,1,2,1,5,19,-2,40:03,.528,.528,.778,.000,4.6,14.7,9.1,0.0,1.2,4.3,5.3,19.1,110,118
4,Kemba Walker,New York Knicks,25:51,3,9,.333,2,5,.400,1,1,1.000,1,2,3,5,1,2,0,0,9,+5,25:51,.477,.444,.556,.111,3.6,9.1,6.0,26.4,1.9,6.6,0.0,14.7,131,116
6,Alec Burks,New York Knicks,27:09,3,11,.273,1,5,.200,4,5,.800,1,5,6,3,0,2,1,2,11,-9,27:09,.417,.318,.455,.455,3.4,21.7,11.5,15.0,0.0,6.3,7.0,21.1,102,118
7,Immanuel Quickley,New York Knicks,13:59,0,7,.000,0,5,.000,0,0,0,0,0,0,5,0,0,2,2,0,-5,13:59,.000,.000,.714,.000,0.0,0.0,0.0,42.1,0.0,0.0,22.2,25.9,36,126
