,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Miles Bridges,Charlotte Hornets,44:02,9,21,.429,3,8,.375,7,10,.700,1,12,13,7,0,1,4,2,28,-5,44:02,.551,.500,.381,.476,2.1,22.9,13.0,27.0,0.0,2.2,13.6,26.8,106,108
1,Terry Rozier,Charlotte Hornets,41:22,9,22,.409,1,7,.143,6,6,1.000,0,1,1,5,0,1,0,5,25,-5,41:22,.507,.432,.318,.273,0.0,2.0,1.1,21.0,0.0,2.4,0.0,23.9,117,116
2,LaMelo Ball,Charlotte Hornets,40:51,8,22,.364,3,8,.375,3,5,.600,1,8,9,6,1,1,2,6,22,-12,40:51,.455,.432,.364,.227,2.3,16.5,9.7,24.6,1.1,2.4,7.6,25.7,98,108
3,Mason Plumlee,Charlotte Hornets,36:01,4,6,.667,0,0,0,6,8,.750,6,11,17,9,0,0,3,5,14,-14,36:01,.735,.667,.000,1.333,15.5,25.7,20.8,36.7,0.0,0.0,24.0,13.9,138,107
4,P.J. Washington,Charlotte Hornets,32:53,1,5,.200,1,5,.200,0,0,0,2,6,8,0,4,1,0,3,3,-10,32:53,.300,.300,1.000,.000,5.7,15.4,10.7,0.0,5.5,3.0,0.0,6.1,87,99
6,Montrezl Harrell,Charlotte Hornets,33:34,5,10,.500,0,0,0,2,2,1.000,2,5,7,2,1,2,2,3,12,+6,33:34,.551,.500,.000,.200,5.5,12.5,9.2,9.3,1.4,5.8,15.5,15.4,104,108
7,Kelly Oubre Jr.,Charlotte Hornets,24:54,4,13,.308,0,4,.000,3,4,.750,3,1,4,1,3,0,2,4,11,+6,24:54,.373,.308,.308,.308,11.2,3.4,7.1,6.4,5.5,0.0,11.9,27.0,82,105
8,JT Thor,Charlotte Hornets,11:21,2,3,.667,0,1,.000,1,2,.500,1,2,3,1,0,1,1,2,5,+4,11:21,.644,.667,.333,.667,8.2,14.8,11.7,14.3,0.0,8.6,20.5,17.2,109,108
9,Nick Richards,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,James Bouknight,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kai Jones,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Charlotte Hornets,265,42,102,.412,8,33,.242,28,37,.757,16,46,62,31,9,7,14,30,120,0,265,.507,.451,.324,.363,28.1,73.0,51.7,73.8,7.7,13.0,10.6,100.0,103.0,108.2
0,Karl-Anthony Towns,Minnesota Timberwolves,41:41,12,26,.462,4,11,.364,11,13,.846,3,12,15,3,1,1,3,4,39,+8,41:41,.615,.538,.423,.500,6.1,26.8,15.9,13.7,1.1,1.8,8.6,31.3,121,101
1,Jarred Vanderbilt,Minnesota Timberwolves,37:53,4,8,.500,0,0,0,2,4,.500,4,10,14,0,1,0,2,2,10,+8,37:53,.512,.500,.000,.500,8.9,24.5,16.3,0.0,1.2,0.0,17.0,11.7,98,103
2,D'Angelo Russell,Minnesota Timberwolves,37:22,5,20,.250,4,14,.286,4,7,.571,1,3,4,11,0,0,2,3,18,+17,37:22,.390,.350,.700,.350,2.3,7.5,4.7,43.5,0.0,0.0,8.0,25.2,97,112
3,Patrick Beverley,Minnesota Timberwolves,35:35,5,12,.417,1,8,.125,4,8,.500,4,4,8,4,3,2,2,6,15,+11,35:35,.483,.458,.667,.667,9.5,10.5,9.9,16.8,3.8,4.3,11.4,18.5,105,99
4,Anthony Edwards,Minnesota Timberwolves,17:50,3,10,.300,1,6,.167,2,5,.400,2,2,4,1,1,1,0,1,9,+8,17:50,.369,.350,.600,.500,9.4,10.4,9.9,8.7,2.6,4.3,0.0,25.7,91,103
6,Jaden McDaniels,Minnesota Timberwolves,37:27,7,14,.500,1,6,.167,3,4,.750,2,3,5,3,4,2,2,3,18,+7,37:27,.571,.536,.429,.286,4.5,7.4,5.9,12.8,4.9,4.1,11.3,17.8,112,99
7,Jordan McLaughlin,Minnesota Timberwolves,16:09,2,6,.333,0,3,.000,1,2,.500,0,1,1,3,0,0,0,4,5,-4,16:09,.363,.333,.500,.333,0.0,5.8,2.7,27.0,0.0,0.0,0.0,16.0,97,112
8,Malik Beasley,Minnesota Timberwolves,13:44,0,5,.000,0,4,.000,0,0,0,0,1,1,0,0,0,0,1,0,-12,13:44,.000,.000,.800,.000,0.0,6.8,3.2,0.0,0.0,0.0,0.0,13.7,0,112
9,Naz Reid,Minnesota Timberwolves,11:19,3,4,.750,1,1,1.000,0,0,0,1,2,3,1,0,1,0,2,7,-2,11:19,.875,.875,.250,.000,7.4,16.4,11.7,16.2,0.0,6.8,0.0,13.3,176,104
10,Taurean Prince,Minnesota Timberwolves,10:12,0,2,.000,0,1,.000,0,0,0,0,2,2,1,0,1,1,0,0,-10,10:12,.000,.000,.500,.000,0.0,18.2,8.7,12.1,0.0,7.5,33.3,11.1,19,103
11,Jaylen Nowell,Minnesota Timberwolves,5:45,2,2,1.000,1,1,1.000,0,0,0,0,1,1,2,0,0,1,0,5,-1,5:45,1.250,1.250,.500,.000,0.0,16.2,7.7,75.0,0.0,0.0,33.3,19.6,155,109
12,Leandro Bolmaro,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nathan Knight,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Josh Okogie,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Minnesota Timberwolves,265,43,109,.394,13,55,.236,27,43,.628,17,41,58,29,10,8,13,26,126,0,265,.492,.454,.505,.394,27.0,71.9,48.3,67.4,8.6,11.6,9.2,100.0,108.2,103.0
