,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dennis Schröder,Houston Rockets,38:36,7,16,.438,2,7,.286,7,8,.875,1,5,6,9,1,1,6,5,23,+5,38:36,.589,.500,.438,.500,2.6,14.5,8.2,33.6,1.2,2.0,23.5,25.3,108,117
1,Eric Gordon,Houston Rockets,38:19,8,24,.333,3,14,.214,1,2,.500,0,2,2,2,0,1,2,3,20,-4,38:19,.402,.396,.583,.083,0.0,5.8,2.8,7.8,0.0,2.0,7.4,26.9,83,120
2,Jalen Green,Houston Rockets,35:15,5,12,.417,3,7,.429,4,5,.800,0,2,2,1,0,1,1,5,17,+11,35:15,.599,.542,.583,.417,0.0,6.3,3.0,3.9,0.0,2.2,6.6,16.5,120,120
3,Alperen Şengün,Houston Rockets,28:18,7,11,.636,3,4,.750,2,2,1.000,2,12,14,3,2,1,1,4,19,+11,28:18,.800,.773,.364,.182,7.1,47.3,26.1,16.9,3.2,2.7,7.8,17.4,156,107
4,Jae'Sean Tate,Houston Rockets,28:06,7,9,.778,0,1,.000,8,8,1.000,3,7,10,1,0,0,3,3,22,+9,28:06,.879,.778,.111,.889,10.7,27.8,18.8,5.7,0.0,0.0,19.3,21.2,147,119
6,Kenyon Martin Jr.,Houston Rockets,23:45,5,10,.500,0,1,.000,1,1,1.000,2,4,6,2,0,0,1,1,11,-15,23:45,.527,.500,.100,.100,8.4,18.8,13.3,12.7,0.0,0.0,8.7,18.4,113,121
7,Garrison Mathews,Houston Rockets,20:53,2,6,.333,2,6,.333,0,0,0,0,0,0,1,1,0,2,4,6,-14,20:53,.500,.500,1.000,.000,0.0,0.0,0.0,6.1,2.2,0.0,25.0,14.7,80,118
8,David Nwaba,Houston Rockets,15:43,0,1,.000,0,1,.000,1,2,.500,1,1,2,2,1,0,0,2,1,-11,15:43,.266,.000,1.000,2.000,6.4,7.1,6.7,14.5,2.9,0.0,0.0,4.6,120,116
9,Josh Christopher,Houston Rockets,11:05,1,8,.125,0,3,.000,0,0,0,4,3,7,2,0,1,0,0,2,-7,11:05,.125,.125,.375,.000,36.1,30.2,33.3,23.0,0.0,7.0,0.0,27.6,74,113
10,Usman Garuba,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
