,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ja Morant,Memphis Grizzlies,34:45,7,25,.280,0,4,.000,6,9,.667,3,5,8,4,2,1,3,1,20,-1,34:45,.345,.280,.160,.360,7.4,15.3,10.9,19.5,2.8,2.7,9.4,33.8,90,117
1,Jaren Jackson Jr.,Memphis Grizzlies,31:34,6,15,.400,0,2,.000,9,11,.818,5,6,11,1,2,3,1,3,21,-7,31:34,.529,.400,.133,.733,13.6,20.3,16.6,5.3,3.0,8.9,4.8,24.3,130,111
2,Desmond Bane,Memphis Grizzlies,29:27,5,15,.333,2,8,.250,2,2,1.000,1,2,3,0,1,0,2,5,14,-3,29:27,.441,.400,.533,.133,2.9,7.2,4.8,0.0,1.6,0.0,11.2,22.3,97,123
3,Steven Adams,Memphis Grizzlies,27:25,2,6,.333,0,0,0,2,4,.500,6,6,12,5,0,1,2,4,6,-7,27:25,.387,.333,.000,.667,18.8,23.3,20.8,25.4,0.0,3.4,20.5,13.1,105,120
4,Ziaire Williams,Memphis Grizzlies,27:06,7,11,.636,3,6,.500,4,4,1.000,3,1,4,1,1,0,2,4,21,-7,27:06,.823,.773,.545,.364,9.5,3.9,7.0,6.9,1.8,0.0,13.6,20.0,150,124
6,Brandon Clarke,Memphis Grizzlies,23:01,4,5,.800,0,0,0,2,6,.333,5,3,8,3,0,1,1,2,10,-2,23:01,.654,.800,.000,1.200,18.6,13.9,16.5,21.1,0.0,4.1,11.6,13.8,132,123
7,De'Anthony Melton,Memphis Grizzlies,21:41,3,9,.333,2,6,.333,4,4,1.000,0,5,5,6,1,0,1,1,12,0,21:41,.558,.444,.667,.444,0.0,24.6,11.0,42.4,2.2,0.0,8.5,19.9,140,117
8,John Konchar,Memphis Grizzlies,17:54,2,3,.667,1,2,.500,0,0,0,3,3,6,1,0,1,0,0,5,0,17:54,.833,.833,.667,.000,14.4,17.9,15.9,8.2,0.0,5.3,0.0,6.2,191,121
9,Kyle Anderson,Memphis Grizzlies,13:52,1,3,.333,0,0,0,0,0,0,0,2,2,1,0,0,3,1,2,+6,13:52,.333,.333,.000,.000,0.0,15.4,6.9,10.0,0.0,0.0,50.0,15.9,41,125
10,Tyus Jones,Memphis Grizzlies,13:15,1,6,.167,1,3,.333,0,0,0,0,0,0,3,2,0,0,0,3,-4,13:15,.250,.250,.500,.000,0.0,0.0,0.0,31.6,7.2,0.0,0.0,16.6,98,113
11,Jarrett Culver,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Xavier Tillman Sr.,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Killian Tillie,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Santi Aldama,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Memphis Grizzlies,240,38,98,.388,9,31,.290,29,40,.725,26,33,59,25,9,7,15,21,114,0,240,.493,.434,.316,.408,46.4,73.3,58.4,65.8,9.0,13.7,11.5,100.0,114.0,119.0
0,D'Angelo Russell,Minnesota Timberwolves,38:19,13,21,.619,3,8,.375,8,9,.889,0,2,2,9,1,0,4,2,37,+7,38:19,.741,.690,.381,.429,0.0,4.5,2.5,42.2,1.3,0.0,13.8,31.3,139,120
1,Anthony Edwards,Minnesota Timberwolves,31:39,1,11,.091,0,6,.000,3,6,.500,1,3,4,7,0,2,3,0,5,+5,31:39,.183,.091,.545,.545,3.4,8.1,6.0,25.6,0.0,4.5,18.0,21.8,64,119
2,Patrick Beverley,Minnesota Timberwolves,28:24,4,12,.333,4,7,.571,1,2,.500,2,1,3,4,2,0,2,2,13,0,28:24,.505,.500,.583,.167,7.5,3.0,5.0,18.7,3.4,0.0,13.4,21.7,107,116
