,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Terance Mann,Los Angeles Clippers,36:12,9,17,.529,1,2,.500,0,0,0,1,9,10,4,3,0,0,1,19,+9,36:12,.559,.559,.118,.000,3.2,22.5,14.1,18.2,4.0,0.0,0.0,21.2,121,97
1,Reggie Jackson,Los Angeles Clippers,32:39,5,12,.417,1,2,.500,6,6,1.000,2,2,4,6,0,0,5,0,17,-7,32:39,.581,.458,.167,.500,7.2,5.5,6.3,26.2,0.0,0.0,25.5,27.1,103,112
2,Marcus Morris,Los Angeles Clippers,29:00,5,10,.500,0,3,.000,0,0,0,0,3,3,1,1,1,2,2,10,-6,29:00,.500,.500,.300,.000,0.0,9.4,5.3,5.1,1.7,2.7,16.7,18.7,82,105
3,Nicolas Batum,Los Angeles Clippers,18:36,0,4,.000,0,4,.000,0,0,0,0,2,2,2,0,2,0,3,0,-4,18:36,.000,.000,1.000,.000,0.0,9.7,5.5,12.6,0.0,8.3,0.0,9.7,32,105
4,Ivica Zubac,Los Angeles Clippers,18:00,3,7,.429,0,0,0,0,0,0,1,6,7,0,0,0,4,4,6,+3,18:00,.429,.429,.000,.000,6.5,30.2,19.9,0.0,0.0,0.0,36.4,27.6,56,103
6,Luke Kennard,Los Angeles Clippers,34:16,6,9,.667,5,8,.625,1,1,1.000,0,6,6,2,1,0,2,2,18,+7,34:16,.953,.944,.889,.111,0.0,15.9,8.9,8.6,1.4,0.0,17.5,15.1,142,105
7,Isaiah Hartenstein,Los Angeles Clippers,28:05,4,8,.500,0,1,.000,3,8,.375,2,5,7,6,0,2,1,2,11,-6,28:05,.477,.500,.125,1.000,8.3,16.1,12.7,30.0,0.0,5.5,8.0,20.1,113,104
8,Amir Coffey,Los Angeles Clippers,23:07,5,9,.556,1,3,.333,3,4,.750,0,1,1,2,1,0,1,2,14,0,23:07,.651,.611,.333,.444,0.0,3.9,2.2,13.6,2.1,0.0,8.5,23.0,122,108
9,Robert Covington,Los Angeles Clippers,20:05,4,7,.571,2,3,.667,0,0,0,1,6,7,2,2,3,0,3,10,+19,20:05,.714,.714,.429,.000,5.8,27.1,17.8,15.2,4.8,11.6,0.0,15.7,148,86
10,Rodney Hood,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brandon Boston Jr.,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Semi Ojeleye,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Clippers,240,41,83,.494,10,26,.385,13,19,.684,7,40,47,25,8,8,15,19,105,0,240,.575,.554,.313,.229,17.1,75.5,50.0,61.0,8.1,12.9,14.1,100.0,106.5,103.5
0,LeBron James,Los Angeles Lakers,35:41,6,18,.333,2,8,.250,7,8,.875,1,10,11,3,1,1,6,1,21,-4,35:41,.488,.389,.444,.444,2.5,32.8,15.7,13.0,1.4,2.4,21.8,32.4,85,105
1,Russell Westbrook,Los Angeles Lakers,32:48,9,21,.429,0,3,.000,0,2,.000,0,3,3,1,1,0,0,3,18,+2,32:48,.411,.429,.143,.095,0.0,10.7,4.7,5.7,1.5,0.0,0.0,28.0,88,110
2,Austin Reaves,Los Angeles Lakers,32:39,2,4,.500,0,2,.000,2,2,1.000,1,0,1,3,0,2,1,4,6,-2,32:39,.615,.500,.500,.500,2.8,0.0,1.6,12.2,0.0,5.2,17.0,7.6,124,110
3,Dwight Howard,Los Angeles Lakers,26:14,5,11,.455,0,0,0,4,5,.800,7,9,16,1,1,3,1,2,14,+1,26:14,.530,.455,.000,.455,24.2,40.2,31.1,6.1,1.9,9.6,7.0,22.7,123,96
4,Trevor Ariza,Los Angeles Lakers,18:28,1,5,.200,0,3,.000,0,0,0,0,4,4,0,1,0,1,0,2,-1,18:28,.200,.200,.600,.000,0.0,25.4,11.1,0.0,2.6,0.0,16.7,13.7,36,105
6,Carmelo Anthony,Los Angeles Lakers,28:23,7,14,.500,4,9,.444,0,0,0,2,3,5,1,2,1,1,3,18,-3,28:23,.643,.643,.643,.000,6.4,12.4,9.0,6.2,3.4,3.0,6.7,22.2,125,103
7,Talen Horton-Tucker,Los Angeles Lakers,27:18,6,9,.667,2,2,1.000,2,3,.667,1,2,3,1,2,0,2,2,16,-13,27:18,.775,.778,.222,.333,3.3,8.6,5.6,6.2,3.6,0.0,16.2,19.0,129,106
8,Malik Monk,Los Angeles Lakers,24:49,3,9,.333,0,4,.000,1,1,1.000,1,1,2,6,0,0,0,2,7,+7,24:49,.371,.333,.444,.111,3.6,4.7,4.1,35.0,0.0,0.0,0.0,16.0,108,114
9,Stanley Johnson,Los Angeles Lakers,13:40,0,2,.000,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-2,13:40,.000,.000,.000,.000,0.0,17.1,7.5,18.0,0.0,0.0,0.0,6.1,50,113
10,Wayne Ellington,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kent Bazemore,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,DeAndre Jordan,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Lakers,240,39,93,.419,8,31,.258,16,21,.762,13,34,47,18,8,7,12,17,102,0,240,.499,.462,.333,.226,24.5,82.9,50.0,46.2,8.1,12.3,10.5,100.0,103.5,106.5
