,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ McCollum,New Orleans Pelicans,34:58,11,18,.611,2,6,.333,8,11,.727,1,5,6,4,1,0,2,2,32,+10,34:58,.701,.667,.333,.611,3.0,15.6,9.2,24.0,1.4,0.0,8.1,29.6,140,109
1,Brandon Ingram,New Orleans Pelicans,33:35,9,17,.529,0,2,.000,10,11,.909,0,5,5,7,0,0,1,1,28,+12,33:35,.641,.529,.118,.647,0.0,16.2,7.9,39.8,0.0,0.0,4.4,28.4,144,112
2,Jonas Valančiūnas,New Orleans Pelicans,32:40,7,16,.438,0,3,.000,4,6,.667,4,13,17,0,1,0,2,1,18,+4,32:40,.483,.438,.188,.375,12.8,43.4,27.8,0.0,1.5,0.0,9.7,26.4,104,103
3,Herbert Jones,New Orleans Pelicans,31:57,0,9,.000,0,2,.000,2,2,1.000,3,2,5,1,3,1,1,4,2,+4,31:57,.101,.000,.222,.222,9.8,6.8,8.3,4.0,4.7,3.6,9.2,14.2,51,100
4,Jaxson Hayes,New Orleans Pelicans,17:16,3,5,.600,1,1,1.000,2,2,1.000,3,3,6,1,0,2,1,4,9,+13,17:16,.765,.700,.200,.400,18.1,19.0,18.5,9.4,0.0,13.2,14.5,16.6,148,102
6,Devonte' Graham,New Orleans Pelicans,25:50,2,6,.333,2,6,.333,5,5,1.000,0,1,1,2,0,0,1,0,11,+6,25:50,.671,.500,1.000,.833,0.0,4.2,2.1,10.8,0.0,0.0,10.9,14.9,139,114
7,Tony Snell,New Orleans Pelicans,25:22,3,5,.600,3,5,.600,0,0,0,1,6,7,1,0,0,0,2,9,+14,25:22,.900,.900,1.000,.000,4.1,25.8,14.7,5.9,0.0,0.0,0.0,8.2,189,110
8,Naji Marshall,New Orleans Pelicans,16:15,2,6,.333,0,3,.000,1,2,.500,1,0,1,2,4,0,1,1,5,-7,16:15,.363,.333,.500,.333,6.4,0.0,3.3,18.4,12.2,0.0,12.7,20.2,88,87
9,Jose Alvarado,New Orleans Pelicans,11:16,0,2,.000,0,1,.000,0,0,0,1,0,1,2,1,0,1,2,0,+15,11:16,.000,.000,.500,.000,9.3,0.0,4.7,22.4,4.4,0.0,33.3,11.1,55,105
10,Willy Hernangómez,New Orleans Pelicans,7:09,1,2,.500,0,0,0,1,2,.500,2,1,3,0,0,1,0,1,3,+4,7:09,.521,.500,.000,1.000,29.2,15.3,22.4,0.0,0.0,16.0,0.0,16.8,137,101
11,Gary Clark,New Orleans Pelicans,1:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:51,0,0,0,0,0.0,0.0,0.0,68.3,0.0,0.0,0,0.0,221,115
12,Trey Murphy III,New Orleans Pelicans,1:51,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1:51,.000,.000,.000,.000,0.0,59.0,28.8,0.0,0.0,0.0,0.0,22.6,0,103
13,Garrett Temple,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New Orleans Pelicans,240,38,87,.437,8,29,.276,33,41,.805,16,37,53,21,10,4,10,18,117,0,240,.557,.483,.333,.471,34.8,84.1,58.9,55.3,10.4,9.5,8.7,100.0,121.3,105.7
0,Mikal Bridges,Phoenix Suns,38:39,3,7,.429,1,4,.250,1,2,.500,1,5,6,6,0,0,1,3,8,-4,38:39,.508,.500,.571,.286,2.8,13.5,8.3,23.1,0.0,0.0,11.3,10.3,116,126
1,Devin Booker,Phoenix Suns,36:59,10,24,.417,2,8,.250,8,8,1.000,0,3,3,5,1,2,4,3,30,-21,36:59,.545,.458,.333,.333,0.0,8.5,4.3,28.2,1.3,4.5,12.7,38.4,102,123
2,Deandre Ayton,Phoenix Suns,31:45,9,12,.750,1,1,1.000,1,2,.500,1,4,5,1,1,3,2,4,20,-4,31:45,.776,.792,.083,.167,3.4,13.1,8.4,6.8,1.6,7.8,13.4,21.1,125,118
3,Jae Crowder,Phoenix Suns,29:51,4,6,.667,2,4,.500,2,4,.500,0,5,5,3,1,0,0,4,12,+3,29:51,.773,.833,.667,.667,0.0,17.5,8.9,16.3,1.7,0.0,0.0,11.7,157,120
4,Cameron Johnson,Phoenix Suns,28:56,4,11,.364,3,10,.300,4,4,1.000,1,0,1,1,1,1,1,3,15,-12,28:56,.588,.500,.909,.364,3.8,0.0,1.8,5.6,1.7,2.9,7.3,21.4,114,126
6,Torrey Craig,Phoenix Suns,24:34,0,6,.000,0,3,.000,2,4,.500,3,8,11,2,2,2,3,3,2,-10,24:34,.129,.000,.500,.667,13.3,34.0,23.9,10.9,4.1,6.7,27.9,19.7,49,105
7,Landry Shamet,Phoenix Suns,16:36,3,9,.333,2,7,.286,0,0,0,0,3,3,1,0,0,1,3,8,-8,16:36,.444,.444,.778,.000,0.0,18.9,9.6,10.6,0.0,0.0,10.0,27.1,80,123
8,Elfrid Payton,Phoenix Suns,13:46,1,4,.250,0,2,.000,0,0,0,0,0,0,3,0,0,1,1,2,-8,13:46,.250,.250,.500,.000,0.0,0.0,0.0,32.2,0.0,0.0,20.0,16.4,69,132
9,JaVale McGee,Phoenix Suns,10:32,1,2,.500,0,0,0,0,0,0,1,1,2,1,0,0,1,2,2,-12,10:32,.500,.500,.000,.000,10.4,9.9,10.1,14.5,0.0,0.0,33.3,12.8,92,127
10,Ish Wainright,Phoenix Suns,5:43,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,1,3,+1,5:43,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,300,131
11,Bismack Biyombo,Phoenix Suns,2:39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2:39,0,0,0,0,0.0,39.4,20.1,0.0,0.0,0.0,0,0.0,0,115
12,Team Totals,Phoenix Suns,240,36,82,.439,12,40,.300,18,24,.750,7,30,37,23,6,8,14,27,102,0,240,.551,.512,.488,.293,15.9,65.2,41.1,63.9,6.2,13.8,13.1,100.0,105.7,121.3
