,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,De'Aaron Fox,Sacramento Kings,37:06,9,18,.500,1,6,.167,6,9,.667,0,2,2,3,0,0,2,3,25,-23,37:06,.569,.528,.333,.500,0.0,7.8,2.9,16.6,0.0,0.0,8.3,27.9,109,133
1,Domantas Sabonis,Sacramento Kings,33:03,6,16,.375,0,2,.000,3,3,1.000,7,7,14,7,1,0,3,2,15,-20,33:03,.433,.375,.125,.188,18.5,30.8,23.1,38.7,1.5,0.0,14.8,26.6,101,127
2,Harrison Barnes,Sacramento Kings,30:35,6,11,.545,3,6,.500,4,5,.800,1,3,4,1,1,0,1,1,19,-12,30:35,.720,.682,.545,.455,2.9,14.3,7.1,6.1,1.6,0.0,7.0,20.1,135,129
3,Justin Holiday,Sacramento Kings,23:56,1,4,.250,1,3,.333,2,2,1.000,0,3,3,0,1,1,1,3,5,-5,23:56,.512,.375,.750,.500,0.0,18.2,6.8,0.0,2.0,3.4,17.0,10.6,88,124
4,Trey Lyles,Sacramento Kings,19:54,1,5,.200,1,3,.333,1,2,.500,1,3,4,0,0,1,1,0,4,-12,19:54,.340,.300,.600,.400,4.4,21.9,11.0,0.0,0.0,4.1,14.5,15.0,68,128
6,Jeremy Lamb,Sacramento Kings,26:15,5,10,.500,1,4,.250,1,2,.500,1,2,3,1,1,0,0,3,12,-13,26:15,.551,.550,.400,.200,3.3,11.1,6.2,7.1,1.9,0.0,0.0,17.9,116,128
7,Donte DiVincenzo,Sacramento Kings,24:47,3,9,.333,1,5,.200,0,0,0,2,3,5,4,4,0,1,3,7,-15,24:47,.389,.389,.556,.000,7.0,17.6,11.0,26.5,7.9,0.0,10.0,17.4,94,114
8,Davion Mitchell,Sacramento Kings,22:36,2,9,.222,0,4,.000,0,0,0,0,1,1,4,0,0,1,0,4,-19,22:36,.222,.222,.444,.000,0.0,6.4,2.4,27.6,0.0,0.0,10.0,19.1,60,133
9,Damian Jones,Sacramento Kings,14:04,2,4,.500,0,1,.000,0,2,.000,0,1,1,0,1,2,1,3,4,-13,14:04,.410,.500,.250,.500,0.0,10.3,3.9,0.0,3.5,11.6,17.0,18.1,63,115
10,Josh Jackson,Sacramento Kings,3:52,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,3:52,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0,134
11,Chimezie Metu,Sacramento Kings,3:52,0,2,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,0,-9,3:52,.000,.000,.500,.000,0.0,37.6,14.1,0.0,0.0,0.0,0.0,22.4,0,129
12,Alex Len,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Maurice Harkless,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,35,89,.393,8,35,.229,17,25,.680,12,26,38,20,9,4,11,19,95,0,240,.475,.438,.393,.281,21.8,78.8,43.2,57.1,9.1,6.8,9.9,100.0,96.4,126.9
