,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ Elleby,Portland Trail Blazers,34:51,2,6,.333,0,3,.000,6,8,.750,1,3,4,1,1,1,6,4,10,-33,34:51,.525,.333,.500,1.333,3.1,11.2,6.8,5.1,1.4,3.1,38.7,20.0,70,122
1,Anfernee Simons,Portland Trail Blazers,28:15,4,10,.400,3,4,.750,0,0,0,0,0,0,6,1,0,4,3,11,-31,28:15,.550,.550,.400,.000,0.0,0.0,0.0,43.9,1.7,0.0,28.6,22.2,86,125
2,Josh Hart,Portland Trail Blazers,23:16,2,9,.222,1,5,.200,5,7,.714,0,4,4,4,2,0,3,2,10,-12,23:16,.414,.278,.556,.778,0.0,22.3,10.2,31.9,4.2,0.0,19.9,29.1,78,116
3,Elijah Hughes,Portland Trail Blazers,22:32,1,8,.125,1,6,.167,0,0,0,0,0,0,0,0,0,1,1,3,-18,22:32,.188,.188,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,11.1,17.9,33,129
4,Drew Eubanks,Portland Trail Blazers,17:52,5,6,.833,0,0,0,3,4,.750,2,6,8,0,1,0,2,1,13,-16,17:52,.838,.833,.000,.667,12.2,43.6,26.5,0.0,2.7,0.0,20.5,24.5,127,116
6,Trendon Watford,Portland Trail Blazers,30:08,5,12,.417,2,2,1.000,1,2,.500,0,7,7,6,0,1,0,5,13,-14,30:08,.505,.500,.167,.167,0.0,30.1,13.8,43.4,0.0,3.6,0.0,19.2,112,122
7,Keon Johnson,Portland Trail Blazers,19:45,0,6,.000,0,2,.000,0,0,0,0,0,0,2,0,0,0,0,0,+1,19:45,.000,.000,.333,.000,0.0,0.0,0.0,16.2,0.0,0.0,0.0,13.6,20,129
8,Greg Brown III,Portland Trail Blazers,19:14,1,3,.333,0,0,0,1,1,1.000,0,6,6,1,2,0,1,4,3,+1,19:14,.436,.333,.000,.333,0.0,40.5,18.5,9.1,5.0,0.0,22.5,10.4,75,111
9,Ben McLemore,Portland Trail Blazers,17:16,3,7,.429,2,6,.333,0,0,0,0,2,2,1,2,0,0,2,8,-20,17:16,.571,.571,.857,.000,0.0,15.0,6.9,12.8,5.6,0.0,0.0,18.2,107,114
10,Brandon Williams,Portland Trail Blazers,14:51,5,8,.625,1,1,1.000,3,3,1.000,1,2,3,1,0,0,1,1,14,-1,14:51,.751,.688,.125,.375,7.3,17.5,12.0,23.4,0.0,0.0,9.7,31.2,131,126
11,Keljin Blevins,Portland Trail Blazers,12:00,2,3,.667,1,2,.500,0,0,0,1,0,1,0,1,0,0,0,5,-7,12:00,.833,.833,.667,.000,9.1,0.0,4.9,0.0,4.0,0.0,0.0,11.2,153,120
12,Team Totals,Portland Trail Blazers,240,30,78,.385,11,31,.355,19,25,.760,5,30,35,22,10,2,18,23,90,0,240,.506,.455,.397,.321,11.4,81.1,43.2,73.3,10.1,4.5,16.8,100.0,90.7,120.9
0,Mikal Bridges,Phoenix Suns,28:57,6,9,.667,2,5,.400,1,1,1.000,0,0,0,2,2,0,0,2,15,+28,28:57,.794,.778,.556,.111,0.0,0.0,0.0,11.0,3.3,0.0,0.0,14.5,155,95
1,Deandre Ayton,Phoenix Suns,25:42,9,12,.750,0,0,0,0,0,0,2,6,8,1,1,0,1,1,18,+23,25:42,.750,.750,.000,.000,10.1,25.5,18.4,8.1,1.9,0.0,7.7,22.6,136,94
2,Jae Crowder,Phoenix Suns,24:55,3,6,.500,2,4,.500,7,9,.778,0,5,5,4,5,0,1,3,15,+20,24:55,.753,.667,.667,1.500,0.0,21.9,11.9,22.5,9.7,0.0,9.1,19.6,148,76
