,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Mikal Bridges,Phoenix Suns,42:17,6,14,.429,2,5,.400,0,0,0,0,0,0,6,1,0,1,3,14,-11,42:17,.500,.500,.357,.000,0.0,0.0,0.0,15.8,1.2,0.0,6.7,15.6,107,141
1,Cameron Payne,Phoenix Suns,35:45,9,19,.474,3,7,.429,2,2,1.000,1,1,2,8,0,1,3,2,23,-17,35:45,.578,.553,.368,.105,3.4,3.8,3.6,28.3,0.0,2.4,13.1,28.2,113,141
2,Jae Crowder,Phoenix Suns,34:38,7,12,.583,4,8,.500,1,1,1.000,1,4,5,7,0,0,1,3,19,-7,34:38,.764,.750,.667,.083,3.5,15.8,9.2,24.1,0.0,0.0,7.4,17.1,149,139
3,Landry Shamet,Phoenix Suns,34:11,5,12,.417,3,6,.500,4,6,.667,0,1,1,5,1,1,0,4,17,-4,34:11,.581,.542,.500,.500,0.0,4.0,1.9,16.3,1.4,2.6,0.0,18.9,128,137
4,Deandre Ayton,Phoenix Suns,32:35,14,19,.737,1,1,1.000,1,2,.500,1,7,8,2,1,0,2,2,30,-11,32:35,.755,.763,.053,.105,3.7,29.5,15.7,10.0,1.5,0.0,9.1,29.6,130,131
6,Torrey Craig,Phoenix Suns,20:58,2,5,.400,1,4,.250,0,0,0,0,4,4,1,1,1,2,3,5,+1,20:58,.500,.500,.800,.000,0.0,26.2,12.2,5.0,2.3,4.2,28.6,14.7,72,128
7,Aaron Holiday,Phoenix Suns,17:47,4,7,.571,0,0,0,0,0,0,1,2,3,4,2,0,1,1,8,-3,17:47,.571,.571,.000,.000,6.7,15.4,10.8,27.5,5.5,0.0,12.5,19.8,121,126
8,Bismack Biyombo,Phoenix Suns,12:59,0,0,0,0,0,0,0,0,0,1,2,3,0,2,1,1,2,0,-3,12:59,0,0,0,0,9.2,21.1,14.8,0.0,7.5,6.7,100.0,3.4,67,116
9,JaVale McGee,Phoenix Suns,8:50,3,5,.600,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,+5,8:50,.600,.600,.000,.000,13.6,0.0,7.2,0.0,0.0,0.0,0.0,25.0,122,144
10,Ish Wainright,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
