,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Khris Middleton,Milwaukee Bucks,35:18,6,19,.316,4,9,.444,2,2,1.000,2,2,4,6,3,0,1,3,18,-13,35:18,.453,.421,.474,.105,5.3,6.3,5.8,27.3,4.3,0.0,4.8,26.8,103,125
1,Giannis Antetokounmpo,Milwaukee Bucks,34:01,9,17,.529,1,4,.250,12,18,.667,1,7,8,3,0,1,1,2,31,-26,34:01,.622,.559,.235,1.059,2.8,23.0,12.0,16.7,0.0,2.9,3.9,34.5,126,129
2,Jrue Holiday,Milwaukee Bucks,33:18,5,11,.455,2,5,.400,1,2,.500,0,1,1,7,2,0,2,1,13,-16,33:18,.547,.545,.455,.182,0.0,3.4,1.5,32.8,3.0,0.0,14.4,18.9,108,129
3,Grayson Allen,Milwaukee Bucks,28:19,4,11,.364,4,9,.444,0,0,0,0,3,3,3,0,0,0,2,12,-16,28:19,.545,.545,.818,.000,0.0,11.8,5.4,16.3,0.0,0.0,0.0,17.6,113,134
4,Bobby Portis,Milwaukee Bucks,21:44,2,10,.200,0,4,.000,0,0,0,2,4,6,3,1,0,0,2,4,-17,21:44,.200,.200,.400,.000,8.7,20.5,14.1,19.7,2.3,0.0,0.0,20.8,72,125
6,Jevon Carter,Milwaukee Bucks,25:30,3,4,.750,3,4,.750,0,0,0,0,2,2,3,1,1,0,0,9,+4,25:30,1.125,1.125,1.000,.000,0.0,8.8,4.0,17.5,2.0,3.9,0.0,7.1,210,128
7,Wesley Matthews,Milwaukee Bucks,23:19,0,5,.000,0,4,.000,0,0,0,1,2,3,1,0,0,0,1,0,-3,23:19,.000,.000,.800,.000,4.0,9.6,6.6,5.4,0.0,0.0,0.0,9.7,30,135
8,Serge Ibaka,Milwaukee Bucks,17:14,6,9,.667,2,3,.667,1,1,1.000,1,5,6,0,0,0,0,3,15,+2,17:14,.794,.778,.333,.111,5.5,32.4,17.8,0.0,0.0,0.0,0.0,24.8,149,127
9,Jordan Nwora,Milwaukee Bucks,10:30,0,2,.000,0,1,.000,0,0,0,0,3,3,1,0,0,0,0,0,+6,10:30,.000,.000,.500,.000,0.0,31.9,14.6,12.0,0.0,0.0,0.0,8.6,31,127
10,DeAndre' Bembry,Milwaukee Bucks,3:55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3:55,0,0,0,0,0.0,0.0,0.0,0.0,12.8,0.0,0,0.0,0,107
11,Thanasis Antetokounmpo,Milwaukee Bucks,3:26,2,3,.667,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4,+7,3:26,.667,.667,.000,.000,27.4,32.5,29.7,0.0,0.0,0.0,0.0,39.5,137,127
12,Sandro Mamukelashvili,Milwaukee Bucks,3:26,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,0,1,3,+7,3:26,1.500,1.500,1.000,.000,0.0,32.5,14.9,0.0,0.0,0.0,0.0,13.2,300,127
13,Team Totals,Milwaukee Bucks,240,38,92,.413,17,44,.386,16,23,.696,8,31,39,27,8,2,4,16,109,0,240,.534,.505,.478,.250,15.7,72.1,41.5,71.1,8.4,4.2,3.8,100.0,114.3,127.9
0,Andrew Wiggins,Golden State Warriors,35:53,8,16,.500,3,8,.375,2,2,1.000,4,3,7,4,0,2,1,2,21,+14,35:53,.622,.594,.500,.125,12.4,7.9,10.0,15.6,0.0,5.6,5.6,21.8,137,116
1,Jordan Poole,Golden State Warriors,35:13,9,16,.563,5,10,.500,7,7,1.000,0,6,6,5,1,0,1,2,30,+26,35:13,.786,.719,.625,.438,0.0,16.0,8.7,20.8,1.4,0.0,5.0,25.0,158,115
2,Klay Thompson,Golden State Warriors,33:51,15,24,.625,8,14,.571,0,0,0,0,6,6,5,1,1,2,2,38,+27,33:51,.792,.792,.583,.000,0.0,16.7,9.1,29.9,1.5,3.0,7.7,33.6,141,112
3,Stephen Curry,Golden State Warriors,33:09,3,7,.429,2,4,.500,0,0,0,1,4,5,8,1,1,4,1,8,+14,33:09,.571,.571,.571,.000,3.4,11.4,7.7,28.5,1.5,3.0,36.4,14.5,104,114
4,Kevon Looney,Golden State Warriors,22:55,1,2,.500,0,0,0,0,0,0,0,9,9,4,0,2,1,5,2,+18,22:55,.500,.500,.000,.000,0.0,37.0,20.1,19.5,0.0,8.7,33.3,5.7,117,105
6,Jonathan Kuminga,Golden State Warriors,28:08,6,16,.375,0,3,.000,2,2,1.000,5,6,11,1,0,1,1,3,14,+4,28:08,.415,.375,.188,.125,19.8,20.1,20.0,4.9,0.0,3.6,5.6,27.8,103,114
7,Nemanja Bjelica,Golden State Warriors,21:34,2,5,.400,0,1,.000,2,2,1.000,1,4,5,5,0,0,0,4,6,+2,21:34,.510,.400,.200,.400,5.2,17.5,11.8,27.4,0.0,0.0,0.0,11.9,149,117
8,Moses Moody,Golden State Warriors,17:59,0,3,.000,0,3,.000,0,0,0,1,4,5,0,0,0,0,0,0,-14,17:59,.000,.000,1.000,.000,6.2,20.9,14.2,0.0,0.0,0.0,0.0,7.3,32,117
9,Juan Toscano-Anderson,Golden State Warriors,2:57,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-7,2:57,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,123
10,Chris Chiozza,Golden State Warriors,2:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,2:57,.000,.000,.000,.000,0.0,0.0,0.0,36.2,0.0,0.0,0.0,14.8,67,123
11,Damion Lee,Golden State Warriors,2:57,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,2:57,.266,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,63,123
12,Quinndary Weatherspoon,Golden State Warriors,2:27,1,2,.500,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,2,-5,2:27,.500,.500,.500,.000,0.0,38.4,20.8,0.0,0.0,0.0,0.0,35.8,100,113
13,Team Totals,Golden State Warriors,240,45,93,.484,18,45,.400,14,15,.933,12,43,55,33,3,7,10,19,122,0,240,.612,.581,.484,.161,27.9,84.3,58.5,73.3,3.1,14.6,9.1,100.0,127.9,114.3
