,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tyrese Haliburton,Indiana Pacers,37:17,8,17,.471,3,5,.600,0,0,0,0,2,2,10,3,0,4,0,19,+2,37:17,.559,.559,.294,.000,0.0,4.9,2.6,37.1,3.9,0.0,19.0,24.4,108,109
1,Buddy Hield,Indiana Pacers,35:35,7,18,.389,3,12,.250,0,0,0,0,5,5,6,1,0,3,2,17,+25,35:35,.472,.472,.667,.000,0.0,12.7,6.8,22.8,1.3,0.0,14.3,25.6,94,111
2,Chris Duarte,Indiana Pacers,33:39,5,9,.556,3,5,.600,2,2,1.000,1,7,8,1,0,0,1,3,15,+7,33:39,.759,.722,.556,.222,3.1,18.8,11.5,3.8,0.0,0.0,9.2,14.0,140,111
3,Oshae Brissett,Indiana Pacers,27:16,3,4,.750,1,1,1.000,2,2,1.000,1,6,7,0,1,0,0,1,9,+10,27:16,.922,.875,.250,.500,3.8,19.9,12.4,0.0,1.8,0.0,0.0,7.8,190,107
4,Isaiah Jackson,Indiana Pacers,24:05,5,11,.455,0,1,.000,5,5,1.000,1,4,5,0,1,2,2,3,15,+16,24:05,.568,.455,.091,.455,4.3,15.0,10.1,0.0,2.0,5.9,13.2,27.4,104,104
6,Jalen Smith,Indiana Pacers,24:10,3,9,.333,0,3,.000,0,0,0,2,9,11,1,0,4,1,2,6,0,24:10,.333,.333,.333,.000,8.6,33.7,22.1,5.1,0.0,11.7,10.0,18.0,80,97
7,Duane Washington Jr.,Indiana Pacers,20:57,7,9,.778,3,4,.750,2,2,1.000,0,2,2,0,0,0,1,4,19,-9,20:57,.962,.944,.444,.222,0.0,8.6,4.6,0.0,0.0,0.0,9.2,22.5,162,115
8,Goga Bitadze,Indiana Pacers,20:29,4,9,.444,0,3,.000,2,2,1.000,4,3,7,2,0,4,0,3,10,-4,20:29,.506,.444,.333,.222,20.4,13.3,16.6,13.2,0.0,13.8,0.0,20.9,131,104
9,Keifer Sykes,Indiana Pacers,16:31,3,6,.500,1,2,.500,2,2,1.000,0,0,0,3,0,0,0,2,9,+8,16:31,.654,.583,.333,.333,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.1,148,119
10,Terry Taylor,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
