,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Reggie Jackson,Los Angeles Clippers,39:38,6,16,.375,3,7,.429,0,0,0,1,7,8,9,2,1,1,4,15,+11,39:38,.469,.469,.438,.000,2.6,19.7,10.8,33.3,2.7,2.4,5.9,19.8,112,108
1,Amir Coffey,Los Angeles Clippers,35:35,3,11,.273,0,6,.000,2,2,1.000,0,2,2,4,0,0,1,2,8,-8,35:35,.337,.273,.545,.182,0.0,6.3,3.0,15.0,0.0,0.0,7.8,16.7,81,120
2,Marcus Morris,Los Angeles Clippers,35:29,10,19,.526,3,5,.600,8,8,1.000,1,6,7,2,0,0,2,3,31,+8,35:29,.688,.605,.263,.421,2.9,18.9,10.5,10.2,0.0,0.0,8.2,32.0,131,116
3,Ivica Zubac,Los Angeles Clippers,30:20,6,11,.545,0,0,0,2,4,.500,4,11,15,1,1,1,2,2,14,+10,30:20,.549,.545,.000,.364,13.5,40.5,26.4,5.2,1.8,3.1,13.6,22.5,108,105
4,Nicolas Batum,Los Angeles Clippers,25:52,1,6,.167,0,5,.000,0,0,0,1,2,3,3,1,0,0,0,2,+11,25:52,.167,.167,.833,.000,3.9,8.6,6.2,14.6,2.1,0.0,0.0,10.7,73,114
6,Luke Kennard,Los Angeles Clippers,25:27,6,13,.462,4,7,.571,0,0,0,1,2,3,2,0,0,0,0,16,+6,25:27,.615,.615,.538,.000,4.0,8.8,6.3,13.2,0.0,0.0,0.0,23.6,128,119
7,Terance Mann,Los Angeles Clippers,23:17,2,3,.667,0,0,0,2,2,1.000,1,3,4,2,1,0,0,3,6,-8,23:17,.773,.667,.000,.667,4.4,14.4,9.2,11.5,2.3,0.0,0.0,7.7,175,112
8,Isaiah Hartenstein,Los Angeles Clippers,17:04,5,7,.714,0,0,0,2,4,.500,2,2,4,2,0,0,0,0,12,-4,17:04,.685,.714,.000,.571,12.0,13.1,12.5,21.7,0.0,0.0,0.0,23.7,149,118
9,Brandon Boston Jr.,Los Angeles Clippers,7:18,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,-6,7:18,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,12.9,0.0,19.0,70,110
10,Semi Ojeleye,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rodney Hood,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
