,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Karl-Anthony Towns,Minnesota Timberwolves,36:11,19,31,.613,7,11,.636,15,16,.938,2,15,17,3,1,0,6,5,60,+16,36:11,.789,.726,.355,.516,7.8,47.4,29.7,14.9,1.2,0.0,13.6,49.1,138,121
1,Jaden McDaniels,Minnesota Timberwolves,32:28,4,7,.571,1,3,.333,2,2,1.000,0,4,4,1,1,1,1,1,11,-2,32:28,.698,.643,.429,.286,0.0,14.1,7.8,3.2,1.3,2.4,11.3,11.0,128,125
2,Anthony Edwards,Minnesota Timberwolves,30:21,2,7,.286,1,2,.500,0,0,0,2,1,3,3,1,1,2,2,5,+4,30:21,.357,.357,.286,.000,9.3,3.8,6.2,9.7,1.4,2.6,22.2,12.0,91,126
3,Patrick Beverley,Minnesota Timberwolves,30:20,5,8,.625,3,4,.750,7,8,.875,1,3,4,8,1,1,1,3,20,+2,30:20,.868,.813,.500,1.000,4.7,11.3,8.3,28.7,1.4,2.6,8.0,16.6,179,125
4,D'Angelo Russell,Minnesota Timberwolves,29:09,8,12,.667,3,5,.600,0,0,0,1,1,2,6,3,0,1,1,19,+15,29:09,.792,.792,.417,.000,4.8,3.9,4.3,25.4,4.5,0.0,7.7,18.0,159,121
6,Taurean Prince,Minnesota Timberwolves,27:36,5,9,.556,2,6,.333,1,2,.500,0,4,4,4,1,0,0,5,13,+2,27:36,.658,.667,.667,.222,0.0,16.6,9.2,16.1,1.6,0.0,0.0,14.4,147,126
7,Jaylen Nowell,Minnesota Timberwolves,25:30,6,8,.750,0,1,.000,3,4,.750,1,5,6,3,0,0,3,2,15,+12,25:30,.768,.750,.125,.500,5.5,22.4,14.9,13.9,0.0,0.0,23.5,20.2,127,128
8,Malik Beasley,Minnesota Timberwolves,19:24,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,+8,19:24,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,132
9,Nathan Knight,Minnesota Timberwolves,8:18,3,7,.429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,-7,8:18,.429,.429,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,38.9,73,132
10,Josh Okogie,Minnesota Timberwolves,0:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,132
11,Leandro Bolmaro,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jordan McLaughlin,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Minnesota Timberwolves,240,52,90,.578,17,33,.515,28,32,.875,7,33,40,28,8,3,15,20,149,0,240,.716,.672,.367,.356,20.6,78.6,52.6,53.8,7.2,4.8,12.6,100.0,134.5,125.5
0,Keldon Johnson,San Antonio Spurs,37:12,13,21,.619,5,9,.556,3,4,.750,2,6,8,4,0,0,0,4,34,-18,37:12,.747,.738,.429,.190,6.1,22.8,13.6,14.7,0.0,0.0,0.0,23.8,154,139
1,Dejounte Murray,San Antonio Spurs,35:40,10,20,.500,1,5,.200,9,10,.900,0,4,4,12,1,1,5,4,30,-5,35:40,.615,.525,.250,.500,0.0,15.8,7.1,41.9,1.2,2.4,17.0,32.1,120,135
2,Devin Vassell,San Antonio Spurs,30:56,6,12,.500,2,6,.333,3,3,1.000,1,2,3,3,2,3,2,0,17,-4,30:56,.638,.583,.500,.250,3.7,9.1,6.1,10.9,2.8,8.2,13.1,19.3,120,128
3,Jakob Poeltl,San Antonio Spurs,28:44,9,12,.750,0,0,0,3,4,.750,2,2,4,1,0,3,1,5,21,+3,28:44,.763,.750,.000,.333,8.0,9.8,8.8,4.5,0.0,8.8,6.8,20.0,145,134
4,Josh Richardson,San Antonio Spurs,23:06,1,3,.333,0,0,0,0,0,0,0,3,3,1,2,0,3,1,2,0,23:06,.333,.333,.000,.000,0.0,18.3,8.2,4.2,3.8,0.0,50.0,10.1,41,131
6,Lonnie Walker IV,San Antonio Spurs,25:51,8,12,.667,3,5,.600,3,3,1.000,0,3,3,2,0,0,1,1,22,-6,25:51,.826,.792,.417,.250,0.0,16.4,7.3,10.0,0.0,0.0,7.0,21.5,151,140
7,Zach Collins,San Antonio Spurs,19:16,2,7,.286,1,4,.250,0,0,0,1,4,5,2,0,4,2,3,5,-13,19:16,.357,.357,.571,.000,5.9,29.3,16.4,10.6,0.0,17.5,22.2,18.2,75,125
8,Joshua Primo,San Antonio Spurs,17:04,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,0,0,1,1,3,-6,17:04,.521,.500,.500,1.000,6.7,16.5,11.1,5.7,0.0,0.0,25.8,8.8,101,140
9,Tre Jones,San Antonio Spurs,16:06,1,4,.250,0,1,.000,0,0,0,2,0,2,7,0,0,0,4,2,-7,16:06,.250,.250,.250,.000,14.2,0.0,7.8,42.6,0.0,0.0,0.0,9.7,135,142
10,Joe Wieskamp,San Antonio Spurs,3:03,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,1,0,+3,3:03,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0,142
11,Jock Landale,San Antonio Spurs,3:01,1,2,.500,1,2,.500,0,0,0,0,1,1,0,0,0,0,0,3,+3,3:01,.750,.750,1.000,.000,0.0,46.8,20.9,0.0,0.0,0.0,0.0,25.8,134,137
12,Team Totals,San Antonio Spurs,240,52,97,.536,13,35,.371,22,26,.846,9,27,36,33,5,11,15,24,139,0,240,.641,.603,.361,.268,21.4,79.4,47.4,63.5,4.5,19.3,12.2,100.0,125.5,134.5
