,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luka Dončić,Dallas Mavericks,29:52,13,20,.650,8,12,.667,3,5,.600,0,4,4,3,0,0,4,2,37,-30,29:52,.833,.850,.600,.250,0.0,15.3,7.1,26.6,0.0,0.0,15.3,38.0,136,137
1,Dorian Finney-Smith,Dallas Mavericks,28:00,3,10,.300,2,6,.333,0,0,0,0,1,1,1,1,0,0,1,8,-22,28:00,.400,.400,.600,.000,0.0,4.1,1.9,5.1,1.8,0.0,0.0,15.5,92,135
2,Maxi Kleber,Dallas Mavericks,25:23,3,4,.750,1,2,.500,2,2,1.000,1,6,7,0,1,1,1,4,9,-6,25:23,.922,.875,.500,.500,3.9,27.0,14.7,0.0,2.0,4.1,17.0,10.0,153,126
3,Jalen Brunson,Dallas Mavericks,22:42,3,8,.375,0,2,.000,4,4,1.000,0,2,2,2,2,0,1,1,10,-4,22:42,.512,.375,.250,.500,0.0,10.1,4.7,13.0,4.4,0.0,9.3,20.5,109,128
4,Dwight Powell,Dallas Mavericks,21:40,0,4,.000,0,1,.000,2,2,1.000,2,2,4,2,0,0,0,1,2,-12,21:40,.205,.000,.250,.500,9.2,10.5,9.8,11.4,0.0,0.0,0.0,9.8,92,138
6,Frank Ntilikina,Dallas Mavericks,23:21,5,9,.556,1,3,.333,1,1,1.000,2,4,6,4,0,1,0,2,12,-8,23:21,.636,.611,.333,.111,8.6,19.6,13.7,28.6,0.0,4.5,0.0,17.5,152,133
7,Trey Burke,Dallas Mavericks,22:35,2,11,.182,1,5,.200,0,0,0,0,1,1,1,0,0,3,4,5,-13,22:35,.227,.227,.455,.000,0.0,5.1,2.4,6.1,0.0,0.0,21.4,26.9,43,139
8,Josh Green,Dallas Mavericks,21:08,4,6,.667,1,2,.500,0,0,0,2,1,3,2,0,0,3,0,9,-6,21:08,.750,.750,.333,.000,9.5,5.4,7.6,15.2,0.0,0.0,33.3,18.4,109,139
9,Sterling Brown,Dallas Mavericks,16:51,1,4,.250,0,2,.000,2,2,1.000,2,2,4,1,0,0,0,3,4,+5,16:51,.410,.250,.500,.500,11.9,13.6,12.7,7.9,0.0,0.0,0.0,12.5,119,137
10,Marquese Chriss,Dallas Mavericks,16:40,4,9,.444,0,1,.000,2,4,.500,3,6,9,1,0,2,0,2,10,0,16:40,.465,.444,.111,.444,18.0,41.1,28.8,10.5,0.0,12.5,0.0,28.0,115,122
