,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Joshua Primo,San Antonio Spurs,34:05,5,10,.500,1,4,.250,0,0,0,0,3,3,2,0,1,0,3,11,+10,34:05,.550,.550,.400,.000,0.0,9.0,4.2,9.1,0.0,2.5,0.0,11.8,123,119
1,Dejounte Murray,San Antonio Spurs,33:59,8,24,.333,2,6,.333,1,1,1.000,1,5,6,8,0,0,2,1,19,-8,33:59,.389,.375,.250,.042,2.6,15.0,8.4,42.3,0.0,0.0,7.6,31.4,96,117
2,Keldon Johnson,San Antonio Spurs,33:57,5,15,.333,2,9,.222,2,3,.667,2,5,7,5,1,0,0,0,14,+5,33:57,.429,.400,.600,.200,5.2,15.0,9.8,22.9,1.5,0.0,0.0,19.4,114,114
3,Devin Vassell,San Antonio Spurs,33:11,3,12,.250,3,8,.375,3,4,.750,2,4,6,1,3,0,2,5,12,+7,33:11,.436,.375,.667,.333,5.4,12.3,8.6,4.3,4.6,0.0,12.7,19.2,92,107
4,Jakob Poeltl,San Antonio Spurs,25:43,2,7,.286,0,0,0,3,6,.500,8,6,14,2,0,1,0,4,7,+11,25:43,.363,.286,.000,.857,27.7,23.8,25.9,10.9,0.0,3.3,0.0,15.1,121,111
6,Josh Richardson,San Antonio Spurs,27:08,8,12,.667,3,5,.600,6,6,1.000,0,2,2,1,1,0,1,2,25,-3,27:08,.854,.792,.417,.500,0.0,7.5,3.5,7.4,1.9,0.0,6.4,23.3,161,117
7,Tre Jones,San Antonio Spurs,20:52,3,7,.429,2,3,.667,1,1,1.000,2,2,4,4,2,0,3,1,9,+10,20:52,.605,.571,.429,.143,8.5,9.8,9.1,29.6,4.9,0.0,28.7,20.2,105,109
8,Zach Collins,San Antonio Spurs,19:26,4,8,.500,2,3,.667,1,2,.500,1,0,1,2,0,0,1,0,11,-6,19:26,.619,.625,.375,.250,4.6,0.0,2.4,17.6,0.0,0.0,10.1,20.5,121,125
9,Jock Landale,San Antonio Spurs,6:37,0,2,.000,0,1,.000,0,0,0,1,0,1,0,0,0,1,0,0,-7,6:37,.000,.000,.500,.000,13.4,0.0,7.2,0.0,0.0,0.0,33.3,18.3,22,125
10,Joe Wieskamp,San Antonio Spurs,5:02,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,-9,5:02,.532,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,131,124
11,Devontae Cacok,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,San Antonio Spurs,240,38,98,.388,15,40,.375,19,25,.760,17,27,44,25,7,2,10,18,110,0,240,.505,.464,.408,.255,31.5,57.4,43.6,65.8,7.4,3.5,8.4,100.0,116.5,114.4
