,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kyrie Irving,Brooklyn Nets,43:49,15,27,.556,6,11,.545,7,7,1.000,0,2,2,8,1,1,3,5,43,-5,43:49,.715,.667,.407,.259,0.0,4.9,2.6,33.0,1.1,1.7,9.1,32.1,141,136
1,Kevin Durant,Brooklyn Nets,39:32,12,28,.429,1,7,.143,10,10,1.000,1,10,11,8,2,2,5,1,35,-1,39:32,.540,.446,.250,.357,3.0,27.0,15.7,34.2,2.4,3.9,13.4,40.2,110,123
2,Bruce Brown,Brooklyn Nets,36:58,6,9,.667,1,1,1.000,0,0,0,4,3,7,1,0,4,0,2,13,+6,36:58,.722,.722,.111,.000,13.0,8.7,10.7,3.7,0.0,8.2,0.0,10.4,162,134
3,Andre Drummond,Brooklyn Nets,27:42,7,9,.778,0,0,0,1,2,.500,2,3,5,1,1,0,2,4,15,+14,27:42,.759,.778,.000,.222,8.7,11.6,10.2,5.6,1.7,0.0,16.8,18.2,130,133
4,Kessler Edwards,Brooklyn Nets,19:35,1,3,.333,1,1,1.000,0,0,0,2,4,6,0,1,1,0,3,3,+5,19:35,.500,.500,.333,.000,12.3,21.8,17.3,0.0,2.4,3.9,0.0,6.5,135,125
6,Patty Mills,Brooklyn Nets,24:56,0,4,.000,0,3,.000,0,0,0,0,1,1,0,0,0,2,2,0,-27,24:56,.000,.000,.750,.000,0.0,4.3,2.3,0.0,0.0,0.0,33.3,10.2,0,140
7,Nic Claxton,Brooklyn Nets,20:18,2,2,1.000,0,0,0,3,4,.750,1,4,5,0,0,1,1,0,7,-26,20:18,.931,1.000,.000,2.000,5.9,21.0,13.9,0.0,0.0,3.8,21.0,10.0,151,131
8,Cam Thomas,Brooklyn Nets,16:31,0,2,.000,0,1,.000,4,4,1.000,0,1,1,0,1,0,0,0,4,-10,16:31,.532,.000,.500,2.000,0.0,6.5,3.4,0.0,2.9,0.0,0.0,9.7,126,132
9,James Johnson,Brooklyn Nets,10:37,0,3,.000,0,1,.000,0,0,0,0,1,1,0,0,1,1,3,0,-16,10:37,.000,.000,.333,.000,0.0,10.0,5.3,0.0,0.0,7.2,25.0,16.0,0,133
10,Goran Dragić,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Seth Curry,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Blake Griffin,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Brooklyn Nets,240,43,87,.494,9,25,.360,25,27,.926,10,29,39,18,6,10,14,20,120,0,240,.607,.546,.287,.310,25.0,64.4,45.9,41.9,6.0,15.9,12.4,100.0,119.2,131.2
0,Tyus Jones,Memphis Grizzlies,34:36,5,11,.455,1,2,.500,5,6,.833,0,0,0,10,1,0,2,0,16,-7,34:36,.587,.500,.182,.545,0.0,0.0,0.0,34.6,1.4,0.0,12.8,17.7,136,125
1,Dillon Brooks,Memphis Grizzlies,33:37,7,21,.333,2,7,.286,5,5,1.000,2,1,3,2,1,1,0,5,21,-6,33:37,.453,.381,.333,.238,6.3,3.6,5.0,7.7,1.4,2.3,0.0,27.0,117,123
2,Jaren Jackson Jr.,Memphis Grizzlies,33:00,4,13,.308,2,5,.400,3,3,1.000,1,4,5,2,0,4,1,3,13,+14,33:00,.454,.385,.385,.231,3.2,14.5,8.6,7.1,0.0,9.4,6.5,18.2,109,118
3,Desmond Bane,Memphis Grizzlies,31:35,8,17,.471,6,10,.600,1,1,1.000,1,3,4,5,1,0,4,4,23,+20,31:35,.659,.647,.588,.059,3.4,11.4,7.2,21.8,1.5,0.0,18.7,26.6,120,122
4,Steven Adams,Memphis Grizzlies,27:42,2,3,.667,0,0,0,3,4,.750,5,6,11,5,1,1,0,1,7,-14,27:42,.735,.667,.000,1.333,19.3,26.0,22.4,19.9,1.7,2.8,0.0,6.7,194,116
6,De'Anthony Melton,Memphis Grizzlies,27:12,8,13,.615,6,10,.600,1,1,1.000,0,4,4,1,0,0,3,1,23,+16,27:12,.856,.846,.769,.077,0.0,17.6,8.3,5.4,0.0,0.0,18.2,23.6,132,124
7,Brandon Clarke,Memphis Grizzlies,20:18,7,10,.700,0,0,0,0,0,0,4,6,10,1,0,0,1,1,14,+26,20:18,.700,.700,.000,.000,21.0,35.5,27.8,7.8,0.0,0.0,9.1,21.2,142,120
8,Kyle Anderson,Memphis Grizzlies,15:00,4,9,.444,1,2,.500,1,1,1.000,2,1,3,2,2,1,0,3,10,-2,15:00,.530,.500,.222,.111,14.2,8.0,11.3,18.7,6.4,5.2,0.0,24.6,137,108
9,John Konchar,Memphis Grizzlies,10:25,2,3,.667,1,2,.500,0,1,.000,1,5,6,0,1,0,1,2,5,+7,10:25,.727,.833,.667,.333,10.2,57.6,32.5,0.0,4.6,0.0,22.5,16.7,108,105
10,Ziaire Williams,Memphis Grizzlies,6:35,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,+6,6:35,.000,.000,.000,.000,0.0,0.0,0.0,0.0,7.2,0.0,0.0,5.9,0,112
11,Jarrett Culver,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Xavier Tillman Sr.,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Santi Aldama,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Memphis Grizzlies,240,47,101,.465,19,38,.500,19,22,.864,16,30,46,28,8,7,12,22,132,0,240,.596,.559,.376,.218,35.6,75.0,54.1,59.6,7.9,11.3,9.8,100.0,131.2,119.2
