,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zach LaVine,Chicago Bulls,39:46,12,23,.522,4,11,.364,11,13,.846,0,3,3,3,1,1,5,1,39,-1,39:46,.679,.609,.478,.565,0.0,9.3,4.8,14.2,1.3,2.2,14.8,40.2,115,132
1,Ayo Dosunmu,Chicago Bulls,32:16,2,8,.250,0,3,.000,0,0,0,1,3,4,5,0,0,1,4,4,-31,32:16,.250,.250,.375,.000,4.0,11.4,7.8,20.1,0.0,0.0,11.1,13.2,82,136
2,Nikola Vučević,Chicago Bulls,31:45,7,11,.636,2,3,.667,0,0,0,0,9,9,3,2,2,1,3,16,-21,31:45,.727,.727,.273,.000,0.0,34.9,17.9,15.4,3.2,5.6,8.3,17.9,131,119
3,Alex Caruso,Chicago Bulls,27:58,3,7,.429,1,3,.333,4,4,1.000,0,1,1,2,1,0,3,5,11,-21,27:58,.628,.500,.429,.571,0.0,4.4,2.3,9.8,1.8,0.0,25.5,19.9,98,134
4,Javonte Green,Chicago Bulls,25:23,2,3,.667,1,2,.500,0,0,0,1,5,6,2,0,1,0,0,5,-7,25:23,.833,.833,.667,.000,5.1,24.2,14.9,10.4,0.0,3.5,0.0,5.6,178,131
6,Coby White,Chicago Bulls,28:43,9,15,.600,5,8,.625,0,0,0,0,3,3,6,1,0,3,6,23,+1,28:43,.767,.767,.533,.000,0.0,12.9,6.6,40.2,1.7,0.0,16.7,29.7,126,132
7,Patrick Williams,Chicago Bulls,17:29,1,2,.500,0,1,.000,0,2,.000,1,1,2,1,0,0,1,3,2,-3,17:29,.347,.500,.500,1.000,7.4,7.0,7.2,7.4,0.0,0.0,25.8,10.5,78,137
8,Tristan Thompson,Chicago Bulls,15:15,2,5,.400,0,1,.000,0,0,0,1,3,4,2,0,0,1,0,4,+6,15:15,.400,.400,.200,.000,8.5,24.2,16.6,18.7,0.0,0.0,16.7,18.6,91,133
9,Troy Brown Jr.,Chicago Bulls,14:17,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,0,2,3,+3,14:17,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,134,139
10,Derrick Jones Jr.,Chicago Bulls,6:08,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-9,6:08,.500,.500,.000,.000,0.0,20.1,10.3,0.0,0.0,0.0,0.0,15.4,94,134
11,Tony Bradley,Chicago Bulls,1:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,1:00,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,235,139
12,Matt Thomas,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
