,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Saddiq Bey,Detroit Pistons,32:53,5,13,.385,3,7,.429,2,2,1.000,2,2,4,4,1,0,1,2,15,-14,32:53,.540,.500,.538,.154,6.0,9.4,7.3,14.3,1.5,0.0,6.7,18.6,126,135
1,Cade Cunningham,Detroit Pistons,32:08,13,24,.542,5,11,.455,3,3,1.000,0,1,1,6,2,0,4,2,34,-12,32:08,.671,.646,.458,.125,0.0,4.8,1.9,31.4,3.0,0.0,13.6,37.5,125,132
2,Isaiah Stewart,Detroit Pistons,31:08,6,13,.462,2,3,.667,1,2,.500,6,4,10,2,0,2,2,5,15,-20,31:08,.540,.538,.231,.154,18.9,19.9,19.3,8.0,0.0,6.4,12.6,21.0,119,133
3,Marvin Bagley III,Detroit Pistons,23:39,5,6,.833,1,1,1.000,0,0,0,2,3,5,2,0,0,2,4,11,-19,23:39,.917,.917,.167,.000,8.3,19.6,12.7,10.7,0.0,0.0,25.0,13.9,139,137
4,Cory Joseph,Detroit Pistons,18:55,1,7,.143,0,3,.000,3,3,1.000,1,4,5,2,1,0,1,1,5,-9,18:55,.300,.143,.429,.429,5.2,32.7,15.9,11.2,2.6,0.0,10.7,20.3,84,129
6,Killian Hayes,Detroit Pistons,32:48,6,10,.600,1,3,.333,0,0,0,1,3,4,3,4,1,0,2,13,-3,32:48,.650,.650,.300,.000,3.0,14.2,7.3,11.2,5.9,3.0,0.0,12.5,149,122
7,Braxton Key,Detroit Pistons,23:34,2,8,.250,1,1,1.000,0,0,0,3,3,6,0,1,1,1,4,5,+12,23:34,.313,.313,.125,.000,12.5,19.7,15.3,0.0,2.1,4.2,11.1,15.7,82,130
8,Kelly Olynyk,Detroit Pistons,16:52,3,4,.750,1,2,.500,1,2,.500,1,2,3,8,1,0,1,3,8,+13,16:52,.820,.875,.500,.500,5.8,18.4,10.7,57.7,2.9,0.0,17.0,14.3,168,131
9,Frank Jackson,Detroit Pistons,16:06,5,10,.500,0,3,.000,1,1,1.000,0,1,1,1,1,0,0,1,11,+12,16:06,.527,.500,.300,.100,0.0,9.6,3.7,9.0,3.0,0.0,0.0,26.7,118,132
10,Rodney McGruder,Detroit Pistons,11:57,2,4,.500,2,4,.500,0,0,0,0,0,0,0,0,0,0,1,6,+5,11:57,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,153,140
