,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Reggie Bullock,Dallas Mavericks,41:46,3,7,.429,3,7,.429,0,0,0,1,3,4,3,1,0,2,2,9,+13,41:46,.643,.643,1.000,.000,2.9,9.1,6.0,8.1,1.2,0.0,22.2,9.8,113,122
1,Jalen Brunson,Dallas Mavericks,38:54,8,14,.571,1,3,.333,1,3,.333,2,3,5,6,0,0,1,0,18,-5,38:54,.587,.607,.214,.214,6.3,9.7,8.0,20.5,0.0,0.0,6.1,19.1,130,125
2,Luka Dončić,Dallas Mavericks,37:50,14,26,.538,3,6,.500,4,4,1.000,0,9,9,13,1,2,3,1,35,+14,37:50,.630,.596,.231,.154,0.0,30.0,14.8,58.4,1.3,4.4,9.8,37.0,133,114
3,Dorian Finney-Smith,Dallas Mavericks,36:51,10,16,.625,6,12,.500,2,3,.667,1,1,2,3,0,1,1,3,28,+16,36:51,.808,.813,.750,.188,3.3,3.4,3.4,11.9,0.0,2.2,5.5,22.6,153,124
4,Dwight Powell,Dallas Mavericks,21:36,5,6,.833,0,1,.000,5,5,1.000,1,4,5,1,1,1,0,5,15,+6,21:36,.915,.833,.167,.833,5.7,23.4,14.4,6.4,2.4,3.8,0.0,17.3,195,113
6,Maxi Kleber,Dallas Mavericks,26:05,2,7,.286,2,7,.286,0,0,0,1,5,6,1,1,1,2,2,6,+3,26:05,.429,.429,1.000,.000,4.7,24.2,14.3,4.3,1.9,3.2,22.2,15.7,79,114
7,Josh Green,Dallas Mavericks,16:39,1,2,.500,0,0,0,0,0,0,1,3,4,0,2,0,2,2,2,+2,16:39,.500,.500,.000,.000,7.4,22.8,15.0,0.0,6.1,0.0,50.0,10.9,62,108
8,Dāvis Bertāns,Dallas Mavericks,10:16,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,1,0,0,3,-2,10:16,.500,.500,1.000,.000,0.0,12.3,6.1,0.0,0.0,8.1,0.0,13.3,102,118
9,Brandon Knight,Dallas Mavericks,6:51,1,4,.250,0,3,.000,0,0,0,0,0,0,0,0,0,0,0,2,-8,6:51,.250,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,55,127
10,Marquese Chriss,Dallas Mavericks,3:11,1,3,.333,0,0,0,0,0,0,2,0,2,1,0,0,0,2,2,+1,3:11,.333,.333,.000,.000,77.3,0.0,39.2,48.8,0.0,0.0,0.0,42.8,122,125
11,Frank Ntilikina,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
