,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ McCollum,New Orleans Pelicans,37:09,9,16,.563,3,6,.500,4,8,.500,0,3,3,4,0,0,4,1,25,+11,37:09,.640,.656,.375,.500,0.0,9.5,4.8,18.2,0.0,0.0,17.0,27.8,109,122
1,Jonas Valančiūnas,New Orleans Pelicans,35:11,8,11,.727,0,2,.000,3,4,.750,5,6,11,4,4,0,4,4,19,+12,35:11,.745,.727,.182,.364,17.1,20.0,18.5,18.8,5.7,0.0,23.9,20.9,126,105
2,Herbert Jones,New Orleans Pelicans,30:45,1,6,.167,0,1,.000,0,0,0,0,1,1,5,4,1,1,3,2,+7,30:45,.167,.167,.167,.000,0.0,3.8,1.9,20.3,6.5,3.6,14.3,10.0,70,107
3,Brandon Ingram,New Orleans Pelicans,27:47,4,12,.333,0,2,.000,11,13,.846,1,5,6,6,1,0,1,2,19,+4,27:47,.536,.333,.167,1.083,4.3,21.1,12.8,31.3,1.8,0.0,5.3,29.6,128,114
4,Jaxson Hayes,New Orleans Pelicans,21:52,6,9,.667,1,2,.500,5,6,.833,2,1,3,0,1,2,0,1,18,+7,21:52,.773,.722,.222,.667,11.0,5.4,8.1,0.0,2.3,10.2,0.0,23.4,164,114
6,Trey Murphy III,New Orleans Pelicans,23:10,3,9,.333,2,6,.333,2,2,1.000,2,4,6,0,1,0,1,2,10,-4,23:10,.506,.444,.667,.222,10.4,20.2,15.3,0.0,2.2,0.0,9.2,20.7,108,113
7,Larry Nance Jr.,New Orleans Pelicans,21:43,4,6,.667,0,1,.000,0,0,0,1,3,4,0,0,1,0,1,8,+4,21:43,.667,.667,.167,.000,5.5,16.2,10.9,0.0,0.0,5.1,0.0,12.1,140,118
8,Devonte' Graham,New Orleans Pelicans,15:44,1,5,.200,0,4,.000,0,0,0,0,2,2,1,0,1,0,0,2,+2,15:44,.200,.200,.800,.000,0.0,14.9,7.5,8.3,0.0,7.1,0.0,14.0,60,117
9,Jose Alvarado,New Orleans Pelicans,15:20,3,3,1.000,0,0,0,0,0,0,1,2,3,3,4,0,2,1,6,+3,15:20,1.000,1.000,.000,.000,7.8,15.3,11.6,30.7,13.0,0.0,40.0,14.3,124,90
10,Naji Marshall,New Orleans Pelicans,11:19,1,1,1.000,0,0,0,6,6,1.000,0,1,1,3,1,1,1,1,8,+4,11:19,1.099,1.000,.000,6.000,0.0,10.3,5.2,35.6,4.4,9.9,21.6,18.0,183,107
