,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jrue Holiday,Milwaukee Bucks,42:48,6,18,.333,2,7,.286,5,6,.833,1,7,8,4,6,0,6,3,19,+9,42:48,.460,.389,.389,.333,2.6,17.0,10.1,15.2,6.6,0.0,22.5,26.2,84,96
1,Giannis Antetokounmpo,Milwaukee Bucks,39:19,14,21,.667,1,4,.250,15,19,.789,4,10,14,6,1,0,8,1,44,+12,39:19,.749,.690,.190,.905,11.5,26.4,19.3,38.3,1.2,0.0,21.4,40.0,127,107
2,Wesley Matthews,Milwaukee Bucks,35:49,4,9,.444,3,7,.429,0,0,0,2,0,2,0,0,1,0,2,11,-3,35:49,.611,.611,.778,.000,6.3,0.0,3.0,0.0,0.0,2.5,0.0,10.6,134,111
3,Khris Middleton,Milwaukee Bucks,30:02,4,12,.333,2,7,.286,6,6,1.000,0,9,9,4,2,1,4,4,16,-8,30:02,.546,.417,.583,.500,0.0,31.1,16.2,21.4,3.1,2.9,21.5,26.1,99,99
4,Brook Lopez,Milwaukee Bucks,20:51,2,7,.286,0,3,.000,1,2,.500,0,3,3,0,0,1,2,1,5,-9,20:51,.317,.286,.429,.286,0.0,15.0,7.8,0.0,0.0,4.2,20.2,19.9,54,107
6,Bobby Portis,Milwaukee Bucks,30:30,4,9,.444,1,4,.250,0,0,0,1,8,9,1,1,0,2,0,9,+1,30:30,.500,.500,.444,.000,3.7,27.3,16.0,5.3,1.5,0.0,18.2,15.2,91,107
7,Grayson Allen,Milwaukee Bucks,28:47,2,4,.500,1,3,.333,0,0,0,2,3,5,0,1,0,0,2,5,+1,28:47,.625,.625,.750,.000,7.8,10.8,9.4,0.0,1.6,0.0,0.0,5.8,145,108
8,Pat Connaughton,Milwaukee Bucks,20:32,4,8,.500,2,6,.333,1,1,1.000,1,4,5,1,0,0,0,0,11,-3,20:32,.652,.625,.750,.125,5.5,20.2,13.2,8.7,0.0,0.0,0.0,17.3,143,111
9,George Hill,Milwaukee Bucks,15:58,0,1,.000,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,+5,15:58,.000,.000,.000,.000,0.0,6.5,3.4,8.3,2.9,0.0,0.0,2.6,57,105
10,Jevon Carter,Milwaukee Bucks,0:24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0:24,0,0,0,0,0.0,100.0,100.0,0.0,0.0,0.0,0,0.0,0,83
11,Sandro Mamukelashvili,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Thanasis Antetokounmpo,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Serge Ibaka,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jordan Nwora,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Milwaukee Bucks,265,40,89,.449,12,41,.293,28,34,.824,11,46,57,17,12,3,22,14,120,0,265,.577,.517,.461,.382,23.4,90.2,58.2,42.5,10.6,5.0,17.5,100.0,106.1,105.2
0,Kevin Durant,Brooklyn Nets,45:13,10,21,.476,3,6,.500,3,3,1.000,0,7,7,11,1,1,6,4,26,+1,45:13,.582,.548,.286,.143,0.0,17.5,8.4,38.7,1.0,2.4,21.2,27.7,103,108
1,Kyrie Irving,Brooklyn Nets,44:43,9,22,.409,4,9,.444,3,3,1.000,0,3,3,5,2,0,3,2,25,-2,44:43,.536,.500,.409,.136,0.0,7.6,3.6,17.3,2.1,0.0,11.4,26.0,98,110
