,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Miles Bridges,Charlotte Hornets,30:20,6,12,.500,1,4,.250,7,10,.700,1,4,5,3,0,0,2,4,20,-25,30:20,.610,.542,.333,.833,3.6,18.1,10.0,14.6,0.0,0.0,10.9,25.4,115,143
1,LaMelo Ball,Charlotte Hornets,27:49,5,12,.417,3,6,.500,0,0,0,0,2,2,5,2,0,6,1,13,-31,27:49,.542,.542,.500,.000,0.0,9.9,4.4,25.9,3.3,0.0,33.3,27.1,75,137
2,Terry Rozier,Charlotte Hornets,27:42,2,9,.222,1,5,.200,5,6,.833,0,4,4,6,5,0,1,0,10,-25,27:42,.430,.278,.556,.667,0.0,19.8,8.8,27.0,8.3,0.0,7.9,19.1,102,124
3,P.J. Washington,Charlotte Hornets,26:07,6,10,.600,2,4,.500,0,0,0,1,2,3,1,3,0,1,1,14,-3,26:07,.700,.700,.400,.000,4.2,10.5,7.0,5.9,5.3,0.0,9.1,17.6,118,132
4,Mason Plumlee,Charlotte Hornets,19:42,5,6,.833,0,0,0,1,2,.500,1,2,3,4,0,0,2,2,11,-25,19:42,.799,.833,.000,.333,5.5,13.9,9.3,32.7,0.0,0.0,22.5,18.9,128,144
6,Cody Martin,Charlotte Hornets,23:48,4,6,.667,0,1,.000,0,0,0,1,3,4,5,2,0,0,1,8,-10,23:48,.667,.667,.167,.000,4.6,17.3,10.2,29.7,3.8,0.0,0.0,10.6,153,134
7,Kelly Oubre Jr.,Charlotte Hornets,21:39,4,8,.500,1,4,.250,2,2,1.000,1,2,3,0,0,0,0,1,11,-10,21:39,.619,.563,.500,.250,5.0,12.7,8.4,0.0,0.0,0.0,0.0,17.2,124,144
8,Isaiah Thomas,Charlotte Hornets,18:33,2,7,.286,1,3,.333,0,0,0,0,2,2,2,0,0,1,3,5,-3,18:33,.357,.357,.429,.000,0.0,14.8,6.6,14.1,0.0,0.0,12.5,18.1,72,144
9,Montrezl Harrell,Charlotte Hornets,17:09,3,7,.429,0,0,0,0,0,0,1,1,2,4,0,0,0,2,6,-17,17:09,.429,.429,.000,.000,6.4,8.0,7.1,33.3,0.0,0.0,0.0,17.1,112,145
10,Gordon Hayward,Charlotte Hornets,16:50,2,6,.333,1,2,.500,0,0,0,0,3,3,4,1,0,1,0,5,-4,16:50,.417,.417,.333,.000,0.0,24.4,10.8,31.4,2.7,0.0,14.3,17.4,92,136
