,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Karl-Anthony Towns,Minnesota Timberwolves,35:25,12,16,.750,1,3,.333,3,5,.600,2,9,11,5,1,0,3,5,28,+2,35:25,.769,.781,.188,.313,8.5,33.9,21.9,19.5,1.3,0.0,14.2,24.8,140,123
1,Anthony Edwards,Minnesota Timberwolves,35:21,12,21,.571,4,12,.333,5,5,1.000,0,4,4,5,2,1,2,2,33,+2,35:21,.711,.667,.571,.238,0.0,15.1,8.0,19.6,2.5,3.0,7.9,29.5,138,123
2,D'Angelo Russell,Minnesota Timberwolves,34:39,7,16,.438,4,11,.364,4,4,1.000,0,1,1,9,4,0,5,3,22,-4,34:39,.619,.563,.688,.250,0.0,3.8,2.0,30.2,5.2,0.0,22.0,27.2,115,120
3,Jarred Vanderbilt,Minnesota Timberwolves,29:38,1,1,1.000,0,0,0,0,0,0,1,5,6,1,1,2,3,3,2,+7,29:38,1.000,1.000,.000,.000,5.1,22.5,14.3,3.3,1.5,7.2,75.0,5.6,69,121
4,Malik Beasley,Minnesota Timberwolves,28:20,4,8,.500,3,7,.429,1,1,1.000,1,0,1,4,2,1,0,2,12,-6,28:20,.711,.688,.875,.125,5.3,0.0,2.5,15.3,3.2,3.8,0.0,12.3,161,124
6,Taurean Prince,Minnesota Timberwolves,20:18,2,3,.667,0,0,0,2,3,.667,1,1,2,2,0,0,1,5,6,+6,20:18,.694,.667,.000,1.000,7.4,6.6,7.0,10.2,0.0,0.0,18.8,10.8,135,131
7,Josh Okogie,Minnesota Timberwolves,16:15,3,4,.750,0,0,0,5,6,.833,0,0,0,1,2,1,1,3,11,+5,16:15,.828,.750,.000,1.500,0.0,0.0,0.0,7.0,5.5,6.6,13.1,19.5,150,117
8,Jaylen Nowell,Minnesota Timberwolves,14:08,4,7,.571,2,3,.667,0,1,.000,0,2,2,4,0,1,2,2,10,+7,14:08,.672,.714,.429,.143,0.0,18.9,10.0,36.3,0.0,7.5,21.2,27.6,118,125
9,Jordan McLaughlin,Minnesota Timberwolves,13:21,3,4,.750,3,4,.750,0,0,0,0,0,0,1,1,0,0,1,9,+11,13:21,1.125,1.125,1.000,.000,0.0,0.0,0.0,8.9,3.4,0.0,0.0,12.4,210,125
10,Naz Reid,Minnesota Timberwolves,12:35,3,6,.500,0,1,.000,0,0,0,2,3,5,0,0,0,2,1,6,+5,12:35,.500,.500,.167,.000,23.8,31.8,28.0,0.0,0.0,0.0,25.0,26.3,88,127
11,Nathan Knight,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,McKinley Wright IV,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Leandro Bolmaro,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Minnesota Timberwolves,240,51,86,.593,17,41,.415,20,25,.800,7,25,32,32,13,6,19,27,139,0,240,.716,.692,.477,.291,21.9,69.4,47.1,62.7,12.1,13.3,16.4,100.0,129.7,123.2
0,Jalen Green,Houston Rockets,36:05,12,18,.667,4,8,.500,3,6,.500,0,2,2,5,0,0,2,4,31,-7,36:05,.751,.778,.444,.333,0.0,8.3,3.9,20.8,0.0,0.0,8.8,24.9,144,135
1,Kevin Porter Jr.,Houston Rockets,35:50,6,14,.429,4,10,.400,5,5,1.000,1,5,6,8,2,0,8,3,21,-8,35:50,.648,.571,.714,.357,3.7,20.9,11.8,26.8,2.5,0.0,33.1,26.8,105,128
2,Alperen Şengün,Houston Rockets,32:43,5,7,.714,0,1,.000,4,4,1.000,6,9,15,4,0,1,5,4,14,-6,32:43,.799,.714,.143,.571,24.5,41.3,32.4,14.4,0.0,3.3,36.3,16.7,126,130
3,Garrison Mathews,Houston Rockets,28:28,2,9,.222,2,8,.250,1,2,.500,0,1,1,2,2,1,1,2,7,-5,28:28,.354,.333,.889,.222,0.0,5.3,2.5,7.6,3.1,3.7,9.2,15.2,85,126
