,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Andrew Wiggins,Golden State Warriors,36:01,8,16,.500,4,7,.571,5,6,.833,0,5,5,5,1,0,1,2,25,+7,36:01,.671,.625,.438,.375,0.0,14.5,8.1,22.0,1.4,0.0,5.1,26.0,135,100
1,Jordan Poole,Golden State Warriors,33:50,9,15,.600,4,9,.444,0,0,0,0,5,5,4,0,1,4,5,22,+19,33:50,.733,.733,.600,.000,0.0,15.4,8.7,20.1,0.0,3.0,21.1,26.8,111,100
2,Draymond Green,Golden State Warriors,23:58,2,5,.400,2,2,1.000,0,0,0,1,6,7,5,1,2,3,6,6,+11,23:58,.600,.600,.400,.000,5.6,26.1,17.1,27.1,2.1,8.3,37.5,15.9,103,89
3,Gary Payton II,Golden State Warriors,19:04,1,4,.250,0,1,.000,0,0,0,1,2,3,1,3,0,1,4,2,+10,19:04,.250,.250,.250,.000,7.0,10.9,9.2,6.5,8.0,0.0,20.0,12.5,67,86
4,Kevon Looney,Golden State Warriors,14:38,0,1,.000,0,0,0,0,0,0,1,1,2,1,0,0,1,2,0,+9,14:38,.000,.000,.000,.000,9.1,7.1,8.0,8.0,0.0,0.0,50.0,6.5,64,104
6,Jonathan Kuminga,Golden State Warriors,31:19,6,11,.545,2,3,.667,3,6,.500,1,4,5,4,1,1,1,2,17,+12,31:19,.623,.636,.273,.545,4.3,13.3,9.3,19.3,1.6,3.2,6.8,22.3,127,97
7,Nemanja Bjelica,Golden State Warriors,30:17,7,11,.636,3,6,.500,2,2,1.000,2,10,12,6,0,2,2,1,19,+9,30:17,.800,.773,.545,.182,8.8,34.5,23.2,31.8,0.0,6.6,14.4,21.9,148,93
8,Damion Lee,Golden State Warriors,27:35,5,10,.500,0,3,.000,1,1,1.000,1,4,5,2,0,1,1,2,11,+11,27:35,.527,.500,.300,.100,4.8,15.1,10.6,10.8,0.0,3.6,8.7,19.8,108,100
9,Juan Toscano-Anderson,Golden State Warriors,19:30,2,4,.500,0,1,.000,0,0,0,0,2,2,1,2,1,1,4,4,+6,19:30,.500,.500,.250,.000,0.0,10.7,6.0,6.8,5.2,5.1,20.0,12.2,86,88
10,Moses Moody,Golden State Warriors,2:27,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,0,0,3,+3,2:27,1.500,1.500,1.000,.000,0.0,42.6,23.9,0.0,0.0,0.0,0.0,19.5,300,97
11,Quinndary Weatherspoon,Golden State Warriors,1:21,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-2,1:21,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0,106
12,Team Totals,Golden State Warriors,240,41,79,.519,16,34,.471,11,15,.733,7,40,47,29,8,8,15,28,109,0,240,.637,.620,.430,.190,19.4,87.0,57.3,70.7,8.5,16.7,14.9,100.0,116.1,95.9
0,Davion Mitchell,Sacramento Kings,38:26,4,11,.364,0,1,.000,1,2,.500,0,1,1,9,1,0,2,2,9,-19,38:26,.379,.364,.091,.182,0.0,3.5,1.5,43.2,1.3,0.0,14.4,16.7,86,119
1,Harrison Barnes,Sacramento Kings,34:39,7,17,.412,1,8,.125,3,3,1.000,3,7,10,1,1,0,2,1,18,-14,34:39,.491,.441,.471,.176,9.0,26.9,16.9,6.5,1.5,0.0,9.8,27.2,94,114
2,Damian Jones,Sacramento Kings,34:32,5,10,.500,0,1,.000,7,8,.875,1,5,6,2,0,0,2,3,17,-13,34:32,.629,.500,.100,.800,3.0,19.3,10.2,11.6,0.0,0.0,12.9,20.8,116,119
3,Justin Holiday,Sacramento Kings,26:19,2,7,.286,2,4,.500,0,0,0,0,3,3,1,0,0,1,1,6,-7,26:19,.429,.429,.571,.000,0.0,15.2,6.7,6.7,0.0,0.0,12.5,14.1,75,120
4,Trey Lyles,Sacramento Kings,21:05,2,6,.333,1,4,.250,2,2,1.000,1,2,3,1,0,0,1,2,7,-19,21:05,.509,.417,.667,.333,4.9,12.6,8.3,8.6,0.0,0.0,12.7,17.3,97,120
6,Donte DiVincenzo,Sacramento Kings,30:22,4,13,.308,2,9,.222,4,4,1.000,0,4,4,4,2,0,2,1,14,-4,30:22,.474,.385,.692,.308,0.0,17.6,7.7,25.6,3.4,0.0,11.9,25.6,91,111
7,Chimezie Metu,Sacramento Kings,22:24,3,6,.500,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,1,9,0,22:24,.654,.583,.333,.333,0.0,17.9,7.8,8.7,0.0,0.0,12.7,16.3,113,119
8,Josh Jackson,Sacramento Kings,20:00,2,5,.400,0,1,.000,1,2,.500,1,3,4,0,1,1,0,3,5,-12,20:00,.425,.400,.200,.400,5.2,20.0,11.7,0.0,2.6,5.3,0.0,13.6,93,109
9,Jeremy Lamb,Sacramento Kings,12:13,2,6,.333,0,3,.000,1,1,1.000,0,1,1,0,0,0,1,1,5,-7,12:13,.388,.333,.500,.167,0.0,10.9,4.8,0.0,0.0,0.0,13.4,28.2,66,120
10,Maurice Harkless,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Neemias Queta,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alex Len,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Sacramento Kings,240,31,81,.383,7,33,.212,21,24,.875,6,29,35,19,5,1,12,15,90,0,240,.491,.426,.407,.296,13.0,80.6,42.7,61.3,5.3,2.2,11.6,100.0,95.9,116.1
