,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bam Adebayo,Miami Heat,36:11,6,12,.500,0,0,0,4,9,.444,2,7,9,1,0,0,2,3,16,+10,36:11,.501,.500,.000,.750,7.4,23.2,15.7,4.0,0.0,0.0,11.1,22.5,98,116
1,Kyle Lowry,Miami Heat,34:33,4,8,.500,2,4,.500,6,7,.857,1,5,6,10,1,0,2,5,16,+8,34:33,.722,.625,.500,.875,3.9,17.4,11.0,39.2,1.4,0.0,15.3,17.2,152,114
2,Max Strus,Miami Heat,29:09,7,10,.700,7,9,.778,2,2,1.000,0,3,3,1,1,0,0,2,23,+10,29:09,1.057,1.050,.900,.200,0.0,12.3,6.5,5.6,1.7,0.0,0.0,17.0,193,115
3,Caleb Martin,Miami Heat,26:06,2,6,.333,0,3,.000,0,0,0,1,2,3,0,1,4,0,2,4,-11,26:06,.333,.333,.500,.000,5.1,9.2,7.3,0.0,1.9,16.7,0.0,10.4,81,107
4,Markieff Morris,Miami Heat,25:33,4,10,.400,2,6,.333,0,0,0,1,2,3,4,3,0,0,1,10,+5,25:33,.500,.500,.600,.000,5.2,9.4,7.4,22.4,5.8,0.0,0.0,17.8,125,107
6,Tyler Herro,Miami Heat,36:24,8,16,.500,1,5,.200,1,2,.500,1,8,9,8,0,0,8,3,18,+7,36:24,.533,.531,.313,.125,3.7,26.4,15.6,34.6,0.0,0.0,32.2,31.0,89,115
7,Victor Oladipo,Miami Heat,27:27,7,11,.636,6,9,.667,1,2,.500,1,2,3,4,2,0,5,2,21,+5,27:27,.884,.909,.818,.182,4.9,8.7,6.9,24.3,3.6,0.0,29.6,27.9,115,112
8,Duncan Robinson,Miami Heat,12:48,0,2,.000,0,2,.000,0,0,0,0,0,0,1,1,0,0,1,0,-4,12:48,.000,.000,1.000,.000,0.0,0.0,0.0,9.1,3.9,0.0,0.0,7.1,41,114
9,Omer Yurtseven,Miami Heat,11:49,3,4,.750,0,0,0,0,0,0,1,1,2,1,0,0,0,2,6,-5,11:49,.750,.750,.000,.000,11.3,10.2,10.7,14.1,0.0,0.0,0.0,15.4,162,119
10,Haywood Highsmith,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
