,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Keon Johnson,Portland Trail Blazers,35:40,7,14,.500,3,7,.429,1,2,.500,1,5,6,7,1,2,4,1,18,+1,35:40,.605,.607,.500,.143,3.1,15.6,9.3,36.8,1.4,5.2,21.2,23.7,105,105
1,Drew Eubanks,Portland Trail Blazers,34:42,6,8,.750,0,0,0,2,2,1.000,1,3,4,0,2,2,2,5,14,0,34:42,.788,.750,.000,.250,3.1,9.7,6.4,0.0,3.0,5.3,18.4,14.1,122,102
2,Kris Dunn,Portland Trail Blazers,30:13,3,15,.200,0,2,.000,1,2,.500,3,5,8,8,1,0,4,1,7,+3,30:13,.220,.200,.133,.133,10.8,18.5,14.6,42.0,1.7,0.0,20.1,29.5,67,106
3,CJ Elleby,Portland Trail Blazers,27:18,1,1,1.000,1,1,1.000,3,4,.750,1,4,5,2,0,1,0,1,6,+12,27:18,1.087,1.500,1.000,4.000,4.0,16.4,10.1,10.6,0.0,3.4,0.0,4.5,218,109
4,Greg Brown III,Portland Trail Blazers,24:02,6,9,.667,1,1,1.000,4,4,1.000,2,1,3,1,1,1,1,3,17,+10,24:02,.790,.722,.111,.444,9.1,4.6,6.9,8.7,2.1,3.8,8.5,21.9,148,106
6,Ben McLemore,Portland Trail Blazers,27:41,6,16,.375,3,11,.273,2,2,1.000,0,2,2,1,2,0,2,3,17,-6,27:41,.504,.469,.688,.125,0.0,8.1,4.0,7.0,3.7,0.0,10.6,30.6,91,104
7,Keljin Blevins,Portland Trail Blazers,18:46,1,4,.250,1,2,.500,0,0,0,1,2,3,1,2,0,2,2,3,-6,18:46,.375,.375,.500,.000,5.8,11.9,8.8,7.9,5.5,0.0,33.3,14.3,64,99
8,Didi Louzada,Portland Trail Blazers,17:26,2,5,.400,1,2,.500,0,0,0,0,4,4,0,0,0,0,1,5,-17,17:26,.500,.500,.400,.000,0.0,25.6,12.7,0.0,0.0,0.0,0.0,12.9,99,107
9,Reggie Perry,Portland Trail Blazers,13:18,1,6,.167,0,2,.000,0,0,0,0,4,4,3,1,0,2,1,2,-4,13:18,.167,.167,.333,.000,0.0,33.6,16.6,34.5,3.9,0.0,25.0,27.0,47,96
10,Elijah Hughes,Portland Trail Blazers,10:54,2,5,.400,1,4,.250,0,0,0,1,0,1,1,0,0,0,1,5,-13,10:54,.500,.500,.800,.000,10.0,0.0,5.1,16.8,0.0,0.0,0.0,20.6,115,115
11,Brandon Williams,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justise Winslow,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Portland Trail Blazers,240,35,83,.422,11,32,.344,13,16,.813,10,30,40,24,10,6,17,19,94,0,240,.522,.488,.386,.193,22.7,69.8,46.0,68.6,10.7,11.5,15.9,100.0,100.6,104.8
0,Jaylen Hoard,Oklahoma City Thunder,45:35,11,17,.647,1,3,.333,1,6,.167,7,14,21,3,3,0,2,2,24,+9,45:35,.611,.676,.176,.353,17.1,33.5,25.4,11.5,3.4,0.0,9.2,21.4,127,96
1,Zavier Simpson,Oklahoma City Thunder,43:34,5,12,.417,0,1,.000,0,0,0,0,3,3,5,1,2,2,3,10,-1,43:34,.417,.417,.083,.000,0.0,7.5,3.8,16.4,1.2,4.3,14.3,14.5,94,106
2,Isaiah Roby,Oklahoma City Thunder,43:07,7,18,.389,3,8,.375,1,2,.500,1,5,6,3,1,6,3,3,18,+10,43:07,.477,.472,.444,.111,2.6,12.7,7.7,10.7,1.2,13.1,13.7,22.8,97,99
3,Georgios Kalaitzakis,Oklahoma City Thunder,42:54,6,13,.462,2,7,.286,3,8,.375,0,1,1,2,3,1,7,1,17,+4,42:54,.515,.538,.538,.615,0.0,2.5,1.3,6.9,3.6,2.2,29.8,24.7,76,104
4,Vit Krejci,Oklahoma City Thunder,21:29,5,10,.500,1,5,.200,0,0,0,0,3,3,1,3,1,1,0,11,-8,21:29,.550,.550,.500,.000,0.0,15.2,7.7,8.0,7.2,4.4,9.1,23.0,109,91
6,Olivier Sarr,Oklahoma City Thunder,38:55,3,8,.375,0,2,.000,4,4,1.000,5,7,12,1,0,2,1,1,10,+1,38:55,.512,.375,.250,.500,14.3,19.6,17.0,3.5,0.0,4.8,9.3,12.4,123,105
7,Lindy Waters III,Oklahoma City Thunder,4:26,2,3,.667,2,3,.667,2,2,1.000,0,1,1,0,1,0,0,0,8,+5,4:26,1.031,1.000,1.000,.667,0.0,24.6,12.4,0.0,11.6,0.0,0.0,39.4,204,81
8,Théo Maledon,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Aleksej Pokusevski,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aaron Wiggins,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kenrich Williams,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jeremiah Robinson-Earl,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Oklahoma City Thunder,240,39,81,.481,9,29,.310,11,22,.500,13,34,47,15,12,12,16,10,98,0,240,.540,.537,.358,.272,30.2,77.3,54.0,38.5,12.8,23.5,15.0,100.0,104.8,100.6
