,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zavier Simpson,Oklahoma City Thunder,38:42,2,10,.200,0,1,.000,0,0,0,1,2,3,11,3,0,4,3,4,-23,38:42,.200,.200,.100,.000,2.5,6.7,4.3,39.5,4.0,0.0,28.6,16.2,73,144
1,Jaylen Hoard,Oklahoma City Thunder,36:15,8,17,.471,5,8,.625,2,3,.667,2,3,5,3,1,1,1,4,23,-25,36:15,.628,.618,.471,.176,5.3,10.7,7.6,15.0,1.4,2.8,5.2,23.8,123,148
2,Vit Krejci,Oklahoma City Thunder,33:50,4,9,.444,1,4,.250,0,0,0,0,6,6,6,1,0,2,5,9,-21,33:50,.500,.500,.444,.000,0.0,23.0,9.8,27.2,1.5,0.0,18.2,14.5,101,145
3,Georgios Kalaitzakis,Oklahoma City Thunder,29:32,4,9,.444,1,2,.500,2,4,.500,1,1,2,1,2,0,2,3,11,-19,29:32,.511,.500,.222,.444,3.3,4.4,3.7,5.3,3.5,0.0,15.7,19.3,90,146
4,Isaiah Roby,Oklahoma City Thunder,26:13,6,10,.600,4,6,.667,2,3,.667,2,3,5,5,1,0,0,6,18,-19,26:13,.795,.800,.600,.300,7.3,14.8,10.5,35.2,2.0,0.0,0.0,19.3,168,146
6,Melvin Frazier,Oklahoma City Thunder,32:36,4,15,.267,0,6,.000,0,1,.000,3,2,5,0,1,0,1,0,8,-35,32:36,.259,.267,.400,.067,8.8,8.0,8.5,0.0,1.6,0.0,6.1,22.5,62,150
7,Lindy Waters III,Oklahoma City Thunder,26:40,3,10,.300,3,7,.429,1,2,.500,1,3,4,1,0,0,0,0,10,-22,26:40,.460,.450,.700,.200,3.6,14.6,8.3,5.7,0.0,0.0,0.0,18.2,101,151
8,Jeremiah Robinson-Earl,Oklahoma City Thunder,16:12,6,10,.600,2,3,.667,4,4,1.000,1,1,2,0,0,0,0,1,18,-16,16:12,.765,.700,.300,.400,5.9,8.0,6.8,0.0,0.0,0.0,0.0,32.4,153,153
9,Aaron Wiggins,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Théo Maledon,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
