,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Keldon Johnson,San Antonio Spurs,33:40,7,15,.467,2,6,.333,4,7,.571,1,5,6,5,1,1,1,3,20,-8,33:40,.553,.533,.400,.467,3.4,14.3,9.3,21.6,1.4,3.3,5.2,23.5,116,121
1,Jakob Poeltl,San Antonio Spurs,31:00,7,11,.636,0,0,0,1,2,.500,3,14,17,3,0,3,2,4,15,-6,31:00,.631,.636,.000,.182,11.1,43.4,28.6,14.4,0.0,10.8,14.4,18.5,118,110
2,Tre Jones,San Antonio Spurs,30:17,5,9,.556,0,0,0,4,5,.800,0,3,3,8,1,0,2,3,14,-18,30:17,.625,.556,.000,.556,0.0,9.5,5.2,36.2,1.5,0.0,15.2,18.0,125,124
3,Devin Vassell,San Antonio Spurs,29:49,6,14,.429,4,8,.500,2,2,1.000,0,2,2,0,2,0,1,1,18,-15,29:49,.605,.571,.571,.143,0.0,6.4,3.5,0.0,3.1,0.0,6.3,22.0,107,122
4,Joshua Primo,San Antonio Spurs,29:25,4,9,.444,1,4,.250,3,4,.750,0,1,1,6,0,0,2,2,12,-7,29:25,.558,.500,.444,.444,0.0,3.3,1.8,26.8,0.0,0.0,15.7,18.0,110,130
6,Josh Richardson,San Antonio Spurs,25:27,3,9,.333,1,5,.200,4,5,.800,1,2,3,6,0,0,1,3,11,+5,25:27,.491,.389,.556,.556,4.5,7.5,6.2,30.3,0.0,0.0,8.2,19.8,115,129
7,Keita Bates-Diop,San Antonio Spurs,23:33,6,12,.500,0,1,.000,2,2,1.000,3,4,7,1,0,0,2,1,14,+4,23:33,.543,.500,.083,.167,14.6,16.3,15.5,6.6,0.0,0.0,13.4,26.2,104,126
8,Zach Collins,San Antonio Spurs,15:55,4,7,.571,2,3,.667,3,3,1.000,0,3,3,1,0,1,1,1,13,+2,15:55,.781,.714,.429,.429,0.0,18.1,9.8,9.7,0.0,7.0,10.7,24.2,134,121
9,Romeo Langford,San Antonio Spurs,10:51,1,1,1.000,0,0,0,1,2,.500,0,1,1,1,1,0,0,1,3,+4,10:51,.798,1.000,.000,2.000,0.0,8.8,4.8,11.5,4.2,0.0,0.0,7.2,167,118
10,Joe Wieskamp,San Antonio Spurs,8:27,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,2,1,+3,8:27,.174,.000,.500,1.000,0.0,11.4,6.2,0.0,0.0,0.0,0.0,14.1,40,127
11,Devontae Cacok,San Antonio Spurs,1:36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,+6,1:36,0,0,0,0,0.0,60.0,32.6,0.0,0.0,0.0,0,0.0,0,108
12,Team Totals,San Antonio Spurs,240,43,89,.483,10,28,.357,25,34,.735,8,37,45,31,5,5,12,22,121,0,240,.582,.539,.315,.382,19.0,74.0,48.9,72.1,4.8,11.6,10.3,100.0,116.2,121.9
0,Anthony Edwards,Minnesota Timberwolves,39:12,16,28,.571,6,14,.429,11,14,.786,2,4,6,8,1,0,2,2,49,+18,39:12,.717,.679,.500,.500,4.9,11.7,8.0,45.8,1.2,0.0,5.5,37.0,148,118
1,Karl-Anthony Towns,Minnesota Timberwolves,32:41,7,18,.389,4,7,.571,3,5,.600,4,9,13,3,0,0,2,5,21,+7,32:41,.520,.500,.389,.278,11.7,31.5,20.8,14.3,0.0,0.0,9.0,27.3,112,117
2,Jarred Vanderbilt,Minnesota Timberwolves,32:37,2,3,.667,0,0,0,2,2,1.000,5,4,9,1,3,0,0,4,6,+10,32:37,.773,.667,.000,.667,14.7,14.0,14.4,3.9,4.2,0.0,0.0,4.8,193,111
3,Patrick Beverley,Minnesota Timberwolves,28:12,3,8,.375,1,5,.200,1,2,.500,1,4,5,8,1,2,1,5,8,+10,28:12,.450,.438,.625,.250,3.4,16.2,9.3,37.9,1.6,5.6,10.1,14.1,123,112
4,Malik Beasley,Minnesota Timberwolves,27:09,3,11,.273,3,11,.273,2,2,1.000,0,3,3,1,2,0,0,1,11,+5,27:09,.463,.409,1.000,.182,0.0,12.6,5.8,5.0,3.4,0.0,0.0,17.6,105,114
6,Jaden McDaniels,Minnesota Timberwolves,21:07,4,6,.667,2,2,1.000,0,0,0,0,4,4,0,0,0,1,0,10,0,21:07,.833,.833,.333,.000,0.0,21.6,9.9,0.0,0.0,0.0,14.3,13.3,128,119
7,Jordan McLaughlin,Minnesota Timberwolves,20:51,2,5,.400,2,4,.500,2,2,1.000,0,2,2,2,1,0,1,2,8,-4,20:51,.680,.600,.800,.400,0.0,11.0,5.0,12.7,2.2,0.0,14.5,13.2,129,116
8,Naz Reid,Minnesota Timberwolves,15:19,1,6,.167,1,4,.250,0,0,0,0,3,3,2,0,0,1,3,3,-1,15:19,.250,.250,.667,.000,0.0,22.4,10.2,16.6,0.0,0.0,14.3,18.3,64,119
9,Jaylen Nowell,Minnesota Timberwolves,13:23,3,8,.375,1,3,.333,4,4,1.000,1,0,1,0,0,0,2,2,11,-4,13:23,.564,.438,.375,.500,7.2,0.0,3.9,0.0,0.0,0.0,17.0,35.3,101,123
10,Taurean Prince,Minnesota Timberwolves,9:29,0,3,.000,0,3,.000,0,0,0,0,1,1,0,0,0,0,5,0,-11,9:29,.000,.000,1.000,.000,0.0,12.1,5.5,0.0,0.0,0.0,0.0,12.7,0,119
11,Leandro Bolmaro,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nathan Knight,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Josh Okogie,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Greg Monroe,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Minnesota Timberwolves,240,41,96,.427,20,53,.377,25,31,.806,13,34,47,25,8,2,10,29,127,0,240,.579,.531,.552,.323,26.0,81.0,51.1,61.0,7.7,3.3,8.4,100.0,121.9,116.2
