,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Klay Thompson,Golden State Warriors,30:55,16,29,.552,7,14,.500,2,3,.667,0,3,3,2,0,0,3,2,41,+25,30:55,.676,.672,.483,.103,0.0,9.0,5.6,12.9,0.0,0.0,9.0,49.9,118,119
1,Jordan Poole,Golden State Warriors,28:16,7,16,.438,4,9,.444,4,4,1.000,1,3,4,5,0,2,5,1,22,+9,28:16,.619,.563,.563,.250,5.5,9.8,8.2,22.9,0.0,5.8,22.0,37.3,109,115
2,Draymond Green,Golden State Warriors,24:54,2,2,1.000,1,1,1.000,2,2,1.000,0,3,3,6,1,0,2,1,7,+10,24:54,1.215,1.250,.500,1.000,0.0,11.1,7.0,25.6,2.0,0.0,41.0,9.1,163,113
3,Moses Moody,Golden State Warriors,19:18,2,3,.667,1,1,1.000,0,0,0,0,1,1,2,0,0,0,2,5,+4,19:18,.833,.833,.333,.000,0.0,4.8,3.0,11.3,0.0,0.0,0.0,7.2,179,121
4,Kevon Looney,Golden State Warriors,14:59,2,3,.667,0,0,0,0,0,0,0,6,6,3,0,0,0,2,4,+2,14:59,.667,.667,.000,.000,0.0,37.0,23.2,22.6,0.0,0.0,0.0,9.3,167,104
6,Jonathan Kuminga,Golden State Warriors,28:55,7,10,.700,3,4,.750,1,2,.500,0,5,5,2,1,0,1,2,18,+21,28:55,.827,.850,.400,.200,0.0,16.0,10.0,8.9,1.8,0.0,8.4,19.0,146,111
7,Juan Toscano-Anderson,Golden State Warriors,24:19,3,4,.750,2,2,1.000,0,0,0,0,4,4,4,0,0,3,2,8,+17,24:19,1.000,1.000,.500,.000,0.0,15.2,9.5,18.3,0.0,0.0,42.9,13.3,119,115
8,Damion Lee,Golden State Warriors,23:38,4,7,.571,1,1,1.000,2,2,1.000,1,4,5,1,1,0,0,0,11,+9,23:38,.698,.643,.143,.286,6.6,15.6,12.2,5.0,2.1,0.0,0.0,15.4,153,110
9,Nemanja Bjelica,Golden State Warriors,22:52,2,3,.667,0,1,.000,0,0,0,3,4,7,7,2,0,3,3,4,+11,22:52,.667,.667,.333,.000,20.3,16.1,17.7,32.8,4.4,0.0,50.0,12.1,132,104
10,Gary Payton II,Golden State Warriors,17:45,4,4,1.000,0,0,0,0,0,0,2,1,3,0,0,0,0,0,8,-3,17:45,1.000,1.000,.000,.000,17.4,5.2,9.8,0.0,0.0,0.0,0.0,10.4,210,121
11,Quinndary Weatherspoon,Golden State Warriors,4:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4:09,0,0,0,0,0.0,0.0,0.0,23.6,0.0,0.0,0,0.0,239,124
12,Team Totals,Golden State Warriors,240,49,81,.605,19,33,.576,11,13,.846,7,34,41,33,5,2,17,15,128,0,240,.738,.722,.407,.160,22.6,65.4,49.4,67.3,5.3,3.4,16.4,100.0,135.3,113.1
0,Naji Marshall,New Orleans Pelicans,32:19,8,15,.533,0,4,.000,3,3,1.000,3,2,5,6,0,0,3,2,19,-13,32:19,.582,.533,.267,.200,8.6,9.6,8.9,29.6,0.0,0.0,15.5,24.9,120,141
1,Trey Murphy III,New Orleans Pelicans,26:45,6,13,.462,2,6,.333,1,1,1.000,1,5,6,1,2,0,1,0,15,+4,26:45,.558,.538,.462,.077,3.5,28.9,13.0,5.7,3.8,0.0,6.9,22.5,116,130
2,Willy Hernangómez,New Orleans Pelicans,19:36,3,11,.273,0,0,0,2,2,1.000,3,6,9,2,1,0,1,3,8,-11,19:36,.337,.273,.000,.182,14.1,47.4,26.6,14.1,2.6,0.0,7.8,27.4,92,130
3,Jaxson Hayes,New Orleans Pelicans,16:29,1,6,.167,1,2,.500,2,2,1.000,2,0,2,0,1,0,1,0,5,+2,16:29,.363,.250,.333,.333,11.2,0.0,7.0,0.0,3.1,0.0,12.7,19.9,87,135
4,CJ McCollum,New Orleans Pelicans,5:33,0,2,.000,0,2,.000,0,0,0,0,1,1,1,0,0,0,0,0,+5,5:33,.000,.000,1.000,.000,0.0,27.9,10.4,20.6,0.0,0.0,0.0,15.0,36,139
6,Gary Clark,New Orleans Pelicans,27:39,6,9,.667,4,5,.800,1,2,.500,5,1,6,3,1,0,1,1,17,-22,27:39,.860,.889,.556,.222,16.7,5.6,12.5,16.5,1.8,0.0,9.2,16.4,167,137
7,Tony Snell,New Orleans Pelicans,25:11,3,7,.429,2,6,.333,0,0,0,0,1,1,2,2,0,0,3,8,-23,25:11,.571,.571,.857,.000,0.0,6.1,2.3,10.5,4.0,0.0,0.0,11.6,136,132
8,Garrett Temple,New Orleans Pelicans,23:56,2,8,.250,2,5,.400,0,0,0,0,2,2,0,0,0,2,1,6,-16,23:56,.375,.375,.625,.000,0.0,12.9,4.8,0.0,0.0,0.0,20.0,17.4,65,140
9,Jose Alvarado,New Orleans Pelicans,22:08,6,12,.500,0,2,.000,0,2,.000,2,4,6,0,1,0,1,1,12,-15,22:08,.466,.500,.167,.167,8.3,28.0,15.7,0.0,2.3,0.0,7.2,26.1,95,133
10,Jared Harper,New Orleans Pelicans,20:19,4,9,.444,2,6,.333,0,0,0,1,0,1,9,1,0,0,3,10,-11,20:19,.556,.556,.667,.000,4.5,0.0,2.8,65.3,2.5,0.0,0.0,18.4,156,136
11,Larry Nance Jr.,New Orleans Pelicans,20:05,3,7,.429,1,2,.500,0,0,0,1,2,3,0,1,0,1,3,7,-5,20:05,.500,.500,.286,.000,4.6,15.4,8.6,0.0,2.5,0.0,12.5,16.6,97,134
12,Team Totals,New Orleans Pelicans,240,42,99,.424,14,40,.350,9,12,.750,18,24,42,24,10,0,11,17,107,0,240,.513,.495,.404,.121,34.6,77.4,50.6,57.1,10.6,0.0,9.5,100.0,113.1,135.3
