,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Keldon Johnson,San Antonio Spurs,39:37,6,20,.300,0,5,.000,3,5,.600,2,3,5,4,0,0,1,5,15,-2,39:37,.338,.300,.250,.250,4.6,10.7,7.0,16.3,0.0,0.0,4.3,26.3,80,122
1,Devin Vassell,San Antonio Spurs,36:57,7,15,.467,7,13,.538,2,2,1.000,0,2,2,3,0,0,1,4,23,-6,36:57,.724,.700,.867,.133,0.0,7.6,3.0,14.0,0.0,0.0,5.9,20.6,134,123
2,Dejounte Murray,San Antonio Spurs,33:54,5,19,.263,1,5,.200,5,5,1.000,1,8,9,5,0,1,2,4,16,-4,33:54,.377,.289,.263,.263,2.7,33.3,14.6,23.7,0.0,2.3,8.6,30.8,84,117
3,Jakob Poeltl,San Antonio Spurs,31:13,7,10,.700,0,0,0,2,4,.500,3,6,9,1,2,1,2,3,16,+4,31:13,.680,.700,.000,.400,8.7,27.1,15.9,5.9,3.2,2.5,14.5,19.8,121,110
4,Joshua Primo,San Antonio Spurs,10:26,0,3,.000,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,10:26,.000,.000,.000,.000,0.0,27.1,10.6,24.9,0.0,0.0,0.0,12.9,37,120
6,Josh Richardson,San Antonio Spurs,31:51,4,9,.444,2,4,.500,2,2,1.000,0,2,2,2,1,0,0,2,12,-9,31:51,.607,.556,.444,.222,0.0,8.9,3.5,9.7,1.6,0.0,0.0,14.0,127,119
7,Tre Jones,San Antonio Spurs,16:49,1,2,.500,1,2,.500,1,2,.500,1,1,2,1,1,0,0,0,4,-9,16:49,.694,.750,1.000,1.000,5.4,8.4,6.6,8.4,3.0,0.0,0.0,7.7,155,116
8,Zach Collins,San Antonio Spurs,16:47,2,4,.500,0,1,.000,1,2,.500,1,1,2,0,0,1,0,2,5,-14,16:47,.512,.500,.250,.500,5.4,8.4,6.6,0.0,0.0,4.7,0.0,13.1,112,119
9,Lonnie Walker IV,San Antonio Spurs,16:30,5,9,.556,2,4,.500,0,0,0,0,1,1,0,0,0,0,0,12,-3,16:30,.667,.667,.444,.000,0.0,8.6,3.3,0.0,0.0,0.0,0.0,24.5,123,123
10,Keita Bates-Diop,San Antonio Spurs,5:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,5:56,0,0,0,0,0.0,0.0,0.0,21.9,0.0,0.0,0,0.0,235,124
11,Romeo Langford,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jock Landale,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
