,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Danilo Gallinari,Atlanta Hawks,40:51,4,13,.308,2,6,.333,4,4,1.000,1,2,3,1,0,1,3,2,14,+11,40:51,.474,.385,.462,.308,3.1,5.9,4.5,3.4,0.0,2.6,16.9,20.3,91,117
1,Trae Young,Atlanta Hawks,40:15,13,25,.520,4,11,.364,8,9,.889,0,3,3,9,0,1,4,1,38,+4,40:15,.656,.600,.440,.360,0.0,8.9,4.6,45.7,0.0,2.7,12.1,38.3,131,116
2,Kevin Huerter,Atlanta Hawks,28:47,6,11,.545,1,3,.333,0,0,0,0,2,2,2,1,0,0,4,13,-11,28:47,.591,.591,.273,.000,0.0,8.3,4.3,11.5,1.9,0.0,0.0,17.9,131,114
3,De'Andre Hunter,Atlanta Hawks,28:12,5,14,.357,0,5,.000,0,0,0,1,4,5,0,0,0,2,1,10,-16,28:12,.357,.357,.357,.000,4.5,17.0,10.9,0.0,0.0,0.0,12.5,26.5,71,116
4,Clint Capela,Atlanta Hawks,13:29,3,3,1.000,0,0,0,1,2,.500,4,4,8,0,0,0,0,1,7,-21,13:29,.902,1.000,.000,.667,37.5,35.6,36.5,0.0,0.0,0.0,0.0,13.5,194,112
6,Bogdan Bogdanović,Atlanta Hawks,29:28,6,8,.750,2,3,.667,5,5,1.000,1,4,5,2,3,0,0,4,19,+9,29:28,.931,.875,.375,.625,4.3,16.3,10.4,11.1,5.4,0.0,0.0,16.2,197,104
7,Onyeka Okongwu,Atlanta Hawks,28:52,1,1,1.000,0,0,0,0,0,0,1,8,9,0,1,0,1,4,2,+21,28:52,1.000,1.000,.000,.000,4.4,33.3,19.2,0.0,1.9,0.0,50.0,3.2,107,108
8,Delon Wright,Atlanta Hawks,20:37,1,3,.333,0,2,.000,0,0,0,2,4,6,1,0,1,2,0,2,+24,20:37,.333,.333,.667,.000,12.3,23.3,17.9,6.3,0.0,5.2,40.0,11.3,73,111
9,Gorgui Dieng,Atlanta Hawks,5:28,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,1,0,+5,5:28,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.1,0,120
10,Timothé Luwawu-Cabarrot,Atlanta Hawks,4:01,0,1,.000,0,0,0,2,2,1.000,0,1,1,0,0,0,0,1,2,+4,4:01,.532,.000,.000,2.000,0.0,29.9,15.3,0.0,0.0,0.0,0.0,21.9,127,113
11,Kevin Knox,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jalen Johnson,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Skylar Mays,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,39,80,.488,9,31,.290,20,22,.909,10,32,42,15,5,3,13,19,107,0,240,.597,.544,.388,.275,26.3,80.0,53.8,38.5,5.6,6.7,12.7,100.0,119.1,112.4
0,Darius Garland,Cleveland Cavaliers,43:18,9,27,.333,1,7,.143,2,2,1.000,1,2,3,9,3,0,5,0,21,+2,43:18,.377,.352,.259,.074,2.8,5.8,4.3,36.9,3.7,0.0,15.2,36.6,83,118
1,Caris LeVert,Cleveland Cavaliers,39:53,5,13,.385,4,9,.444,2,2,1.000,0,3,3,5,1,0,2,4,16,0,39:53,.576,.538,.692,.154,0.0,9.5,4.6,19.4,1.3,0.0,12.6,19.2,111,123
2,Evan Mobley,Cleveland Cavaliers,37:29,6,12,.500,1,3,.333,5,6,.833,3,5,8,5,0,2,0,4,18,+3,37:29,.615,.542,.250,.500,9.6,16.8,13.1,21.8,0.0,5.2,0.0,18.8,145,120
3,Lauri Markkanen,Cleveland Cavaliers,36:32,10,17,.588,6,12,.500,0,0,0,1,7,8,0,2,1,1,4,26,+8,36:32,.765,.765,.706,.000,3.3,24.2,13.5,0.0,2.9,2.7,5.6,23.8,134,114
4,Jarrett Allen,Cleveland Cavaliers,35:30,4,4,1.000,0,0,0,3,4,.750,1,2,3,2,0,1,2,3,11,-3,35:30,.955,1.000,.000,1.000,3.4,7.1,5.2,8.6,0.0,2.8,25.8,10.5,143,124
6,Isaac Okoro,Cleveland Cavaliers,21:51,2,3,.667,0,1,.000,2,3,.667,2,3,5,0,0,0,0,1,6,-14,21:51,.694,.667,.333,1.000,11.0,17.3,14.1,0.0,0.0,0.0,0.0,9.5,156,124
7,Rajon Rondo,Cleveland Cavaliers,14:58,0,3,.000,0,2,.000,0,0,0,0,2,2,2,1,0,1,2,0,-18,14:58,.000,.000,.667,.000,0.0,16.9,8.2,17.3,3.6,0.0,25.0,12.9,32,116
8,Kevin Love,Cleveland Cavaliers,10:29,1,2,.500,1,2,.500,0,0,0,0,4,4,0,1,0,0,2,3,-8,10:29,.750,.750,1.000,.000,0.0,48.2,23.5,0.0,5.1,0.0,0.0,9.2,140,104
9,Lamar Stevens,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Moses Brown,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dylan Windler,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ed Davis,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cedi Osman,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Cleveland Cavaliers,240,37,81,.457,13,36,.361,14,17,.824,8,28,36,23,8,4,11,20,101,0,240,.571,.537,.444,.210,20.0,73.7,46.2,62.2,8.9,8.2,11.1,100.0,112.4,119.1
